Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Label
Preferences for disease-related information and transitional skills among adolescents with congenital heart disease in the early transitional stage.,de Hosson M; De Groote K; Wynendaele H; Mosquera LM; Goossens E; De Backer J,"PURPOSE: The transition towards adult-focused healthcare comprises a complex process requiring careful, individualized guidance of adolescents with congenital heart disease (CHD). Detailed data on their preferences regarding disease-related information and acquirable transitional skills are mostly lacking. We examined the preferences of CHD adolescents in the early transition stage. METHODS: A cross-sectional descriptive study was performed with adolescents recruited from a transition program. Two questionnaires assessing needs for information and transitional skills were used. Only questionnaires completed in the early transition stage were included. RESULTS: Forty-nine adolescents participated (mean age 15.9 ± 1.2 years, 43% girls). 59% requested information about their heart and previous and/or future surgeries/interventions, 45% about sports and medication, and a maximum of 27% about psychosocial topics. More girls than boys requested surgical information (76% versus 46%; p = 0.04). Adolescents with severely complex CHD more often requested information about medication than those with moderately complex CHD (63% versus 28%; p = 0.02). Older adolescents were less likely to request surgical information (OR = 0.53; 95%CI [0.26-0.88]; p = 0.03). Up to 83% of the adolescents perceived their skills as insufficient, but less than 14% was interested in acquiring skills.    Conclusion: Adolescents were mainly interested in medical topics, followed by lifestyle information. The informational needs tended to decrease with age. Timely gauging individual needs and delivering information, ideally in the early teens, appear important when providing person-tailored transitional care in CHD. Paradoxically, although the transitional skills were low-perceived, there was limited motivation to improve them. This paradox requires further investigation to better tailor transition interventions.     Clinical trial registration: Not applicable. WHAT IS KNOWN: • Transition towards adult life and care requires careful patient guidance. A person-tailored approach is strongly encouraged. However, details on preferences regarding disease-related information and transitional skills are scarce in adolescents with CHD. WHAT IS NEW: • This study showed that adolescents with CHD in early transition mainly need medical-related information. Their informational needs tend to decrease with age necessitating timely gauging for interest and delivering information. Adolescents report a low need to acquire transitional skills despite low self-esteemed skills levels.",2023,Sep,Eur J Pediatr,182,9,3917-3927,,10.1007/s00431-023-05020-1,37351648,#930,deHosson 2023,,,0
Advance Care Planning in South Korea.,Kim YJ; Kim SH,"South Korea is an Asian country with a very low birth rate and a large elderly population. Nearly half of deaths are in the elderly over the age of 80, and cancer is the leading cause of all deaths. As the aging population increases, interest in end-of-life (EOL) care and quality of death is growing, but South Korea is one of the Asian countries that traditionally feels burdened by discussing death openly. In particular, even when a person is suffering from an incurable disease and is about to die, it is customary for the family members to make decisions without directly informing the patient of the disease status or discussing life-sustaining treatment (LST). However, due to a series of social events, the importance of individual autonomy, good death, discontinuation of LSTs, and advance care planning (ACP) gradually spread, and eventually the Life-Sustaining Treatment Decisions Act was implemented in 2018. With the enactment of this law, patients' autonomy was enhanced in a short period of time, and a legal basis was established to discontinue LST at the EOL. However, there are still many areas to be improved, and it is fundamentally necessary to spread the concept of 'ACP' within society.",2023,Aug,Z Evid Fortbild Qual Gesundhwes,180,,68-73,,10.1016/j.zefq.2023.04.014,37353427,#1010,Kim 2023,,,0
Stakeholders' preferences for the design and delivery of virtual care services: A systematic review of discrete choice experiments.,Vo LK; Allen MJ; Cunich M; Thillainadesan J; McPhail SM; Sharma P; Wallis S; McGowan K; Carter HE,"This systematic review aimed to synthesise evidence from discrete choice experiments (DCEs) eliciting preferences for virtual models of care, as well as to assess the quality of those DCEs and compare the relative preferences for different stakeholder groups. Articles were included if published between January 2010 and December 2022. Data were synthesised narratively, and attributes were assessed for frequency, significance, and relative importance using a semi-quantitative approach. Overall, 21 studies were included encompassing a wide range of virtual care modalities, with the most common setting being virtual consultations for outpatient management of chronic conditions. A total of 135 attributes were identified and thematically classified into six categories: service delivery, service quality, technical aspects, monetary aspects, health provider characteristics and health consumer characteristics. Attributes related to service delivery were most frequently reported but less highly ranked. Service costs were consistently significant across all studies where they appeared, indicating their importance to the respondents. All studies examining health providers' preferences reported either system performance or professional endorsement attributes to be the most important. Substantial heterogeneity in attribute selection and preference outcomes were observed across studies reporting on health consumers' preferences, suggesting that the consideration of local context is important in the design and delivery of person-centred virtual care services. In general, the experimental design and analysis methods of included studies were clearly reported and justified. An improvement was observed in the quality of DCE design and analysis in recent years, particularly in the attribute development process. Given the continued growth in the use of DCEs within healthcare settings, further research is needed to develop a standardised approach for quantitatively synthesising DCE findings. There is also a need for further research on preferences for virtual care in post-pandemic contexts, where emerging evidence suggests that preferences may differ to those observed in pre-pandemic times.",2024,Jan,Soc Sci Med,340,,116459,,10.1016/j.socscimed.2023.116459,38048738,#513,Vo 2024,,,1
Discrete Choice Experiments in Health State Valuation: A Systematic Review of Progress and New Trends.,Wang H; Rowen DL; Brazier JE; Jiang L,"BACKGROUND: Discrete choice experiments (DCEs) are increasingly used in health state valuation studies. OBJECTIVE: This systematic review updates the progress and new findings of DCE studies in the health state valuation, covering the period since the review of June 2018 to November 2022. The review reports the methods that are currently being used in DCE studies to value health and study design characteristics, and, for the first time, reviews DCE health state valuation studies published in the Chinese language. METHODS: English language databases PubMed and Cochrane, and Chinese language databases Wanfang and CNKI were searched using the self-developed search terms. Health state valuation or methodology study papers were included if the study used DCE data to generate a value set for a preference-based measure. Key information extracted included DCE study design strategies applied, methods for anchoring the latent coefficient on to a 0-1 QALY scale and data analysis methods. RESULTS: Sixty-five studies were included; one Chinese language publication and 64 English language publications. The number of health state valuation studies using DCE has rapidly increased in recent years and these have been conducted in more countries than prior to 2018. Wide usage of DCE with duration attributes, D-efficient design and models accounting for heterogeneity has continued in recent years. Although more methodological consensus has been found than in studies conducted prior to 2018, this consensus may be driven by valuation studies for common measures with an international protocol (the 'model' valuation research). Valuing long measures with well-being attributes attracted attention and more realistic design strategies (e.g., inconstant time preference, efficient design and implausible states design) were identified. However, more qualitative and quantitative methodology study is still necessary to evaluate the effect of those new methods. CONCLUSIONS: The use of DCEs in health state valuation continues to grow dramatically and the methodology progress makes the method more reliable and pragmatic. However, study design is driven by international protocols and method selection is not always justified. There is no gold standard for DCE design, presentation format or anchoring method. More qualitative and quantitative methodology study is recommended to evaluate the effect of new methods before researchers make methodology decisions.",2023,May,Appl Health Econ Health Policy,21,3,405-418,,10.1007/s40258-023-00794-9,36997744,#1276,Wang 2023,,,1
Improving methods of clinical practice guidelines: From guidelines to pathways to fast-and-frugal trees and decision analysis to develop individualised patient care.,Djulbegovic B; Hozo I; Cuker A; Guyatt G,"BACKGROUND: Current methods for developing clinical practice guidelines have several limitations: they are characterised by the ""black box"" operation-a process with defined inputs and outputs but an incomplete understanding of its internal workings; they have ""the integration problem""-a lack of framework for explicitly integrating factors such as patient preferences and trade-offs between benefits and harms; they generate one recommendation at a time that typically are not connected in a coherent analytical framework; and they apply to ""average"" patients, while clinicians and their patients seek advice tailored to individual circumstances. METHODS: We propose augmenting the current guideline development method by converting evidence-based pathways into fast-and-frugal decision trees (FFTs) and integrating them with generalised decision curve analysis to formulate clear, individualised management recommendations. RESULTS: We illustrate the process by developing recommendations for the management of heparin-induced thrombocytopenia (HIT). We converted evidence-based pathways for HIT, developed by the American Society of Hematology, into an FFT. Here, we consider only thrombotic complications and major bleeding. We leveraged the predictive potential of FFTs to compare the effects of argatroban, bivalirudin, fondaparinux, and direct oral anticoagulants (DOACs) using generalised decision curve analysis. We found that DOACs were superior to other treatments if the FFT-predicted probability of HIT exceeded 3%. CONCLUSIONS: The proposed analytical framework connects guidelines, pathways, FFTs, and decision analysis, offering risk-tailored personalised recommendations and addressing current guideline development critiques.",2023,Dec,J Eval Clin Pract,,,,,10.1111/jep.13953,38073027,#573,Djulbegovic 2023,,,0
Interdisciplinary care of pediatric oncology patients: A survey of clinicians in Central America and the Caribbean.,Graetz DE; Chen Y; Devidas M; Antillon-Klussmann F; Fu L; Quintero K; Fuentes-Alabi SL; Gassant PY; Kaye EC; Baker JN; Rodriguez Galindo C; Mack JW,"BACKGROUND: Quality cancer care depends on interdisciplinary communication. This study explored the communication practices of interdisciplinary clinicians, the types of healthcare services for which they engage in interdisciplinary collaboration, and the association between interdisciplinary care and perceived quality of care, as well as job satisfaction. METHODS: We conducted a survey of interdisciplinary clinicians from cancer centers in Guatemala, Honduras, Panama, El Salvador, and Haiti. The survey included 68 items including previously validated tools and novel questions. RESULTS: Total 174 interdisciplinary clinicians completed the survey: nurses (n = 60), medical subspecialists (n = 35), oncologists (n = 22), psychosocial providers (n = 20), surgeons (n = 12), pathologists (n = 9), radiologists (n = 9), and radiation oncologists (n = 5). Oncologists reported daily communication with nurses (95%) and other oncologists (91%). While 90% of nurses reported daily communication with other nurses, only 66% reported daily communication with oncologists, and more than 50% of nurses reported never talking to pathologists, radiologists, radiation oncologists, or surgeons. Most clinicians described interdisciplinary establishment of cancer treatment goals and prognosis (84%), patient preferences (81%), and determination of first treatment modality (80%). Clinicians who described more interdisciplinary collaboration had higher job satisfaction (p = .04) and perceived a higher level of overall quality of care (p = .004). CONCLUSIONS: Clinicians in these limited resource settings describe strong interdisciplinary collaboration contributing to higher job satisfaction and perceived quality of care. However, nurses in these settings reported more limited interdisciplinary communication and care. Additional studies are necessary to further define clinical roles on interdisciplinary care teams and their associations with patient outcomes.",2023,May,Pediatr Blood Cancer,70,5,e30244,,10.1002/pbc.30244,36788461,#1284,Graetz 2023,,,0
Decision architecture randomisation: extremely efficient clinical trials that preserve clinician and patient choice?,Flory J; Ancker JS; Kim SYH; Kuperman G; Vickers A,,2024,Mar,BMJ Evid Based Med,29,2,71-74,,10.1136/bmjebm-2023-112386,37479243,#223,Flory 2024,Martina Di Blasio  (2024-04-30 06:31:00)(Screen): no accesso; ,,0
"Aortic valve replacement in non-elderly: the gap between reality, guidelines and evidence.",Geuens L; Van Hoof L; Van De Bruaene A; Rega F; Meuris B; Verbrugghe P,"OBJECTIVES: There are several treatment options for non-elderly adults (18-60 years) in need of aortic valve replacement (AVR): a mechanical or biological substitute, a homograft, the Ross procedure or nowadays even transcatheter aortic valve replacement. This study evaluated the current opinions and practices of cardiac surgeons and cardiologists concerning AVR strategies in this patient group. METHODS: A 43-item online survey was sent out to several scientific organizations, individual cardiac surgeons, cardiologists and residents/fellows worldwide. RESULTS: Two hundred twenty-two physicians from 33 different countries answered the survey. The UK (24%), Belgium (23%) and North America (22%) are best represented. A mechanical valve is the most frequently used substitute in non-elderly. With increasing patient age, the popularity of a biological valve increases. Transcatheter aortic valve replacement and the Ross procedure are each used in <10% of this cohort. Only 12% of the cardiac surgeons has experience with the Ross surgery. In 23%, the patient seems not to be involved in the decision on the type of valve substitute. CONCLUSIONS: The preferred surgical treatment for non-elderly patients in need of AVR differs widely. To enable a shared decision-making process including patient preferences, there is more need for collaboration between cardiac departments, as well as education and scientific research about patient-centred outcomes of the different AVR techniques.",2023,Nov,Eur J Cardiothorac Surg,64,5,,,10.1093/ejcts/ezad318,37756688,#717,Geuens 2023,,,0
Patient preferences in chronic immune-mediated inflammatory diseases potentially treated with biological drugs: discrete choice analysis using real-world data analysis.,Ginard-Vicens D; Tornero-Molina J; Fernández-Fuente-Bursón L; González Gómez ML; Moreno E; Salleras M; Guigini MA; Burniol-Garcia A; Crespo C,"OBJECTIVES: Immune-mediated inflammatory diseases (IMIDs) represent a high burden due to their chronicity, high prevalence, and associated comorbidities. Chronic patients' preferences must be considered in IMIDs treatment and follow-up. The objective of this study was to further understand patient's preferences in private settings. METHODS: A literature review was performed to choose the most relevant criteria for patients. A D-efficient discrete choice experiment was designed to elicit preferences of adult patients with IMIDs and potential biological treatment prescription. Participants were collected from private practices (rheumatology, dermatology, and gastroenterology) from February to May 2022. Patients chose between option pairs, characterized by six health-care attributes, as well as monthly out-of-pocket drug price. Responses were analyzed through a conditional logit model. RESULTS: Eighty-seven patients answered the questionnaire. The most frequent pathologies were Rheumatoid Arthritis (31%) and Psoriatic Arthritis (26%). The most relevant criteria were choosing the preferred physician (OR 2.25 [SD0.26]); reducing time until visit with specialist (OR 1.79 [SD0.20]), access through primary care (OR 1.60 [SD0.08]), and an increase in monthly out-of-pocket price from 100€ to 300€ (OR 0.55 [SD0.06]) and to 600€ (OR 0.08 [SD0.02]). CONCLUSIONS: Chronic IMIDs patients showed a preference toward a faster, personalized service, even with a trade-off in terms of out-of-pocket price.",2023,Jul-Dec,Expert Rev Pharmacoecon Outcomes Res,23,8,959-965,,10.1080/14737167.2023.2232109,37395007,#1095,Ginard-Vicens 2023,,,1
Discrete choice experiment versus swing-weighting: A head-to-head comparison of diabetic patient preferences for glucose-monitoring devices.,Whichello C; Smith I; Veldwijk J; de Wit GA; Rutten-van Molken MPMH; de Bekker-Grob EW,"INTRODUCTION: Limited evidence exists for how patient preference elicitation methods compare directly. This study compares a discrete choice experiment (DCE) and swing-weighting (SW) by eliciting preferences for glucose-monitoring devices in a population of diabetes patients. METHODS: A sample of Dutch adults with type 1 or 2 diabetes (n = 459) completed an online survey assessing their preferences for glucose-monitoring devices, consisting of both a DCE and a SW exercise. Half the sample completed the DCE first; the other half completed the SW first. For the DCE, the relative importance of the attributes of the devices was determined using a mixed-logit model. For the SW, the relative importance of the attributes was based on ranks and points allocated to the 'swing' from the worst to the best level of the attribute. The preference outcomes and self-reported response burden were directly compared between the two methods. RESULTS: Participants reported they perceived the DCE to be easier to understand and answer compared to the SW. Both methods revealed that cost and precision of the device were the most important attributes. However, the DCE had a 14.9-fold difference between the most and least important attribute, while the SW had a 1.4-fold difference. The weights derived from the SW were almost evenly distributed between all attributes. CONCLUSIONS: The DCE was better received by participants, and generated larger weight differences between each attribute level, making it the more informative method in our case study. This method comparison provides further evidence of the degree of method suitability and trustworthiness.",2023,,PLoS One,18,7,e0283926,,10.1371/journal.pone.0283926,37506078,#1038,Whichello 2023,,,1
