title,abstract,label
Advance Care Planning in South Korea.,"South Korea is an Asian country with a very low birth rate and a large elderly population. Nearly half of deaths are in the elderly over the age of 80, and cancer is the leading cause of all deaths. As the aging population increases, interest in end-of-life (EOL) care and quality of death is growing, but South Korea is one of the Asian countries that traditionally feels burdened by discussing death openly. In particular, even when a person is suffering from an incurable disease and is about to die, it is customary for the family members to make decisions without directly informing the patient of the disease status or discussing life-sustaining treatment (LST). However, due to a series of social events, the importance of individual autonomy, good death, discontinuation of LSTs, and advance care planning (ACP) gradually spread, and eventually the Life-Sustaining Treatment Decisions Act was implemented in 2018. With the enactment of this law, patients' autonomy was enhanced in a short period of time, and a legal basis was established to discontinue LST at the EOL. However, there are still many areas to be improved, and it is fundamentally necessary to spread the concept of 'ACP' within society.",0
Stakeholders' preferences for the design and delivery of virtual care services: A systematic review of discrete choice experiments.,"This systematic review aimed to synthesise evidence from discrete choice experiments (DCEs) eliciting preferences for virtual models of care, as well as to assess the quality of those DCEs and compare the relative preferences for different stakeholder groups. Articles were included if published between January 2010 and December 2022. Data were synthesised narratively, and attributes were assessed for frequency, significance, and relative importance using a semi-quantitative approach. Overall, 21 studies were included encompassing a wide range of virtual care modalities, with the most common setting being virtual consultations for outpatient management of chronic conditions. A total of 135 attributes were identified and thematically classified into six categories: service delivery, service quality, technical aspects, monetary aspects, health provider characteristics and health consumer characteristics. Attributes related to service delivery were most frequently reported but less highly ranked. Service costs were consistently significant across all studies where they appeared, indicating their importance to the respondents. All studies examining health providers' preferences reported either system performance or professional endorsement attributes to be the most important. Substantial heterogeneity in attribute selection and preference outcomes were observed across studies reporting on health consumers' preferences, suggesting that the consideration of local context is important in the design and delivery of person-centred virtual care services. In general, the experimental design and analysis methods of included studies were clearly reported and justified. An improvement was observed in the quality of DCE design and analysis in recent years, particularly in the attribute development process. Given the continued growth in the use of DCEs within healthcare settings, further research is needed to develop a standardised approach for quantitatively synthesising DCE findings. There is also a need for further research on preferences for virtual care in post-pandemic contexts, where emerging evidence suggests that preferences may differ to those observed in pre-pandemic times.",1
Interdisciplinary care of pediatric oncology patients: A survey of clinicians in Central America and the Caribbean.,"BACKGROUND: Quality cancer care depends on interdisciplinary communication. This study explored the communication practices of interdisciplinary clinicians, the types of healthcare services for which they engage in interdisciplinary collaboration, and the association between interdisciplinary care and perceived quality of care, as well as job satisfaction. METHODS: We conducted a survey of interdisciplinary clinicians from cancer centers in Guatemala, Honduras, Panama, El Salvador, and Haiti. The survey included 68 items including previously validated tools and novel questions. RESULTS: Total 174 interdisciplinary clinicians completed the survey: nurses (n = 60), medical subspecialists (n = 35), oncologists (n = 22), psychosocial providers (n = 20), surgeons (n = 12), pathologists (n = 9), radiologists (n = 9), and radiation oncologists (n = 5). Oncologists reported daily communication with nurses (95%) and other oncologists (91%). While 90% of nurses reported daily communication with other nurses, only 66% reported daily communication with oncologists, and more than 50% of nurses reported never talking to pathologists, radiologists, radiation oncologists, or surgeons. Most clinicians described interdisciplinary establishment of cancer treatment goals and prognosis (84%), patient preferences (81%), and determination of first treatment modality (80%). Clinicians who described more interdisciplinary collaboration had higher job satisfaction (p = .04) and perceived a higher level of overall quality of care (p = .004). CONCLUSIONS: Clinicians in these limited resource settings describe strong interdisciplinary collaboration contributing to higher job satisfaction and perceived quality of care. However, nurses in these settings reported more limited interdisciplinary communication and care. Additional studies are necessary to further define clinical roles on interdisciplinary care teams and their associations with patient outcomes.",0
Decision architecture randomisation: extremely efficient clinical trials that preserve clinician and patient choice?,.,0
Cancer Survivor Preferences for Models of Breast Cancer Follow-Up Care: Selecting Attributes for Inclusion in a Discrete Choice Experiment.,"BACKGROUND AND OBJECTIVE: It is critical to evaluate cancer survivors' preferences when developing follow-up care models to better address the needs of cancer survivors. This study was conducted to understand the key attributes of breast cancer follow-up care for use in a future discrete choice experiment (DCE) survey. METHODS: Key attributes of breast cancer follow-up care models were generated using a multi-stage, mixed-methods approach. Focus group discussions were conducted with cancer survivors and clinicians to generate a range of attributes of current and ideal follow-up care. These attributes were then prioritised using an online survey with survivors and healthcare providers. The DCE attributes and levels were finalised via an expert panel discussion based on the outcomes of the previous stages. RESULTS: Four focus groups were held, two with breast cancer survivors (n = 7) and two with clinicians (n = 8). Focus groups generated sixteen attributes deemed important for breast cancer follow-up care models. The prioritisation exercise was conducted with 20 participants (14 breast cancer survivors and 6 clinicians). Finally, the expert panel selected five attributes for a future DCE survey tool to elicit cancer survivors' preferences on breast cancer follow-up care. The final attributes included: the care team, allied health and supportive care, survivorship care planning, travel for appointments, and out-of-pocket costs. CONCLUSIONS: Attributes identified can be used in future DCE studies to elicit cancer survivors' preferences for breast cancer follow-up care. This strengthens the design and implementation of follow-up care programs that best suit the needs and expectations of breast cancer survivors.",1
Expert Consensus for the Use of Outpatient Rehabilitation Visits After Total Knee Arthroplasty: A Delphi Study.,"OBJECTIVE: There is no consensus for how to use rehabilitation visits after total knee arthroplasty (TKA). We sought to develop expert recommendations for outpatient rehabilitation visit usage after TKA. DESIGN: Delphi study. METHODS: First, we developed a broad list of preliminary visit usage recommendations, which were specific to patients' recovery status (ie, slow, typical, or fast recovery) and time since surgery. We then invited 49 TKA experts to participate on a Delphi panel. During round 1, we surveyed panelists regarding their level of agreement with each preliminary recommendation. We conducted additional Delphi rounds as needed to build consensus, which we defined using the RAND/UCLA method. We updated the survey each round based on panelist feedback and responses from the previous round. RESULTS: Thirty panelists agreed to participate, and 29 panelists completed 2 Delphi rounds. The panel reached consensus on recommendations related to visit frequency, visit timing, and the use of telerehabilitation. The panel recommended that outpatient rehabilitation should begin within 1 week after surgery at a frequency of 2 times per week for the first postoperative month regardless of recovery status. The panel recommended different visit frequencies depending on the patient's recovery status for postoperative months 2 to 3. The panel agreed that telerehabilitation can be recommended for most patients after TKA, but not for patients recovering slowly. CONCLUSION: We used the Delphi process to develop expert recommendations for the use of outpatient rehabilitation visits after TKA. We envision these recommendations could help patients decide how to use visits based on their own preferences. J Orthop Sports Phys Ther 2023;53(9):1-9. Epub: 10 July 2023. doi:10.2519/jospt.2023.11840.",0
Factors that influence intensive care admission decisions for older people: A systematic review.,"BACKGROUND: The population worldwide is rapidly ageing, and demand for intensive care is increasing. People aged 85 years and above, known as the oldest old, are particularly vulnerable to critical illness owing to the physiological effects of ageing. Evidence surrounding admission of the oldest old to the intensive care is limited. OBJECTIVE: The objective of this study was to systematically and comprehensively review and synthesise the published research investigating factors that influence decisions to admit the oldest old to the intensive care unit. METHOD: This was a systematic review and narrative synthesis. Following a comprehensive search of CINAHL, Embase, and Medline databases, peer-reviewed primary research articles examining factors associated with admission or refusal to admit the oldest old to intensive care were selected. Data were extracted into tables and narratively synthesised. RESULTS: Six studies met the inclusion criteria. Three studies identified factors associated with admission such as greater premorbid self-sufficiency, patient preferences, alignment between patient and physicians' goals of treatment, age less than 85 years, and absence of cancer, or previous intensive care admission. Factors associated with refusal to admit were identified in all six studies and included limited or no bed availability, level of ICU physician experience, patients being deemed too ill or too well to benefit, and older age. CONCLUSIONS: Published research investigating decision-making about admission or refusal to admit the oldest old to the intensive care unit is scant. The ageing population and increasing demand for intensive care unit resources has amplified the need for greater understanding of factors that influence decisions to admit or refuse admission of the oldest old to the intensive care unit. Such knowledge may inform guidelines regarding complex practice decisions about admission of the oldest old to an intensive care unit. Such guidelines would ensure the specialty needs of this population are considered and would reduce admission decisions that might disadvantage older people.",0
Whether preferences of gastric cancer patients after surgery for follow-up change over time? Analysis based on discrete choice experiment.,"PURPOSES: The purposes of this discrete choice experiment are as follows: (1) quantify the relevant characteristics that may affect the follow-up selection of gastric cancer patients after surgery and (2) explore the differences in follow-up preferences of gastric cancer patients at different stages and reveal the change trend of preferences over time, thereby providing references for the formulation and optimization of follow-up strategies. METHODS: A survey instrument that was developed using the design principle of a discrete choice experiment investigated gastric cancer patients on the day of discharge, and at 3 months, 6 months, and 12 months after discharge. In Stata 15.0, a mixed logit model was used to explore the preferences of gastric cancer patients after surgery at different stages, the willingness to pay was calculated, and the NLCOM command was used to simulate the follow-up uptake rates of different attribute levels at different stages. RESULTS: On the day of discharge, and 3 months, 6 months, and 12 months after discharge, the most important attribute levels of gastric cancer patients after surgery were ""thoroughness-very thorough,"" ""method-face-to-face,"" ""thoroughness-very thorough,"" and ""provider-specialist nurse,"" respectively, and patients were willing to pay more for these services. Patients' preference for the attribute level ""very thorough"" decreased over time, while their preferences for ""specialist doctors"" as follow-up providers remained relatively stable. Furthermore, the attribute levels with the greatest effect on receiving the baseline follow-up program varied across stages. CONCLUSION: The gastric cancer patients' preferences for follow-up change over time, and the time factor should be considered when developing follow-up strategies.",1
Prospective Patient Preferences for Humor in Urologists Treating Erectile Dysfunction: A Survey Study.,"INTRODUCTION: Men seeking treatment for sexual dysfunction can experience embarrassment as a result of stigma. This research manuscript presents the findings of a survey conducted to investigate the influence of humor on prospective patients' preferences when selecting a specialist to address erectile dysfunction (ED). METHODS: The respondents were presented with five pairs of mock urology business cards: one professional and one humorous. A questionnaire was designed and distributed via an online survey platform. Descriptive statistics and Fisher's exact test were performed using the Statistical Package for Social Sciences (SPSS) software version 29 (IBM SPSS Statistics, Armonk, NY) to evaluate age and race associations with card preference. RESULTS: Among the 997 participants, an average of 66.1% (a median of 71.2%) preferred professional cards. Humorous card selection rates ranged from 5.2% to 38.4% compared to 54.0% to 78.1% for professional cards. A statistically significant relationship between age and professional card choice existed in all except the fifth set of cards (p = 0.001, 0.001, 0.001, 0.001, and 0.054). The relationship between race or ethnicity and business card preference was not reported due to an imbalance in demographics, with most participants identifying as Caucasian. DISCUSSION: A humor-centric approach may not resonate with all individuals seeking treatment for sensitive conditions such as ED. Limitations include the subjectivity of humor, the use of an online survey platform, and the hypothetical nature of this study. Real patients experiencing ED may face stigma and respond to humor differently. CONCLUSION: This study provides insights into patient preference for professionalism over humor from their urologist but leaves room for the exploration of humor in medical contexts. Future studies could examine the impacts of humor on patient choices in real-world healthcare settings.",0
"Patient experience in community health services and first choice for medical attention: A cross-sectional study in Wuhan, China.","OBJECTIVES: In China, it is up to the patients to choose between hospitals and primary care facilities to initiate their medical care. This study aimed to determine the association between patient experience with community health centres (CHCs, a predominant provider of community-based primary care) and patient preference of taking community-based primary care facilities as a first choice for medical attention. METHODS: A questionnaire survey was conducted on 1919 patients who sought medical care in 55 CHCs in Wuhan, China. Respondents were asked to identify their preferred first choice for medical attention and rate their satisfaction with eight aspects of CHCs (basic facility, medical equipment, medical services, nursing services, treatment process, courtesy and responsiveness, time spent with medical doctor, pharmacy services). Multivariate logistic regression models were established to determine the association between the CHC experience and the first choice of providers after adjustment for variations in sociodemographic characteristics. RESULTS: Over 90% of respondents were satisfied or very satisfied with the eight aspects of CHCs; but only 75% preferred to take community-based primary care facilities as their first choice for medical attention. Those who were older and had a lower income were more likely to choose community-based primary care facilities. Geographic proximity and higher levels of satisfaction with the basic facility, courtesy and responsiveness, and pharmacy services in the CHCs were associated with a higher likelihood of taking community-based primary care facilities as a first choice for medical attention. CONCLUSION: The consumers of CHCs are generally satisfied with the services they received. However, one quarter of the CHC patients are yet to be convinced to accept community-based primary care facilities as a preferred first provider for medical care. Geographic proximity and patient experience with CHCs are associated with the patient choice.",0
