BERT-Base Model,T&A Link,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-weighted-average-2080-hidden-states,0.88,0.887,0.876,0.902,0.952,0.926,0.986
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-weighted-average-1090-hidden-states,0.873,0.877,0.872,0.886,0.944,0.923,0.983
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-weighted-average-3070-hidden-states,0.869,0.879,0.863,0.9,0.952,0.92,0.986
BiomedNLP-BiomedBERT-base-uncased-abstract,text-concatenation-hidden-states,0.869,0.877,0.864,0.897,0.946,0.92,0.982
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-weighted-average-4060-hidden-states,0.866,0.88,0.858,0.907,0.949,0.919,0.985
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-concatenation-hidden-states,0.865,0.876,0.858,0.898,0.953,0.918,0.987
BiomedNLP-BiomedBERT-base-uncased-abstract,abstract-text-hidden-states,0.863,0.873,0.857,0.893,0.934,0.916,0.977
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-average-hidden-states,0.862,0.875,0.854,0.899,0.944,0.916,0.984
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-sum-hidden-states,0.862,0.875,0.854,0.899,0.944,0.916,0.984
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-average-classification-token,0.859,0.857,0.86,0.856,0.925,0.913,0.978
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-sum-classification-token,0.859,0.857,0.86,0.856,0.925,0.913,0.978
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-weighted-average-4060-classification-token,0.852,0.853,0.851,0.859,0.919,0.909,0.977
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-concatenation-classification-token,0.846,0.85,0.846,0.859,0.917,0.907,0.978
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-weighted-average-3070-classification-token,0.844,0.847,0.843,0.855,0.914,0.904,0.974
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-weighted-average-2080-classification-token,0.826,0.829,0.827,0.839,0.901,0.894,0.967
BiomedNLP-BiomedBERT-base-uncased-abstract,text-concatenation-classification-token,0.826,0.821,0.831,0.814,0.897,0.894,0.965
BiomedNLP-BiomedBERT-base-uncased-abstract,title-text-hidden-states,0.818,0.824,0.815,0.836,0.91,0.889,0.968
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-weighted-average-1090-classification-token,0.805,0.806,0.805,0.815,0.877,0.881,0.958
BiomedNLP-BiomedBERT-base-uncased-abstract,abstract-text-classification-token,0.801,0.801,0.802,0.805,0.863,0.878,0.952
BiomedNLP-BiomedBERT-base-uncased-abstract,title-text-classification-token,0.784,0.774,0.791,0.766,0.853,0.867,0.947
