BERT-Base Model,T&A Link,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
BioLinkBERT-base,vector-concatenation-hidden-states,0.8937455636912578,0.90846347893749,0.8861471861471861,0.11385281385281382,0.9423211708925995,0.05767882910740055,0.9712327004430923,0.9354853627460011,0.9894925700776765,0.9329576341724507,0.8921962756095135,0.09493484096111826,0.026235153917983426,0.984823539344816,0.015176460655184066,0.9744847817546471,0.025515218245352873,0.9663367946458782,0.9659890293379002,0.9683506536928738,0.9663367946458782,0.9438925272714498,0.9584029763236233,0.9354853627460011
BioLinkBERT-base,vector-sum-hidden-states,0.8910891687224365,0.9007368788996772,0.8861471861471861,0.11385281385281382,0.9238520738520738,0.07614792614792616,0.9552180349265823,0.9339972675079059,0.9821796997328912,0.9315350303085277,0.8818183855607087,0.11696987685989595,0.03092444646060907,0.9818473488686253,0.018152651131374542,0.9743776750821909,0.025622324917809084,0.9638866794885127,0.9634332869424734,0.9649400501658578,0.9638866794885127,0.9393175760085345,0.9491148744671326,0.9339972675079059
BioLinkBERT-base,vector-average-hidden-states,0.8910891687224365,0.9007368788996772,0.8861471861471861,0.11385281385281382,0.9238520738520738,0.07614792614792616,0.9552180349265823,0.9339972675079059,0.9821796997328912,0.9315350303085277,0.8818183855607087,0.11696987685989595,0.03092444646060907,0.9818473488686253,0.018152651131374542,0.9743776750821909,0.025622324917809084,0.9638866794885127,0.9634332869424734,0.9649400501658578,0.9638866794885127,0.9393175760085345,0.9491148744671326,0.9339972675079059
BioLinkBERT-base,vector-weighted-average-4060-hidden-states,0.8910039049013682,0.9008394677011873,0.8861471861471861,0.11385281385281382,0.9248460534174819,0.07515394658251803,0.9565981287589297,0.9339761597740323,0.9823324429707408,0.9313499979563737,0.8822288381678699,0.11641145563951272,0.03074773929501397,0.9818051334008783,0.01819486659912193,0.9744407870191819,0.025559212980818084,0.9638732521934095,0.9634002750213992,0.9650820047488385,0.9638732521934095,0.9393569862020301,0.949643420218332,0.9339761597740323
BioLinkBERT-base,abstract-text-hidden-states,0.8892507600373963,0.8829246323035145,0.8948051948051947,0.10519480519480515,0.8774392274392275,0.12256077256077257,0.9547054817139731,0.9322577983482239,0.9827369439071567,0.9304276335138686,0.858039869029167,0.11982771605085814,0.03349582112433828,0.9697104018912531,0.030289598108747033,0.9759270628411069,0.02407293715889309,0.9556467146826739,0.9558628270321634,0.9576018484730972,0.9556467146826739,0.9277705294903636,0.9266831451401671,0.9322577983482239
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-weighted-average-2080-hidden-states,0.8870678853623846,0.8981638926980542,0.8818181818181818,0.11818181818181817,0.926851455422884,0.07314854457711599,0.9652175267466673,0.9317795371449394,0.9888828819448615,0.9287506531805718,0.8801148899028932,0.1039652849288987,0.02888564700936165,0.9817408924716973,0.01825910752830272,0.9735791444898299,0.026420855510170253,0.9630095109193203,0.9624518991108397,0.9647224527090168,0.9630095109193203,0.9377560879022617,0.9502152999563568,0.9317795371449394
S-PubMedBert-MS-MARCO,text-concatenation-hidden-states,0.8848979820771263,0.8848605420949324,0.8865800865800866,0.11341991341991338,0.8916083916083916,0.1083916083916084,0.95897180620799,0.9296117728761114,0.9837577072429062,0.9276077901071447,0.8612525626043464,0.11833127174489172,0.03291152385986097,0.9726434591721362,0.02735654082786368,0.9741116329850389,0.025888367014961042,0.9564831131012803,0.956541981990824,0.9586129825779244,0.9564831131012803,0.928990987472931,0.9328600122967152,0.9296117728761114
BioLinkBERT-base,vector-weighted-average-3070-hidden-states,0.8845652845775211,0.8919307538562196,0.8818181818181817,0.11818181818181814,0.9142584928299212,0.08574150717007861,0.954371917170184,0.9302919007706242,0.9818792023579257,0.9271210131892825,0.8723673905790509,0.11921146621126903,0.03170910729962616,0.9787656197230665,0.021234380276933466,0.9735826468378638,0.026417353162136198,0.9606030955041995,0.9600807513577484,0.9623733086881517,0.9606030955041995,0.9338933046161314,0.9439205698338926,0.9302919007706242
BioLinkBERT-base,vector-weighted-average-2080-hidden-states,0.883326990972209,0.8882792431860754,0.8818181818181817,0.11818181818181817,0.9048443619872192,0.09515563801278086,0.9559018333463646,0.9292787295446869,0.9824226305609285,0.9262881172957327,0.8668779452065497,0.12021526332075422,0.03199991268912349,0.9767392772711924,0.023260722728807838,0.9733994099820449,0.026600590017955127,0.9589471438190251,0.9585274421382317,0.9604447060164534,0.9589471438190251,0.9315400458853521,0.9391218859846321,0.9292787295446869
pubmedbert-base-embeddings,text-concatenation-hidden-states,0.8811296858071651,0.8823872498864325,0.8822510822510821,0.11774891774891773,0.8935116470830755,0.10648835291692434,0.9510761198632616,0.9279855179253884,0.9811384293576708,0.9249923191751888,0.8597478438118581,0.12980059756874646,0.03474277599682595,0.9737199535996947,0.026280046400305415,0.9733047536739319,0.02669524632606813,0.956440878154865,0.9561554837714009,0.9584114267839607,0.956440878154865,0.9278049269067635,0.9334082003785037,0.9279855179253884
