Classifier Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
SVM (RBF Kernel),0.9133872850681722,0.9173940403427164,0.9116883116883117,0.08831168831168829,0.9281089281089282,0.0718910718910719,0.9659065848408029,0.9472322004236898,0.9903790949003712,0.9455922827441351,0.9006290515635323,0.0953506711646233,0.024223046879373895,0.982776089159068,0.01722391084093212,0.9801492442270068,0.019850755772993306,0.9695632515928433,0.9694073128031704,0.970423883149659,0.9695632515928433,0.9493577642313168,0.9541290861679673,0.9472322004236898
Neural Network,0.9126064049438838,0.9155216811084743,0.9121212121212122,0.08787878787878786,0.9265554551268836,0.07344454487311632,0.9700921180791311,0.9469526188941083,0.9908085413404562,0.9450764407134209,0.8992404533160988,0.12831237430754766,0.025846344006932226,0.9817840256670045,0.018215974332995617,0.9802477687108794,0.0197522312891208,0.9687566373561021,0.968593288035971,0.9702277291689343,0.9687566373561021,0.9481588874668051,0.9534016119188815,0.9469526188941083
Deep Neural Network,0.9118752001766456,0.91356193042365,0.9121212121212122,0.08787878787878786,0.9218490504204789,0.07815094957952101,0.9708425585157188,0.9464354794142028,0.9910641368088177,0.9446968632063999,0.896484998013277,0.19568699123207123,0.029730083972948136,0.9807497467071936,0.019250253292806486,0.9802124640438088,0.01978753595619121,0.9679217037333251,0.9677939425988988,0.9692926757394398,0.9679217037333251,0.9469182261967914,0.9510307572321437,0.9464354794142028
Logistic Regression,0.9044206240564899,0.9084743322010405,0.9034632034632034,0.09653679653679652,0.9225705511419798,0.07742944885802029,0.9693597589672509,0.9421060162214184,0.990731018390593,0.9398537812974416,0.8912672047429242,0.11341133708187522,0.026697878381746934,0.9807488289796338,0.019251171020366213,0.9784123320708399,0.021587667929160136,0.9663219025549455,0.9660185485000865,0.9678400437126384,0.9663219025549455,0.9438988252207555,0.9504914416064096,0.9421060162214184
k-Nearest Neighbors,0.8851918425929438,0.8194895965217948,0.938961038961039,0.06103896103896104,0.73590026817581,0.26409973182419,0.8772408844697163,0.9270319489329666,0.9731421356421357,0.9257528723267718,0.7834657501968726,0.7049894114598674,0.06807980858284933,0.9151028589048942,0.08489714109510596,0.9850098587624306,0.014990141237569561,0.9194767553991153,0.9238933808211984,0.938340546710405,0.9194767553991153,0.8837428044013377,0.8604550634691205,0.9270319489329666
SVM (Polynomial Kernel),0.8842593626326162,0.8912221469037421,0.8813852813852814,0.11861471861471859,0.9112577898292183,0.08874221017078161,0.9378812273248953,0.930064896687237,0.9831921034048695,0.9269243062633764,0.870897663457975,0.14053364185439038,0.035378406359179715,0.9787445119891929,0.021255488010807164,0.9734936834519721,0.026506316548027962,0.9605454802015753,0.9600435564976822,0.9618954702219052,0.9605454802015753,0.9335385711911248,0.9423757366405952,0.930064896687237
Gaussian Naive Bayes,0.8561187091797654,0.7470272028646413,0.951948051948052,0.04805194805194806,0.6200271134094664,0.37997288659053363,0.7141051357967106,0.9051346356387986,0.9409277458074867,0.903183804169158,0.7008897436780315,3.3637585375878283,0.12339333890538978,0.858321219329545,0.14167878067045503,0.9874468880472617,0.01255311195273837,0.8758902906984977,0.8855195247086707,0.9184403039899303,0.8758902906984977,0.832282399766997,0.803737000728364,0.9051346356387986
Random Forest Classifier,0.6849008838900267,0.7646936552398736,0.6419913419913419,0.358008658008658,0.9785714285714286,0.021428571428571425,0.9404607297424799,0.8194759141567654,0.9759556046790088,0.7934427489418034,0.7551181411101964,0.2065580866613249,0.05585588288859691,0.9969604863221885,0.0030395136778115545,0.9241312807142725,0.07586871928572761,0.9301673236275964,0.9223476907697183,0.9343510144798136,0.9301673236275964,0.8618049709554244,0.9513513546428505,0.8194759141567654
Decision Tree Classifier,0.660958956662019,0.6618563761617047,0.6645021645021645,0.33549783549783546,0.6823199287485002,0.31768007125149983,0.5204743670019719,0.7947940319008774,0.7947940319008774,0.7771060240054195,0.594762189740021,4.468747642385772,0.12398153966642697,0.9250858992995906,0.07491410070040966,0.9239734410784706,0.07602655892152937,0.876018460333573,0.8744199267164705,0.8784745163627543,0.876018460333573,0.7927949638150379,0.8031466849134855,0.7947940319008774
Gaussian Process Classifier,0.47002239633331255,0.4533406896760934,0.48441558441558435,0.5155844155844156,0.4343418879022594,0.5656581120977405,0.8013146382700951,0.7276535508381021,0.8923208145282613,0.48901454116247434,0.43874218350974087,0.40979581881841187,0.13101639179456978,0.97089151726062,0.029108482739380055,0.9008935444038952,0.09910645559610472,0.8793457440601309,0.8407486042561991,0.8131266333190359,0.8793457440601309,0.6919349137838794,0.6676177161530772,0.7276535508381021
