Classifier Model,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
SVM (RBF Kernel),0.906,0.91,0.903,0.918,0.964,0.942,0.99
Neural Network,0.9,0.906,0.896,0.914,0.964,0.939,0.989
Logistic Regression,0.899,0.9,0.898,0.899,0.956,0.938,0.988
Deep Neural Network,0.897,0.895,0.898,0.892,0.962,0.9369999999999999,0.988
k-Nearest Neighbors,0.869,0.791,0.9289999999999999,0.689,0.872,0.916,0.969
SVM (Polynomial Kernel),0.857,0.868,0.85,0.884,0.921,0.912,0.98
Gaussian Naive Bayes,0.854,0.743,0.949,0.61,0.708,0.904,0.94
Decision Tree Classifier,0.656,0.654,0.656,0.646,0.497,0.79,0.79
Random Forest Classifier,0.648,0.739,0.599,0.969,0.93,0.797,0.974
Gaussian Process Classifier,0.587,0.57,0.602,0.5519999999999999,0.528,0.782,0.717
