Classifier Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
k-Nearest Neighbors,0.9061473338577988,0.8424653798773879,0.9562770562770563,0.04372294372294373,0.7582872309763067,0.2417127690236934,0.9001532875335421,0.9412302788690393,0.9723882057658654,0.9404891999704118,0.8115084127252288,0.6812544119020204,0.06074255428704145,0.9261835014610224,0.0738164985389777,0.9894544220102565,0.010545577989743447,0.9317930028656288,0.9350492879361073,0.9461221822983461,0.9317930028656288,0.8994402962863558,0.8738708264932816,0.9412302788690393
Deep Neural Network,0.8958407879853242,0.8934887059110662,0.8991341991341993,0.10086580086580084,0.8961963961963965,0.1038036038036038,0.9587542253129235,0.9363844020354196,0.9853477786988426,0.9345091364697792,0.8718553577743288,0.23196924661065496,0.03474222263384948,0.9736346049366402,0.026365395063359907,0.9770848435258279,0.02291515647417213,0.959682715458039,0.959771506910777,0.9618890698901451,0.959682715458039,0.9342872917804703,0.9366406198611118,0.9363844020354196
SVM (RBF Kernel),0.8957999910551437,0.9056246158403728,0.8904761904761906,0.1095238095238095,0.9274743774743774,0.07252562252562253,0.9658002338129795,0.9366256809538491,0.9878327346412453,0.934494232534461,0.886995206009637,0.10266935827336443,0.027658214211401716,0.9827751714315082,0.017224828568491845,0.9752681884612354,0.02473181153876467,0.9654725651065125,0.965110692992486,0.9662975812165842,0.9654725651065125,0.9422356906540384,0.9513712829678065,0.9366256809538491
Logistic Regression,0.8914503413463427,0.8955304158507819,0.8904761904761904,0.10952380952380951,0.9091770663199235,0.09082293368007655,0.9590026463924052,0.9336072750099114,0.9859629731970158,0.9315417783618478,0.8745297239201205,0.1416268660902466,0.031577033233264315,0.9767383595436324,0.023261640456367562,0.975121650718934,0.024878349281065967,0.9605891799438201,0.960571170231568,0.96258965717581,0.9605891799438201,0.9355980126189624,0.9421493585194286,0.9336072750099114
Neural Network,0.888938976731589,0.8955020527037525,0.8861471861471861,0.11385281385281384,0.9134851920566207,0.08651480794337939,0.963301749562248,0.9324348363374727,0.9871030911733963,0.9300642551688877,0.8750281461185923,0.16551702191926398,0.03244987469683994,0.9787224865277595,0.021277513472240578,0.9742684138101739,0.025731586189825923,0.9613674747945257,0.9610971358311302,0.9628342976270117,0.9613674747945257,0.935882514183007,0.9438768029333973,0.9324348363374727
Gaussian Process Classifier,0.8490073401560954,0.8482589496515613,0.8515151515151512,0.14848484848484847,0.8553340839055122,0.1446659160944875,0.189415966023433,0.9075833580285478,0.5039999155690645,0.9043699484458174,0.8167323777150618,0.6931471580632705,0.24999998875166257,0.9636515645419438,0.036348435458056175,0.9659462772525129,0.03405372274748703,0.9425248295099722,0.9426294304699467,0.9451856599919575,0.9425248295099722,0.9063732456295617,0.910640180579013,0.9075833580285478
Gaussian Naive Bayes,0.8406062864015179,0.7845111424064806,0.8861471861471861,0.11385281385281384,0.7136486077275551,0.28635139227244494,0.7426209999144291,0.8990194581602999,0.9401838358475729,0.8968660770649292,0.7386540466221815,2.819247915022041,0.09159903643346813,0.9118917301734139,0.0881082698265862,0.9726078984120654,0.027392101587934422,0.9071336533423956,0.9112269491551459,0.9238845205546371,0.9071336533423956,0.8625322982435665,0.8431282530698102,0.8990194581602999
SVM (Polynomial Kernel),0.8306549737222004,0.8689144279860199,0.8082251082251081,0.19177489177489174,0.9495224352367209,0.050477564763279054,0.9565203700982219,0.8990356852521515,0.9797661263086793,0.8919780344969512,0.8494837428041276,0.11968809391513838,0.029387451326623175,0.9898462622791948,0.010153737720805259,0.9576079317238546,0.04239206827614533,0.9556486677437797,0.9536197321985379,0.9560746886196687,0.9556486677437797,0.9210969508949525,0.9535651834802878,0.8990356852521515
Random Forest Classifier,0.7081063376367208,0.7840797722597809,0.6670995670995671,0.3329004329004328,0.9857142857142857,0.014285714285714282,0.9465855525080185,0.8325366123238463,0.9768306161923183,0.809051389672893,0.7755745136676859,0.19207667780637946,0.05051137135650348,0.9979736575481256,0.0020263424518743695,0.9295825833584901,0.07041741664151008,0.9359000462387217,0.9288854158738827,0.9402269067926996,0.9359000462387217,0.8731776422782322,0.9576484345363875,0.8325366123238463
Decision Tree Classifier,0.6900969330524338,0.6893833461224765,0.693939393939394,0.306060606060606,0.7082010582010582,0.2917989417989417,0.5484024922685726,0.812046033548115,0.812046033548115,0.7978502974187288,0.6277374374915239,4.115124860819433,0.11417058133352079,0.930152673156836,0.06984732684316403,0.930539755896164,0.06946024410383596,0.8858294186664791,0.8845758200844936,0.8886163051207532,0.8858294186664791,0.8095693111679585,0.8193704070486111,0.812046033548115
