Classifier Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
k-Nearest Neighbors,0.902 ± 0.007,0.833 ± 0.013,0.955 ± 0.002,0.045 ± 0.002,0.741 ± 0.022,0.259 ± 0.022,0.891 ± 0.011,0.938 ± 0.005,0.97 ± 0.002,0.938 ± 0.004,0.799 ± 0.016,0.727 ± 0.047,0.064 ± 0.004,0.921 ± 0.008,0.079 ± 0.008,0.989 ± 0.001,0.011 ± 0.001,0.928 ± 0.007,0.931 ± 0.006,0.942 ± 0.005,0.928 ± 0.007,0.893 ± 0.009,0.865 ± 0.011,0.938 ± 0.005
Deep Neural Network,0.898 ± 0.005,0.894 ± 0.002,0.901 ± 0.007,0.099 ± 0.007,0.891 ± 0.009,0.109 ± 0.009,0.955 ± 0.006,0.937 ± 0.003,0.984 ± 0.002,0.936 ± 0.003,0.871 ± 0.002,0.242 ± 0.015,0.035 ± 0.001,0.974 ± 0.002,0.026 ± 0.002,0.977 ± 0.002,0.023 ± 0.002,0.96 ± 0.001,0.96 ± 0.001,0.961 ± 0.001,0.96 ± 0.001,0.935 ± 0.001,0.934 ± 0.004,0.937 ± 0.003
Logistic Regression,0.895 ± 0.004,0.895 ± 0.004,0.895 ± 0.006,0.105 ± 0.006,0.898 ± 0.014,0.102 ± 0.014,0.956 ± 0.005,0.935 ± 0.002,0.985 ± 0.002,0.934 ± 0.003,0.872 ± 0.006,0.144 ± 0.007,0.031 ± 0.001,0.976 ± 0.003,0.024 ± 0.003,0.976 ± 0.001,0.024 ± 0.001,0.96 ± 0.002,0.96 ± 0.002,0.961 ± 0.002,0.96 ± 0.002,0.935 ± 0.003,0.937 ± 0.006,0.935 ± 0.002
Neural Network,0.894 ± 0.005,0.899 ± 0.005,0.892 ± 0.006,0.108 ± 0.006,0.909 ± 0.01,0.091 ± 0.01,0.957 ± 0.004,0.935 ± 0.003,0.985 ± 0.002,0.934 ± 0.003,0.877 ± 0.006,0.172 ± 0.005,0.033 ± 0.002,0.978 ± 0.002,0.022 ± 0.002,0.975 ± 0.001,0.025 ± 0.001,0.962 ± 0.002,0.962 ± 0.002,0.963 ± 0.002,0.962 ± 0.002,0.938 ± 0.003,0.942 ± 0.005,0.935 ± 0.003
SVM (RBF Kernel),0.888 ± 0.008,0.901 ± 0.005,0.88 ± 0.01,0.12 ± 0.01,0.926 ± 0.007,0.074 ± 0.007,0.962 ± 0.005,0.932 ± 0.005,0.986 ± 0.002,0.93 ± 0.005,0.881 ± 0.007,0.106 ± 0.004,0.028 ± 0.001,0.983 ± 0.002,0.017 ± 0.002,0.973 ± 0.002,0.027 ± 0.002,0.964 ± 0.002,0.963 ± 0.002,0.964 ± 0.002,0.964 ± 0.002,0.94 ± 0.003,0.949 ± 0.004,0.932 ± 0.005
Gaussian Naive Bayes,0.842 ± 0.006,0.785 ± 0.004,0.887 ± 0.008,0.113 ± 0.008,0.708 ± 0.007,0.292 ± 0.007,0.731 ± 0.009,0.9 ± 0.004,0.938 ± 0.003,0.899 ± 0.004,0.737 ± 0.006,2.85 ± 0.083,0.092 ± 0.002,0.912 ± 0.001,0.088 ± 0.001,0.972 ± 0.002,0.028 ± 0.002,0.908 ± 0.001,0.912 ± 0.001,0.923 ± 0.002,0.908 ± 0.001,0.863 ± 0.002,0.84 ± 0.004,0.9 ± 0.004
Gaussian Process Classifier,0.839 ± 0.012,0.846 ± 0.005,0.835 ± 0.018,0.165 ± 0.018,0.862 ± 0.012,0.138 ± 0.012,0.189 ± 0.0,0.901 ± 0.007,0.503 ± 0.001,0.898 ± 0.008,0.813 ± 0.006,0.693 ± 0.0,0.25 ± 0.0,0.967 ± 0.005,0.033 ± 0.005,0.962 ± 0.004,0.038 ± 0.004,0.943 ± 0.002,0.942 ± 0.002,0.943 ± 0.002,0.943 ± 0.002,0.905 ± 0.003,0.912 ± 0.005,0.901 ± 0.007
SVM (Polynomial Kernel),0.82 ± 0.013,0.865 ± 0.01,0.793 ± 0.016,0.207 ± 0.016,0.955 ± 0.007,0.045 ± 0.007,0.952 ± 0.004,0.892 ± 0.008,0.979 ± 0.001,0.886 ± 0.008,0.844 ± 0.012,0.123 ± 0.004,0.03 ± 0.002,0.991 ± 0.001,0.009 ± 0.001,0.954 ± 0.004,0.046 ± 0.004,0.954 ± 0.003,0.952 ± 0.004,0.954 ± 0.004,0.954 ± 0.003,0.919 ± 0.006,0.955 ± 0.004,0.892 ± 0.008
Random Forest Classifier,0.713 ± 0.017,0.794 ± 0.014,0.668 ± 0.019,0.332 ± 0.019,0.989 ± 0.006,0.011 ± 0.006,0.945 ± 0.002,0.833 ± 0.01,0.976 ± 0.001,0.815 ± 0.011,0.781 ± 0.015,0.201 ± 0.012,0.052 ± 0.002,0.998 ± 0.001,0.002 ± 0.001,0.929 ± 0.004,0.071 ± 0.004,0.936 ± 0.004,0.931 ± 0.005,0.94 ± 0.004,0.936 ± 0.004,0.878 ± 0.008,0.959 ± 0.005,0.833 ± 0.01
Decision Tree Classifier,0.685 ± 0.043,0.695 ± 0.047,0.68 ± 0.043,0.32 ± 0.043,0.72 ± 0.063,0.28 ± 0.063,0.551 ± 0.062,0.808 ± 0.027,0.808 ± 0.027,0.796 ± 0.029,0.63 ± 0.06,4.023 ± 0.665,0.112 ± 0.018,0.937 ± 0.015,0.063 ± 0.015,0.927 ± 0.01,0.073 ± 0.01,0.888 ± 0.018,0.887 ± 0.018,0.888 ± 0.019,0.888 ± 0.018,0.813 ± 0.029,0.823 ± 0.035,0.808 ± 0.027
