K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.8976865369181368,0.8304598288099395,0.951948051948052,0.04805194805194806,0.7439240541020727,0.2560759458979273,0.9348879554021252,0.9350020790700717,0.9778426360873169,0.9339789347342646,0.7970285403265955,0.26841229309411146,0.06920598442906012,0.9180561061920914,0.08194389380790858,0.9881362799841061,0.011863720015893933,0.9243889482131197,0.9285412987106694,0.942331176873122,0.9243889482131197,0.8908241033147303,0.8660301670430893,0.9350020790700717
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.8976865369181368,0.8304598288099395,0.951948051948052,0.04805194805194806,0.7439240541020727,0.2560759458979273,0.9348879554021252,0.9350020790700717,0.9778426360873169,0.9339789347342646,0.7970285403265955,0.26841229309411146,0.06920598442906012,0.9180561061920914,0.08194389380790858,0.9881362799841061,0.011863720015893933,0.9243889482131197,0.9285412987106694,0.942331176873122,0.9243889482131197,0.8908241033147303,0.8660301670430893,0.9350020790700717
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.8944034771753506,0.828337303912005,0.9480519480519481,0.051948051948051945,0.7433944012725524,0.2566055987274475,0.9231281486569438,0.9335610715987682,0.9789256547235271,0.9321069219782959,0.7950278095960557,0.359557731850514,0.06741413098330852,0.9190701951455884,0.0809298048544117,0.9874835977056142,0.012516402294385639,0.9243899247436729,0.928237531791731,0.9417026269356596,0.9243899247436729,0.8898423786699378,0.8654389994890836,0.9335610715987682
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.8944034771753506,0.828337303912005,0.9480519480519481,0.051948051948051945,0.7433944012725524,0.2566055987274475,0.9231281486569438,0.9335610715987682,0.9789256547235271,0.9321069219782959,0.7950278095960557,0.359557731850514,0.06741413098330852,0.9190701951455884,0.0809298048544117,0.9874835977056142,0.012516402294385639,0.9243899247436729,0.928237531791731,0.9417026269356596,0.9243899247436729,0.8898423786699378,0.8654389994890836,0.9335610715987682
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.8924630856469613,0.8236917828079391,0.9476190476190477,0.05238095238095238,0.73440934403451,0.2655906559654901,0.9367224060732907,0.9312962534690101,0.9787322311258481,0.930545919684022,0.7879532265777119,0.2658935177969311,0.0688519892373187,0.914973459318973,0.08502654068102726,0.9868379195526599,0.013162080447340256,0.9210770448427711,0.9254770565585554,0.939438568177334,0.9210770448427711,0.8863539568877118,0.8606236317935847,0.9312962534690101
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.8916214968089035,0.8230573749155529,0.9476190476190477,0.05238095238095238,0.7352386335469042,0.2647613664530958,0.9212804829503799,0.9313292916611603,0.9772617896288109,0.9299495885330008,0.7885088583431189,0.3839931638086454,0.06699584322050016,0.9150395357032731,0.08496046429672702,0.9872937440467505,0.012706255953249474,0.9210914486684274,0.9253630370997532,0.9400318241734841,0.9210914486684274,0.886024069780137,0.8612661887968275,0.9313292916611603
"{'n_neighbors': 5, 'metric': 'manhattan'}",0.8912960848818757,0.8264785272238688,0.9437229437229439,0.05627705627705627,0.7432070278321937,0.25679297216780633,0.8825324115252422,0.9314286898988564,0.9726631819716925,0.9301262815529024,0.7922227377412322,0.673104873740737,0.06630793945624297,0.9191344360747693,0.0808655639252309,0.9862567174662457,0.013743282533754321,0.9236111416276908,0.9275163213462202,0.9406956768469411,0.9236111416276908,0.8886795245031722,0.8647318726492198,0.9314286898988564
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.8899705637619149,0.8289361579352298,0.938961038961039,0.06103896103896104,0.7491906616243194,0.25080933837568076,0.9328315567799829,0.9300287882792507,0.9761996868379847,0.9291828750780756,0.7936589348093644,0.28698257694834456,0.07165666826031514,0.9210965375974628,0.0789034624025373,0.9849025902841132,0.015097409715886875,0.9243750326527402,0.9283253345284447,0.9407019934075229,0.9243750326527402,0.8901108876004964,0.8670466259542161,0.9300287882792507
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.8899705637619149,0.8289361579352298,0.938961038961039,0.06103896103896104,0.7491906616243194,0.25080933837568076,0.9328315567799829,0.9300287882792507,0.9761996868379847,0.9291828750780756,0.7936589348093644,0.28698257694834456,0.07165666826031514,0.9210965375974628,0.0789034624025373,0.9849025902841132,0.015097409715886875,0.9243750326527402,0.9283253345284447,0.9407019934075229,0.9243750326527402,0.8901108876004964,0.8670466259542161,0.9300287882792507
"{'n_neighbors': 3, 'metric': 'euclidean'}",0.8884371231439869,0.8197723546242144,0.9437229437229436,0.05627705627705627,0.730991705151369,0.26900829484863104,0.8266063688839509,0.9293913347162656,0.9635945319455959,0.9281702263231646,0.7839005380679083,1.139631336769187,0.07192875548350998,0.915059725709587,0.08494027429041304,0.9861704813303861,0.013829518669613815,0.920340984938481,0.9244951705445132,0.9382544682728793,0.920340984938481,0.8842586002514101,0.8585810932408777,0.9293913347162656
"{'n_neighbors': 3, 'metric': 'minkowski'}",0.8884371231439869,0.8197723546242144,0.9437229437229436,0.05627705627705627,0.730991705151369,0.26900829484863104,0.8266063688839509,0.9293913347162656,0.9635945319455959,0.9281702263231646,0.7839005380679083,1.139631336769187,0.07192875548350998,0.915059725709587,0.08494027429041304,0.9861704813303861,0.013829518669613815,0.920340984938481,0.9244951705445132,0.9382544682728793,0.920340984938481,0.8842586002514101,0.8585810932408777,0.9293913347162656
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.8851918425929438,0.8194895965217948,0.938961038961039,0.06103896103896104,0.73590026817581,0.26409973182419,0.8772408844697163,0.9270319489329666,0.9731421356421357,0.9257528723267718,0.7834657501968726,0.7049894114598674,0.06807980858284933,0.9151028589048942,0.08489714109510596,0.9850098587624306,0.014990141237569561,0.9194767553991153,0.9238933808211984,0.938340546710405,0.9194767553991153,0.8837428044013377,0.8604550634691205,0.9270319489329666
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.8851918425929438,0.8194895965217948,0.938961038961039,0.06103896103896104,0.73590026817581,0.26409973182419,0.8772408844697163,0.9270319489329666,0.9731421356421357,0.9257528723267718,0.7834657501968726,0.7049894114598674,0.06807980858284933,0.9151028589048942,0.08489714109510596,0.9850098587624306,0.014990141237569561,0.9194767553991153,0.9238933808211984,0.938340546710405,0.9194767553991153,0.8837428044013377,0.8604550634691205,0.9270319489329666
