K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.891 ± 0.008,0.818 ± 0.01,0.949 ± 0.007,0.051 ± 0.007,0.721 ± 0.014,0.279 ± 0.014,0.929 ± 0.007,0.931 ± 0.005,0.978 ± 0.001,0.93 ± 0.005,0.781 ± 0.012,0.294 ± 0.026,0.072 ± 0.003,0.913 ± 0.004,0.087 ± 0.004,0.987 ± 0.002,0.013 ± 0.002,0.919 ± 0.004,0.924 ± 0.004,0.937 ± 0.004,0.919 ± 0.004,0.883 ± 0.006,0.854 ± 0.008,0.931 ± 0.005
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.891 ± 0.008,0.818 ± 0.01,0.949 ± 0.007,0.051 ± 0.007,0.721 ± 0.014,0.279 ± 0.014,0.929 ± 0.007,0.931 ± 0.005,0.978 ± 0.001,0.93 ± 0.005,0.781 ± 0.012,0.294 ± 0.026,0.072 ± 0.003,0.913 ± 0.004,0.087 ± 0.004,0.987 ± 0.002,0.013 ± 0.002,0.919 ± 0.004,0.924 ± 0.004,0.937 ± 0.004,0.919 ± 0.004,0.883 ± 0.006,0.854 ± 0.008,0.931 ± 0.005
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.887 ± 0.002,0.822 ± 0.004,0.938 ± 0.003,0.062 ± 0.003,0.734 ± 0.008,0.266 ± 0.008,0.934 ± 0.003,0.929 ± 0.001,0.977 ± 0.001,0.928 ± 0.001,0.784 ± 0.005,0.285 ± 0.012,0.075 ± 0.003,0.919 ± 0.002,0.081 ± 0.002,0.985 ± 0.001,0.015 ± 0.001,0.923 ± 0.002,0.926 ± 0.001,0.937 ± 0.002,0.923 ± 0.002,0.886 ± 0.002,0.859 ± 0.004,0.929 ± 0.001
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.887 ± 0.002,0.822 ± 0.004,0.938 ± 0.003,0.062 ± 0.003,0.734 ± 0.008,0.266 ± 0.008,0.934 ± 0.003,0.929 ± 0.001,0.977 ± 0.001,0.928 ± 0.001,0.784 ± 0.005,0.285 ± 0.012,0.075 ± 0.003,0.919 ± 0.002,0.081 ± 0.002,0.985 ± 0.001,0.015 ± 0.001,0.923 ± 0.002,0.926 ± 0.001,0.937 ± 0.002,0.923 ± 0.002,0.886 ± 0.002,0.859 ± 0.004,0.929 ± 0.001
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.885 ± 0.012,0.81 ± 0.014,0.945 ± 0.011,0.055 ± 0.011,0.712 ± 0.018,0.288 ± 0.018,0.914 ± 0.012,0.927 ± 0.008,0.977 ± 0.002,0.927 ± 0.008,0.772 ± 0.018,0.392 ± 0.042,0.072 ± 0.004,0.91 ± 0.006,0.09 ± 0.006,0.986 ± 0.003,0.014 ± 0.003,0.916 ± 0.006,0.921 ± 0.006,0.935 ± 0.006,0.916 ± 0.006,0.878 ± 0.009,0.849 ± 0.01,0.927 ± 0.008
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.885 ± 0.012,0.81 ± 0.014,0.945 ± 0.011,0.055 ± 0.011,0.712 ± 0.018,0.288 ± 0.018,0.914 ± 0.012,0.927 ± 0.008,0.977 ± 0.002,0.927 ± 0.008,0.772 ± 0.018,0.392 ± 0.042,0.072 ± 0.004,0.91 ± 0.006,0.09 ± 0.006,0.986 ± 0.003,0.014 ± 0.003,0.916 ± 0.006,0.921 ± 0.006,0.935 ± 0.006,0.916 ± 0.006,0.878 ± 0.009,0.849 ± 0.01,0.927 ± 0.008
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.884 ± 0.004,0.809 ± 0.006,0.943 ± 0.004,0.057 ± 0.004,0.71 ± 0.01,0.29 ± 0.01,0.928 ± 0.008,0.926 ± 0.003,0.977 ± 0.002,0.926 ± 0.003,0.77 ± 0.008,0.302 ± 0.029,0.072 ± 0.003,0.909 ± 0.003,0.091 ± 0.003,0.986 ± 0.001,0.014 ± 0.001,0.915 ± 0.003,0.92 ± 0.003,0.934 ± 0.002,0.915 ± 0.003,0.877 ± 0.004,0.848 ± 0.005,0.926 ± 0.003
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.882 ± 0.008,0.808 ± 0.009,0.94 ± 0.008,0.06 ± 0.008,0.71 ± 0.012,0.29 ± 0.012,0.915 ± 0.008,0.925 ± 0.005,0.976 ± 0.002,0.924 ± 0.005,0.768 ± 0.012,0.385 ± 0.019,0.071 ± 0.004,0.909 ± 0.003,0.091 ± 0.003,0.985 ± 0.002,0.015 ± 0.002,0.915 ± 0.004,0.919 ± 0.004,0.933 ± 0.004,0.915 ± 0.004,0.876 ± 0.006,0.848 ± 0.007,0.925 ± 0.005
"{'n_neighbors': 21, 'metric': 'manhattan'}",0.881 ± 0.004,0.812 ± 0.003,0.934 ± 0.005,0.066 ± 0.005,0.721 ± 0.003,0.279 ± 0.003,0.931 ± 0.006,0.924 ± 0.003,0.976 ± 0.001,0.924 ± 0.003,0.773 ± 0.004,0.283 ± 0.019,0.075 ± 0.003,0.915 ± 0.001,0.085 ± 0.001,0.984 ± 0.001,0.016 ± 0.001,0.918 ± 0.001,0.922 ± 0.001,0.934 ± 0.001,0.918 ± 0.001,0.88 ± 0.002,0.852 ± 0.002,0.924 ± 0.003
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.88 ± 0.009,0.806 ± 0.011,0.939 ± 0.007,0.061 ± 0.007,0.71 ± 0.015,0.29 ± 0.015,0.879 ± 0.005,0.924 ± 0.006,0.971 ± 0.002,0.923 ± 0.006,0.767 ± 0.014,0.657 ± 0.034,0.072 ± 0.003,0.909 ± 0.005,0.091 ± 0.005,0.985 ± 0.002,0.015 ± 0.002,0.914 ± 0.005,0.919 ± 0.005,0.933 ± 0.004,0.914 ± 0.005,0.876 ± 0.007,0.847 ± 0.009,0.924 ± 0.006
