K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'n_neighbors': 21, 'metric': 'manhattan'}",0.9086727956562154,0.8476978607620429,0.9562770562770565,0.04372294372294373,0.7661014405762304,0.23389855942376947,0.947071978452835,0.9427293868378512,0.9770090724877958,0.9421275995601384,0.8171757182094874,0.26237385337787034,0.05847458538501059,0.9291817173986464,0.07081828260135381,0.9893645881512414,0.010635411848758661,0.9342287141973384,0.9373280067574238,0.9475176046413951,0.9342287141973384,0.9028530609907387,0.877733014363736,0.9427293868378512
"{'n_neighbors': 5, 'metric': 'manhattan'}",0.9086527546257215,0.8532911157548836,0.9515151515151516,0.04848484848484849,0.7785858982287556,0.2214141017712446,0.9111087710666226,0.9429130241225524,0.9730261515645421,0.9423181186882285,0.8235223744489187,0.612422246138397,0.05596031697532287,0.9343108967299533,0.06568910327004683,0.9884172007602694,0.011582799239730653,0.9375689369537226,0.9402470187912564,0.9490787338215793,0.9375689369537226,0.9067904193716294,0.8835015494945124,0.9429130241225524
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.9074030368213712,0.8447745814283972,0.9562770562770563,0.043722943722943726,0.761210680853538,0.23878931914646206,0.9330168302533492,0.9422223423611028,0.9753787878787877,0.9413870390237449,0.8141761566671543,0.3726533523625644,0.0606768981923275,0.9281676284451494,0.07183237155485073,0.9895481732438254,0.010451826756174579,0.9334360155209767,0.9363849730238533,0.946676811211187,0.9334360155209767,0.9011688210774897,0.8753794270486818,0.9422223423611028
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.9074030368213712,0.8447745814283972,0.9562770562770563,0.043722943722943726,0.761210680853538,0.23878931914646206,0.9330168302533492,0.9422223423611028,0.9753787878787877,0.9413870390237449,0.8141761566671543,0.3726533523625644,0.0606768981923275,0.9281676284451494,0.07183237155485073,0.9895481732438254,0.010451826756174579,0.9334360155209767,0.9363849730238533,0.946676811211187,0.9334360155209767,0.9011688210774897,0.8753794270486818,0.9422223423611028
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.9061473338577988,0.8424653798773879,0.9562770562770563,0.04372294372294373,0.7582872309763067,0.2417127690236934,0.9001532875335421,0.9412302788690393,0.9723882057658654,0.9404891999704118,0.8115084127252288,0.6812544119020204,0.06074255428704145,0.9261835014610224,0.0738164985389777,0.9894544220102565,0.010545577989743447,0.9317930028656288,0.9350492879361073,0.9461221822983461,0.9317930028656288,0.8994402962863558,0.8738708264932816,0.9412302788690393
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.9061473338577988,0.8424653798773879,0.9562770562770563,0.04372294372294373,0.7582872309763067,0.2417127690236934,0.9001532875335421,0.9412302788690393,0.9723882057658654,0.9404891999704118,0.8115084127252288,0.6812544119020204,0.06074255428704145,0.9261835014610224,0.0738164985389777,0.9894544220102565,0.010545577989743447,0.9317930028656288,0.9350492879361073,0.9461221822983461,0.9317930028656288,0.8994402962863558,0.8738708264932816,0.9412302788690393
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.9028790434140497,0.8406581495893983,0.951948051948052,0.04805194805194806,0.7584761954509854,0.24152380454901465,0.9417737933026221,0.9390556817013801,0.9762484265143837,0.9382417317681884,0.8089962029543681,0.2790344119978342,0.06379193046114821,0.9261633114547083,0.07383668854529167,0.9883974924107877,0.011602507589212404,0.9309729613337846,0.9342459673855753,0.9452675669528638,0.9309729613337846,0.8982610198045601,0.8734368439308865,0.9390556817013801
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.9028790434140497,0.8406581495893983,0.951948051948052,0.04805194805194806,0.7584761954509854,0.24152380454901465,0.9417737933026221,0.9390556817013801,0.9762484265143837,0.9382417317681884,0.8089962029543681,0.2790344119978342,0.06379193046114821,0.9261633114547083,0.07383668854529167,0.9883974924107877,0.011602507589212404,0.9309729613337846,0.9342459673855753,0.9452675669528638,0.9309729613337846,0.8982610198045601,0.8734368439308865,0.9390556817013801
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.9025236486644161,0.8503596112498802,0.9432900432900433,0.05670995670995671,0.780980130980131,0.21901986901986903,0.9311314080498624,0.9393070556229668,0.9777885235332044,0.9384240443651128,0.8201479758902712,0.39798230357374786,0.05497574098724983,0.9353240679558904,0.06467593204410964,0.9865074130345842,0.01349258696541574,0.9367623227169815,0.9393025467146947,0.9479857330691704,0.9367623227169815,0.9051017581686265,0.8837437720073577,0.9393070556229668
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.9022735246540644,0.8448547872435926,0.9471861471861474,0.05281385281385283,0.768170586027729,0.2318294139722711,0.9362686110607661,0.9387116256392389,0.9774807343956282,0.938062795185072,0.8133740099301731,0.3579062551461087,0.05649950218988258,0.9302371040923306,0.06976289590766926,0.9873381727468168,0.012661827253183237,0.9334355272557001,0.9364394500164048,0.9462551346707657,0.9334355272557001,0.9012032862347714,0.8777543793872729,0.9387116256392389
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.901154449070673,0.8363943587831645,0.951948051948052,0.04805194805194806,0.7502369323797895,0.24976306762021044,0.9222254401184092,0.9380420516116631,0.9740858432347794,0.9373237535567444,0.8037894207574842,0.5000820429384201,0.06141048763784304,0.9241360512752743,0.07586394872472578,0.988376372906201,0.011623627093798985,0.9293160331180572,0.9326323570813153,0.9437183928167465,0.9293160331180572,0.8956243068456314,0.8693066526429953,0.9380420516116631
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.901154449070673,0.8363943587831645,0.951948051948052,0.04805194805194806,0.7502369323797895,0.24976306762021044,0.9222254401184092,0.9380420516116631,0.9740858432347794,0.9373237535567444,0.8037894207574842,0.5000820429384201,0.06141048763784304,0.9241360512752743,0.07586394872472578,0.988376372906201,0.011623627093798985,0.9293160331180572,0.9326323570813153,0.9437183928167465,0.9293160331180572,0.8956243068456314,0.8693066526429953,0.9380420516116631
