Logistic Regression Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'solver': 'liblinear'}",0.9261620259346307,0.9016969482460281,0.9434381408065619,0.056561859193438146,0.8643466844034281,0.13565331559657182,0.9591959415614265,0.9545133852218824,0.9875237986988902,0.9542633970882498,0.8793953519753472,0.13590070949464203,0.033001372627365605,0.9655886296372032,0.03441137036279681,0.9866276296088973,0.013372370391102839,0.9613734947068281,0.9619739548014742,0.9636344933385494,0.9613734947068281,0.9388295425530139,0.9254871570061626,0.9545133852218824
"{'C': 10.0, 'solver': 'sag'}",0.9250429624969153,0.9051453980801808,0.9390521758942811,0.06094782410571886,0.87465834818776,0.12534165181224008,0.9586202803570306,0.9538432485413124,0.9873668799661935,0.953559612930961,0.8835225014620928,0.14437998387770387,0.03233899497477515,0.9686343211883436,0.03136567881165638,0.9856489434669888,0.014351056533011164,0.9630195852418075,0.9634955707999021,0.9647930387393321,0.9630195852418075,0.9410877902949596,0.9301536458273744,0.9538432485413124
"{'C': 100.0, 'solver': 'sag'}",0.9242409938286227,0.9032794880017102,0.9390521758942811,0.06094782410571886,0.8713295748179469,0.1286704251820531,0.9582846279838658,0.9533366629283438,0.9871683226762477,0.9530534169264606,0.8812930618681448,0.15040811091579265,0.03334731014032008,0.9676211499624064,0.032378850037593554,0.9856391472287444,0.014360852771255686,0.9621965399743178,0.9627178933310243,0.9641604221010897,0.9621965399743178,0.9398916890415423,0.9284843610233455,0.9533366629283438
"{'C': 100.0, 'solver': 'liblinear'}",0.921863187213046,0.8976201334180667,0.9390521758942811,0.06094782410571886,0.8608397912657547,0.13916020873424528,0.9555961774938272,0.9518245444418847,0.98578921597976,0.9515630104879996,0.8744029827166996,0.1872879662951068,0.032596915148471746,0.9645969129894882,0.03540308701051179,0.9855950560652396,0.014404943934760476,0.9597395375173153,0.9603856210980534,0.962155941932652,0.9597395375173153,0.9362800082943927,0.9232174236654972,0.9518245444418847
"{'C': 1.0, 'solver': 'sag'}",0.9203466207825654,0.9063004151221071,0.9303372066529961,0.06966279334700391,0.8851932827836442,0.11480671721635578,0.9595358482435911,0.9510055487559805,0.9883469854733858,0.9505557956282225,0.885040924279572,0.12153454310658152,0.028949298242569376,0.9716738908589647,0.02832610914103521,0.9836964497414752,0.016303550258524813,0.9638385860608083,0.96416970334322,0.9652017377160004,0.9638385860608083,0.9419461287106449,0.9344448662625598,0.9510055487559805
"{'C': 10.0, 'solver': 'liblinear'}",0.9194695562388056,0.8920906681855261,0.9390521758942811,0.06094782410571886,0.8510804329769847,0.14891956702301531,0.957455274518959,0.9503078485432385,0.9865045183627238,0.9500451525059689,0.8678207881798777,0.15532264072829408,0.032034412127446614,0.961563521192196,0.03843647880780406,0.9855656057389447,0.014434394261055306,0.957274446163335,0.9580653360997932,0.9603035541525875,0.957274446163335,0.9327250637452265,0.9183230193579647,0.9503078485432385
"{'C': 100.0, 'solver': 'newton-cg'}",0.9149869227994228,0.9055313779929741,0.9215083162451583,0.07849168375484168,0.8905945419103314,0.10940545808966862,0.9471152536097248,0.9475996693694069,0.9859036599691261,0.9471645725533119,0.8835751188591138,0.17779270874416517,0.03156045692401202,0.9736910224936555,0.026308977506344533,0.9816508044885541,0.01834919551144587,0.9638385860608083,0.9640652193158216,0.9645382914309207,0.9638385860608083,0.9415852236247435,0.9361226731994429,0.9475996693694069
"{'C': 10.0, 'solver': 'lbfgs'}",0.9113843921336359,0.9031635180516059,0.9171793119161539,0.08282068808384602,0.8906558998022412,0.10934410019775871,0.9569668561986072,0.9454397726134965,0.9875259794268243,0.944879338878482,0.8808943369522296,0.162314747670081,0.031325281895048976,0.9737002333108391,0.026299766689160824,0.9806801456348285,0.019319854365171585,0.9630195852418074,0.9632188785057013,0.9637760544024063,0.9630195852418074,0.9401537497821849,0.9356680227185349,0.9454397726134965
"{'C': 100.0, 'solver': 'newton-cholesky'}",0.9038531685577184,0.8913312368972747,0.9128503075871496,0.08714969241285035,0.8728704773431626,0.12712952265683738,0.9481664013528847,0.9407545861451899,0.9845063333731305,0.9401182083498686,0.8665767815009314,0.24246482134660532,0.03622683001762065,0.9686588647032304,0.03134113529676974,0.9796271021435511,0.020372897856448986,0.9581055803278026,0.9584846049970591,0.9595964230408013,0.9581055803278026,0.9326881286732783,0.9262487897433568,0.9407545861451899
"{'C': 1.0, 'solver': 'lbfgs'}",0.9030894549309574,0.902041657075214,0.9040214171793118,0.0959785828206881,0.9012464387464387,0.09875356125356127,0.955620208517521,0.9403806100803861,0.9880398750037879,0.939576314793094,0.879701826633191,0.12472839254386825,0.02979038892106727,0.9767398029814603,0.023260197018539652,0.9777392070970053,0.022260792902994726,0.9630195852418074,0.9630662949605023,0.963391408385179,0.9630195852418074,0.9396236966896027,0.939492822921722,0.9403806100803861
"{'C': 100.0, 'solver': 'lbfgs'}",0.9008080946465027,0.8835967491627869,0.9128503075871496,0.08714969241285035,0.8569776943270919,0.14302230567290808,0.9548959136007588,0.9387220658199867,0.9854434044321528,0.9381986956523746,0.8565982272169728,0.24914525063819057,0.03838618797187893,0.9645938240528237,0.035406175947176245,0.9795046611601052,0.02049533883989496,0.9548133992578437,0.9553281016924077,0.9564756701153501,0.9548133992578437,0.9277799880334303,0.9182411777435985,0.9387220658199867
"{'C': 10.0, 'solver': 'newton-cg'}",0.9007614282589677,0.8962393162393162,0.9040214171793118,0.0959785828206881,0.8896689497716895,0.11033105022831054,0.9526676501479825,0.9388593087731482,0.9866592296882967,0.9381206934557804,0.8723517201628992,0.1516842752302053,0.03115438154423328,0.9736972003669844,0.026302799633015666,0.9776618872573333,0.022338112742666727,0.9605504494393383,0.9607045785309968,0.9611454508901826,0.9605504494393383,0.9359413653342991,0.9336654185145115,0.9388593087731482
"{'C': 1.0, 'solver': 'newton-cholesky'}",0.8958491319011607,0.8971108256822542,0.8953634085213033,0.10463659147869675,0.9007173382173382,0.0992826617826618,0.9561601325133471,0.9360516057513818,0.9881466613289925,0.9349637374767937,0.8740397503402662,0.12563214497061928,0.02993647363041273,0.9767398029814603,0.023260197018539652,0.9758029424741735,0.024197057525826533,0.961373494706828,0.9613304888215768,0.9617226786641182,0.961373494706828,0.9366654037537829,0.9382601403457559,0.9360516057513818
"{'C': 1.0, 'solver': 'newton-cg'}",0.8958491319011607,0.8971108256822542,0.8953634085213033,0.10463659147869675,0.9007173382173382,0.0992826617826618,0.9557180050690937,0.9360516057513818,0.9879871909048354,0.9349637374767937,0.8740397503402662,0.12502291368771443,0.02991422737406385,0.9767398029814603,0.023260197018539652,0.9758029424741735,0.024197057525826533,0.961373494706828,0.9613304888215768,0.9617226786641182,0.961373494706828,0.9366654037537829,0.9382601403457559,0.9360516057513818
"{'C': 10.0, 'solver': 'newton-cholesky'}",0.8864234763262067,0.8865968865968865,0.8865914786967419,0.11340852130325814,0.8880642831347058,0.11193571686529435,0.9530086525007594,0.930144339531863,0.9873918393862041,0.9290076130612679,0.8608271898688686,0.15807207198097625,0.03220724997809084,0.9736972003669844,0.026302799633015666,0.9737246293011359,0.026275370698864136,0.9572663572663572,0.9572850351811932,0.957648167295516,0.9572663572663572,0.9301330019171422,0.9308944562179207,0.930144339531863
