Logistic Regression Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'solver': 'liblinear'}",0.921 ± 0.004,0.904 ± 0.011,0.934 ± 0.005,0.066 ± 0.005,0.881 ± 0.023,0.119 ± 0.023,0.964 ± 0.003,0.951 ± 0.003,0.989 ± 0.001,0.951 ± 0.003,0.883 ± 0.013,0.124 ± 0.01,0.03 ± 0.003,0.969 ± 0.007,0.031 ± 0.007,0.985 ± 0.001,0.015 ± 0.001,0.963 ± 0.005,0.963 ± 0.005,0.965 ± 0.004,0.963 ± 0.005,0.94 ± 0.007,0.933 ± 0.011,0.951 ± 0.003
"{'C': 100.0, 'solver': 'sag'}",0.921 ± 0.004,0.907 ± 0.011,0.931 ± 0.006,0.069 ± 0.006,0.887 ± 0.024,0.113 ± 0.024,0.963 ± 0.003,0.951 ± 0.003,0.988 ± 0.001,0.951 ± 0.003,0.886 ± 0.014,0.136 ± 0.011,0.03 ± 0.003,0.971 ± 0.007,0.029 ± 0.007,0.984 ± 0.001,0.016 ± 0.001,0.964 ± 0.005,0.964 ± 0.005,0.966 ± 0.004,0.964 ± 0.005,0.942 ± 0.007,0.936 ± 0.012,0.951 ± 0.003
"{'C': 10.0, 'solver': 'sag'}",0.92 ± 0.006,0.907 ± 0.011,0.929 ± 0.008,0.071 ± 0.008,0.89 ± 0.023,0.11 ± 0.023,0.963 ± 0.003,0.951 ± 0.003,0.988 ± 0.001,0.95 ± 0.003,0.887 ± 0.013,0.133 ± 0.01,0.03 ± 0.003,0.972 ± 0.007,0.028 ± 0.007,0.984 ± 0.002,0.016 ± 0.002,0.964 ± 0.005,0.964 ± 0.004,0.966 ± 0.004,0.964 ± 0.005,0.942 ± 0.007,0.937 ± 0.011,0.951 ± 0.003
"{'C': 1.0, 'solver': 'sag'}",0.916 ± 0.003,0.909 ± 0.007,0.923 ± 0.005,0.077 ± 0.005,0.899 ± 0.018,0.101 ± 0.018,0.964 ± 0.004,0.949 ± 0.002,0.989 ± 0.001,0.948 ± 0.002,0.889 ± 0.01,0.115 ± 0.006,0.028 ± 0.002,0.975 ± 0.005,0.025 ± 0.005,0.982 ± 0.001,0.018 ± 0.001,0.965 ± 0.003,0.965 ± 0.003,0.967 ± 0.003,0.965 ± 0.003,0.944 ± 0.005,0.941 ± 0.009,0.949 ± 0.002
"{'C': 10.0, 'solver': 'liblinear'}",0.912 ± 0.004,0.898 ± 0.006,0.923 ± 0.009,0.077 ± 0.009,0.88 ± 0.019,0.12 ± 0.019,0.962 ± 0.003,0.946 ± 0.002,0.988 ± 0.001,0.945 ± 0.003,0.877 ± 0.008,0.144 ± 0.008,0.03 ± 0.002,0.969 ± 0.005,0.031 ± 0.005,0.982 ± 0.002,0.018 ± 0.002,0.961 ± 0.003,0.961 ± 0.003,0.963 ± 0.003,0.961 ± 0.003,0.937 ± 0.004,0.931 ± 0.009,0.946 ± 0.002
"{'C': 100.0, 'solver': 'liblinear'}",0.91 ± 0.006,0.899 ± 0.004,0.918 ± 0.01,0.082 ± 0.01,0.886 ± 0.016,0.114 ± 0.016,0.96 ± 0.003,0.945 ± 0.003,0.987 ± 0.001,0.944 ± 0.004,0.877 ± 0.006,0.175 ± 0.008,0.032 ± 0.002,0.971 ± 0.004,0.029 ± 0.004,0.981 ± 0.002,0.019 ± 0.002,0.961 ± 0.002,0.961 ± 0.002,0.963 ± 0.002,0.961 ± 0.002,0.937 ± 0.003,0.933 ± 0.007,0.945 ± 0.003
"{'C': 100.0, 'solver': 'newton-cg'}",0.908 ± 0.005,0.903 ± 0.005,0.912 ± 0.005,0.088 ± 0.005,0.899 ± 0.011,0.101 ± 0.011,0.954 ± 0.006,0.944 ± 0.003,0.987 ± 0.001,0.943 ± 0.003,0.883 ± 0.008,0.171 ± 0.009,0.031 ± 0.002,0.976 ± 0.002,0.024 ± 0.002,0.98 ± 0.001,0.02 ± 0.001,0.964 ± 0.002,0.964 ± 0.002,0.965 ± 0.003,0.964 ± 0.002,0.94 ± 0.003,0.94 ± 0.006,0.944 ± 0.003
"{'C': 10.0, 'solver': 'lbfgs'}",0.906 ± 0.003,0.904 ± 0.006,0.909 ± 0.004,0.091 ± 0.004,0.903 ± 0.014,0.097 ± 0.014,0.961 ± 0.003,0.943 ± 0.002,0.988 ± 0.001,0.941 ± 0.002,0.883 ± 0.008,0.156 ± 0.005,0.03 ± 0.002,0.977 ± 0.004,0.023 ± 0.004,0.979 ± 0.001,0.021 ± 0.001,0.964 ± 0.003,0.964 ± 0.003,0.965 ± 0.003,0.964 ± 0.003,0.941 ± 0.004,0.941 ± 0.007,0.943 ± 0.002
"{'C': 1.0, 'solver': 'lbfgs'}",0.904 ± 0.004,0.906 ± 0.005,0.904 ± 0.004,0.096 ± 0.004,0.913 ± 0.011,0.087 ± 0.011,0.961 ± 0.004,0.941 ± 0.002,0.989 ± 0.001,0.94 ± 0.002,0.887 ± 0.007,0.121 ± 0.004,0.029 ± 0.002,0.979 ± 0.003,0.021 ± 0.003,0.978 ± 0.001,0.022 ± 0.001,0.965 ± 0.002,0.965 ± 0.002,0.966 ± 0.002,0.965 ± 0.002,0.942 ± 0.003,0.946 ± 0.005,0.941 ± 0.002
"{'C': 1.0, 'solver': 'newton-cg'}",0.902 ± 0.004,0.904 ± 0.005,0.902 ± 0.005,0.098 ± 0.005,0.912 ± 0.011,0.088 ± 0.011,0.96 ± 0.003,0.94 ± 0.003,0.989 ± 0.001,0.939 ± 0.002,0.884 ± 0.007,0.122 ± 0.003,0.029 ± 0.001,0.979 ± 0.003,0.021 ± 0.003,0.978 ± 0.001,0.022 ± 0.001,0.964 ± 0.002,0.964 ± 0.002,0.965 ± 0.002,0.964 ± 0.002,0.941 ± 0.003,0.945 ± 0.006,0.94 ± 0.003
