Logistic Regression Parameters,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
"{'C': 100.0, 'solver': 'sag'}",0.917,0.896,0.925,0.863,0.96,0.948,0.987
"{'C': 1.0, 'solver': 'liblinear'}",0.917,0.893,0.929,0.858,0.961,0.948,0.988
"{'C': 10.0, 'solver': 'sag'}",0.914,0.896,0.921,0.867,0.96,0.948,0.987
"{'C': 1.0, 'solver': 'sag'}",0.913,0.902,0.918,0.881,0.96,0.947,0.988
"{'C': 10.0, 'solver': 'liblinear'}",0.908,0.892,0.914,0.861,0.959,0.944,0.987
"{'C': 100.0, 'solver': 'liblinear'}",0.904,0.895,0.908,0.87,0.957,0.942,0.986
"{'C': 100.0, 'solver': 'newton-cg'}",0.903,0.898,0.907,0.888,0.948,0.941,0.986
"{'C': 10.0, 'solver': 'lbfgs'}",0.903,0.898,0.905,0.889,0.958,0.941,0.987
"{'C': 1.0, 'solver': 'lbfgs'}",0.9,0.901,0.9,0.902,0.957,0.939,0.988
"{'C': 1.0, 'solver': 'newton-cg'}",0.898,0.899,0.897,0.901,0.957,0.9369999999999999,0.988
"{'C': 1.0, 'solver': 'newton-cholesky'}",0.898,0.899,0.897,0.9,0.957,0.9369999999999999,0.988
"{'C': 10.0, 'solver': 'newton-cg'}",0.896,0.897,0.896,0.895,0.954,0.9369999999999999,0.987
"{'C': 100.0, 'solver': 'newton-cholesky'}",0.894,0.881,0.896,0.86,0.953,0.9339999999999999,0.985
"{'C': 100.0, 'solver': 'lbfgs'}",0.893,0.88,0.896,0.856,0.956,0.9349999999999999,0.986
"{'C': 10.0, 'solver': 'newton-cholesky'}",0.892,0.893,0.891,0.896,0.954,0.933,0.987
