Logistic Regression Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'solver': 'newton-cholesky'}",0.9022668711042586,0.9069423425293515,0.8993236714975845,0.10067632850241545,0.9154725281029521,0.08452747189704787,0.9518066740406969,0.9400504939039479,0.9843381558293647,0.9389292953138147,0.8861015773792433,0.1527698922577036,0.031392309689734096,0.9807773163103111,0.019222683689688803,0.9768978192144232,0.023102180785576732,0.9654894420832489,0.9653110009121887,0.9653434982789368,0.9654894420832489,0.9428776074601777,0.9461851736586878,0.9400504939039479
"{'C': 1.0, 'solver': 'sag'}",0.9018382261767387,0.8811258433491279,0.9168115942028985,0.08318840579710145,0.8504914070891514,0.14950859291084856,0.954177955281285,0.9391728585791705,0.9855279306713868,0.9387087863530834,0.8539941550218005,0.14699945837559042,0.03473250511112597,0.9615341229554428,0.03846587704455724,0.9804757249918541,0.019524275008145974,0.9531538824799298,0.9539597435492132,0.9560342326710485,0.9531538824799298,0.9259684682723652,0.9154835660405027,0.9391728585791705
"{'C': 1.0, 'solver': 'newton-cg'}",0.9014951790282186,0.9050255589856395,0.8993236714975845,0.10067632850241545,0.9116797436441176,0.08832025635588228,0.9530313257517123,0.9395454433988973,0.9846910979383576,0.9384457185587276,0.8836815440186987,0.15074302627160677,0.03134406327882154,0.9797672153002102,0.020232784699789796,0.9768721821329486,0.02312781786705136,0.9646697699521015,0.9645283908583473,0.9646076612820584,0.9646697699521015,0.9416596580869918,0.9442759628885332,0.9395454433988973
"{'C': 10.0, 'solver': 'newton-cholesky'}",0.8998185220892644,0.9008723571571181,0.8992270531400965,0.10077294685990339,0.9030935494765282,0.0969064505234718,0.9455268181947549,0.938484469501905,0.982953355869195,0.9373884141446645,0.8783605007463965,0.1877050169942223,0.03226022572177903,0.9777418858637132,0.022258114136286734,0.9768266522068216,0.023173347793178322,0.9630236794171221,0.9629256404463797,0.962960881663664,0.9630236794171221,0.9390703255461326,0.939960100841675,0.938484469501905
"{'C': 10.0, 'solver': 'lbfgs'}",0.8986370305971947,0.8854502923976609,0.9081159420289856,0.09188405797101448,0.865895004466433,0.13410499553356697,0.953361183095506,0.9373554124337616,0.9848477194515597,0.936727912152205,0.8591641183242787,0.18795503208618716,0.03547486301110894,0.9665948828385377,0.03340511716146233,0.9785601779571629,0.02143982204283712,0.955623018282399,0.9561042591381451,0.9573530088861955,0.955623018282399,0.9289586396189711,0.9222275912117979,0.9373554124337616
"{'C': 100.0, 'solver': 'sag'}",0.8970831944298363,0.8639827009143394,0.9212560386473431,0.07874396135265702,0.8158914379967012,0.18410856200329884,0.9500991075920344,0.9358369615376898,0.9842091963555216,0.9355937072328807,0.8331894697685873,0.18852566314792815,0.042640733205954864,0.9504178844280367,0.04958211557196328,0.9812262575891808,0.018773742410819194,0.9449436686230858,0.9463995362374817,0.9501504035472452,0.9449436686230858,0.914727849217301,0.8985588477929409,0.9358369615376898
"{'C': 1.0, 'solver': 'liblinear'}",0.8947902630852711,0.8585474405225572,0.9212560386473431,0.07874396135265702,0.8058505609993023,0.1941494390006976,0.9534728194729144,0.9343192463143908,0.985089461029283,0.9341111269665202,0.8265144219259305,0.1700265615104668,0.04122053487512856,0.9473824539814387,0.05261754601856121,0.9811618882748784,0.018838111725121686,0.9424812790933009,0.9440878803293244,0.9482020848619699,0.9424812790933009,0.9112179463168897,0.8935062246370904,0.9343192463143908
"{'C': 10.0, 'solver': 'sag'}",0.8944126346805128,0.863492904995972,0.9169082125603865,0.08309178743961354,0.8183130904183535,0.1816869095816464,0.9504384237389216,0.9341680989992621,0.9843869988043459,0.933915803460413,0.8323452632716692,0.1821547130750179,0.04153570849199804,0.9514279854381377,0.04857201456186226,0.9802065207470756,0.01979347925292445,0.9449436686230858,0.9463329383577064,0.9497794532056846,0.9449436686230858,0.9144988116863487,0.8992598055827147,0.9341680989992621
"{'C': 1.0, 'solver': 'lbfgs'}",0.8925805529024936,0.8960493032949428,0.8905314009661837,0.10946859903381642,0.9029508611955419,0.09704913880445795,0.951780413855215,0.9341392071230958,0.9841403316868629,0.9327598766671313,0.8728552247863728,0.1492205114573199,0.03169575180591681,0.9777470132800081,0.02225298671999183,0.9748860844436267,0.025113915556373323,0.9613809620184849,0.9612111622241499,0.961363453051626,0.9613809620184849,0.9361638416610273,0.9389184728195843,0.9341392071230958
"{'C': 100.0, 'solver': 'lbfgs'}",0.8918880603119564,0.8409660328777976,0.9300483091787439,0.06995169082125605,0.7693456068656119,0.23065439313438799,0.9466144272002751,0.9321240879329601,0.9812412892752036,0.9318962089074085,0.8060950579510008,0.3727011577958329,0.05692590628833329,0.9341998666871764,0.06580013331282367,0.9830141787784592,0.016985821221540753,0.9334176617418877,0.9358874305982725,0.9428366228357806,0.9334176617418877,0.8994181189894812,0.8761798928220357,0.9321240879329601
