Soft Majority Vote Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"(0.425, 0.575) & 0.4",0.9308926809613834,0.9141113983219247,0.9431875314228256,0.05681246857717447,0.8899043208253734,0.11009567917462657,0.9658468061580552,0.9574295965472436,0.9872354139382001,0.9569745312047282,0.8950736402986254,0.11960847638147369,0.027800811825718877,0.9716716616716615,0.028328338328338348,0.986703122229438,0.01329687777056198,0.9662896881081326,0.9668070709688359,0.968509087463771,0.9662896881081326,0.946563750902153,0.9383037215274057,0.9574295965472436
"(0.475, 0.525) & 0.4125",0.9301200639435311,0.9063445964612911,0.9474610356963299,0.052538964303670194,0.871758844011166,0.128241155988834,0.9658039449595874,0.957035809048193,0.9872328560099456,0.9566175523303809,0.8858914491774232,0.12513865094226342,0.029518862216479855,0.9666105824000559,0.03338941759994393,0.9877137648406573,0.0122862351593426,0.9629985819307787,0.9636752014425827,0.9659479001097899,0.9629985819307787,0.9416373169232698,0.9297363044259119,0.957035809048193
"(0.5, 0.5) & 0.425",0.9301200639435311,0.9063445964612911,0.9474610356963299,0.052538964303670194,0.871758844011166,0.128241155988834,0.9655915193085653,0.957035809048193,0.9871758759529656,0.9566175523303809,0.8858914491774232,0.12803998344456435,0.03046005343763886,0.9666105824000559,0.03338941759994393,0.9877137648406573,0.0122862351593426,0.9629985819307787,0.9636752014425827,0.9659479001097899,0.9629985819307787,0.9416373169232698,0.9297363044259119,0.957035809048193
"(0.475, 0.525) & 0.3875",0.929763871501732,0.8995463625375509,0.9519859225741579,0.04801407742584214,0.8560251624880107,0.1439748375119892,0.9658039449595874,0.9567677128513042,0.9872328560099456,0.9563433691371539,0.8779416382276727,0.12513865094226342,0.029518862216479855,0.9615495031284504,0.03845049687154952,0.9886992847735457,0.011300715226454244,0.9597250742610712,0.960642892280011,0.9637582547446137,0.9597250742610712,0.9371711976185246,0.9223622236307784,0.9567677128513042
"(0.5125, 0.4875) & 0.425",0.9293343328207213,0.9045938578684471,0.9474610356963299,0.052538964303670194,0.868828441080763,0.13117155891923696,0.9657714563306077,0.956529736173699,0.9872321062723538,0.9561113722849937,0.8838405217011166,0.12952647352249677,0.030951190554662986,0.965598436651068,0.03440156334893178,0.9876991295520494,0.012300870447950482,0.9621714520713908,0.9629161784983066,0.9654002750371979,0.9621714520713908,0.9404933517206681,0.9282637853164064,0.956529736173699
"(0.4875, 0.5125) & 0.4125",0.929321716991338,0.9043810944977889,0.9474610356963299,0.052538964303670194,0.8679351822927676,0.13206481770723255,0.9655915193085653,0.956529736173699,0.9871758759529656,0.9561208086245476,0.8834523829816443,0.1265775629241406,0.02998261065824448,0.9655984366510683,0.03440156334893178,0.9877002695640041,0.012299730435995766,0.9621802513252141,0.9628819172901328,0.965204798493228,0.9621802513252141,0.9403975022902867,0.9278177259283859,0.956529736173699
"(0.5125, 0.4875) & 0.4",0.9292116714987709,0.892425827553239,0.9562594268476622,0.043740573152337876,0.8393706396802373,0.16062936031976277,0.9657714563306077,0.9563606053389334,0.9872321062723538,0.956042898952934,0.8694481279327962,0.12952647352249677,0.030951190554662986,0.9564617838302047,0.04353821616979513,0.9896558704453441,0.010344129554655853,0.9564167400709684,0.9575680069092894,0.9613934715813125,0.9564167400709684,0.9325401832540657,0.9145132550627909,0.9563606053389334
"(0.5375, 0.4625) & 0.475",0.9288776020232276,0.915274736327368,0.9389140271493214,0.061085972850678745,0.8959571603147456,0.10404283968525455,0.9656008189383104,0.9563049901594792,0.9871188958959856,0.9557366220502147,0.8965716860465456,0.13257416416651344,0.031974547801600514,0.9736959531696373,0.02630404683036264,0.9857595928756707,0.014240407124329262,0.9671080187136976,0.9674716210345913,0.968881478256911,0.9671080187136976,0.9474274664013609,0.940858376595208,0.9563049901594792
"(0.55, 0.45) & 0.4875",0.9288776020232276,0.915274736327368,0.9389140271493214,0.061085972850678745,0.8959571603147456,0.10404283968525455,0.9651520748998228,0.9563049901594792,0.9869502049378209,0.9557366220502147,0.8965716860465456,0.1341367564523676,0.032506767931513914,0.9736959531696373,0.02630404683036264,0.9857595928756707,0.014240407124329262,0.9671080187136976,0.9674716210345913,0.968881478256911,0.9671080187136976,0.9474274664013609,0.940858376595208,0.9563049901594792
"(0.4625, 0.5375) & 0.4",0.9286172932099911,0.9026485927652873,0.9474610356963299,0.052538964303670194,0.8645613631294746,0.1354386368705254,0.9658431061543552,0.9560236632992051,0.9872321062723538,0.9556478068047288,0.8812269004196208,0.12372273401821715,0.029068808112344975,0.9645862909020804,0.03541370909791964,0.9876597837340447,0.012340216265955281,0.9613619207196494,0.9621220284085024,0.9645260147909281,0.9613619207196494,0.9392664848208239,0.9261105734317597,0.9560236632992051
