Soft Majority Vote Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"(0.4625, 0.5375) & 0.3875",0.927 ± 0.001,0.895 ± 0.002,0.95 ± 0.0,0.05 ± 0.0,0.848 ± 0.003,0.152 ± 0.003,0.967 ± 0.0,0.955 ± 0.001,0.987 ± 0.0,0.955 ± 0.001,0.872 ± 0.002,0.126 ± 0.001,0.031 ± 0.0,0.96 ± 0.001,0.04 ± 0.001,0.988 ± 0.0,0.012 ± 0.0,0.958 ± 0.001,0.959 ± 0.001,0.962 ± 0.001,0.958 ± 0.001,0.934 ± 0.001,0.918 ± 0.002,0.955 ± 0.001
"(0.45, 0.55) & 0.3875",0.927 ± 0.001,0.896 ± 0.002,0.95 ± 0.0,0.05 ± 0.0,0.85 ± 0.003,0.15 ± 0.003,0.967 ± 0.0,0.955 ± 0.001,0.987 ± 0.0,0.955 ± 0.001,0.873 ± 0.002,0.125 ± 0.001,0.03 ± 0.0,0.96 ± 0.001,0.04 ± 0.001,0.988 ± 0.0,0.012 ± 0.0,0.958 ± 0.001,0.959 ± 0.001,0.962 ± 0.001,0.958 ± 0.001,0.935 ± 0.001,0.919 ± 0.002,0.955 ± 0.001
"(0.475, 0.525) & 0.3875",0.927 ± 0.001,0.893 ± 0.002,0.952 ± 0.0,0.048 ± 0.0,0.843 ± 0.003,0.157 ± 0.003,0.967 ± 0.0,0.955 ± 0.0,0.987 ± 0.0,0.955 ± 0.0,0.869 ± 0.002,0.128 ± 0.001,0.031 ± 0.0,0.958 ± 0.001,0.042 ± 0.001,0.989 ± 0.0,0.011 ± 0.0,0.957 ± 0.001,0.958 ± 0.001,0.961 ± 0.001,0.957 ± 0.001,0.933 ± 0.001,0.916 ± 0.001,0.955 ± 0.0
"(0.4375, 0.5625) & 0.3875",0.927 ± 0.001,0.897 ± 0.002,0.948 ± 0.0,0.052 ± 0.0,0.853 ± 0.003,0.147 ± 0.003,0.967 ± 0.0,0.955 ± 0.001,0.987 ± 0.0,0.954 ± 0.0,0.874 ± 0.002,0.124 ± 0.001,0.03 ± 0.0,0.961 ± 0.001,0.039 ± 0.001,0.988 ± 0.0,0.012 ± 0.0,0.959 ± 0.001,0.96 ± 0.001,0.963 ± 0.001,0.959 ± 0.001,0.936 ± 0.001,0.921 ± 0.002,0.955 ± 0.001
"(0.5125, 0.4875) & 0.425",0.927 ± 0.001,0.897 ± 0.002,0.948 ± 0.001,0.052 ± 0.001,0.853 ± 0.003,0.147 ± 0.003,0.966 ± 0.0,0.955 ± 0.001,0.987 ± 0.0,0.954 ± 0.001,0.874 ± 0.002,0.132 ± 0.001,0.032 ± 0.0,0.961 ± 0.001,0.039 ± 0.001,0.988 ± 0.0,0.012 ± 0.0,0.959 ± 0.001,0.96 ± 0.001,0.962 ± 0.001,0.959 ± 0.001,0.935 ± 0.001,0.92 ± 0.002,0.955 ± 0.001
"(0.4875, 0.5125) & 0.4125",0.926 ± 0.001,0.896 ± 0.002,0.948 ± 0.001,0.052 ± 0.001,0.852 ± 0.003,0.148 ± 0.003,0.967 ± 0.0,0.955 ± 0.001,0.987 ± 0.0,0.954 ± 0.001,0.874 ± 0.002,0.129 ± 0.001,0.031 ± 0.0,0.961 ± 0.001,0.039 ± 0.001,0.988 ± 0.0,0.012 ± 0.0,0.959 ± 0.001,0.96 ± 0.001,0.962 ± 0.001,0.959 ± 0.001,0.935 ± 0.001,0.92 ± 0.002,0.955 ± 0.001
"(0.475, 0.525) & 0.4",0.926 ± 0.001,0.895 ± 0.002,0.949 ± 0.0,0.051 ± 0.0,0.85 ± 0.003,0.15 ± 0.003,0.967 ± 0.0,0.955 ± 0.001,0.987 ± 0.0,0.954 ± 0.001,0.872 ± 0.002,0.128 ± 0.001,0.031 ± 0.0,0.96 ± 0.001,0.04 ± 0.001,0.988 ± 0.0,0.012 ± 0.0,0.958 ± 0.001,0.959 ± 0.001,0.962 ± 0.001,0.958 ± 0.001,0.935 ± 0.001,0.919 ± 0.002,0.955 ± 0.001
"(0.425, 0.575) & 0.3875",0.926 ± 0.001,0.899 ± 0.001,0.946 ± 0.001,0.054 ± 0.001,0.858 ± 0.003,0.142 ± 0.003,0.967 ± 0.0,0.955 ± 0.001,0.987 ± 0.0,0.954 ± 0.001,0.877 ± 0.002,0.122 ± 0.001,0.029 ± 0.0,0.963 ± 0.001,0.037 ± 0.001,0.987 ± 0.0,0.013 ± 0.0,0.96 ± 0.001,0.961 ± 0.001,0.963 ± 0.001,0.96 ± 0.001,0.937 ± 0.001,0.923 ± 0.001,0.955 ± 0.001
"(0.5, 0.5) & 0.425",0.926 ± 0.001,0.898 ± 0.002,0.947 ± 0.001,0.053 ± 0.001,0.856 ± 0.003,0.144 ± 0.003,0.966 ± 0.0,0.954 ± 0.001,0.987 ± 0.0,0.954 ± 0.001,0.875 ± 0.002,0.131 ± 0.001,0.032 ± 0.0,0.962 ± 0.001,0.038 ± 0.001,0.987 ± 0.0,0.013 ± 0.0,0.959 ± 0.001,0.96 ± 0.001,0.963 ± 0.001,0.959 ± 0.001,0.936 ± 0.001,0.922 ± 0.002,0.954 ± 0.001
"(0.475, 0.525) & 0.425",0.926 ± 0.001,0.902 ± 0.001,0.943 ± 0.001,0.057 ± 0.001,0.866 ± 0.003,0.134 ± 0.003,0.967 ± 0.0,0.954 ± 0.001,0.987 ± 0.0,0.954 ± 0.001,0.88 ± 0.002,0.128 ± 0.001,0.031 ± 0.0,0.966 ± 0.001,0.034 ± 0.001,0.987 ± 0.0,0.013 ± 0.0,0.961 ± 0.001,0.962 ± 0.001,0.964 ± 0.001,0.961 ± 0.001,0.939 ± 0.001,0.927 ± 0.001,0.954 ± 0.001
"(0.475, 0.525) & 0.4125",0.926 ± 0.001,0.897 ± 0.002,0.947 ± 0.001,0.053 ± 0.001,0.855 ± 0.004,0.145 ± 0.004,0.967 ± 0.0,0.954 ± 0.001,0.987 ± 0.0,0.954 ± 0.001,0.874 ± 0.003,0.128 ± 0.001,0.031 ± 0.0,0.962 ± 0.001,0.038 ± 0.001,0.987 ± 0.0,0.013 ± 0.0,0.959 ± 0.001,0.96 ± 0.001,0.963 ± 0.001,0.959 ± 0.001,0.936 ± 0.001,0.921 ± 0.002,0.954 ± 0.001
"(0.45, 0.55) & 0.4",0.926 ± 0.001,0.898 ± 0.002,0.946 ± 0.001,0.054 ± 0.001,0.857 ± 0.003,0.143 ± 0.003,0.967 ± 0.0,0.954 ± 0.001,0.987 ± 0.0,0.954 ± 0.001,0.875 ± 0.002,0.125 ± 0.001,0.03 ± 0.0,0.963 ± 0.001,0.037 ± 0.001,0.987 ± 0.0,0.013 ± 0.0,0.959 ± 0.001,0.96 ± 0.001,0.963 ± 0.001,0.959 ± 0.001,0.936 ± 0.001,0.922 ± 0.002,0.954 ± 0.001
