Soft Majority Vote Parameters,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
"(0.4375, 0.5625) & 0.3875",0.926,0.895,0.948,0.85,0.967,0.954,0.987
"(0.5125, 0.4875) & 0.425",0.926,0.895,0.947,0.85,0.966,0.954,0.987
"(0.45, 0.55) & 0.3875",0.926,0.894,0.95,0.847,0.967,0.954,0.987
"(0.5, 0.5) & 0.425",0.925,0.896,0.946,0.853,0.966,0.953,0.987
"(0.475, 0.525) & 0.4125",0.925,0.895,0.946,0.851,0.967,0.953,0.987
"(0.4875, 0.5125) & 0.4125",0.925,0.894,0.947,0.849,0.967,0.954,0.987
"(0.4625, 0.5375) & 0.4",0.925,0.894,0.947,0.849,0.967,0.953,0.987
"(0.475, 0.525) & 0.4",0.925,0.893,0.949,0.847,0.967,0.954,0.987
"(0.5, 0.5) & 0.4125",0.925,0.893,0.947,0.846,0.966,0.953,0.987
"(0.5375, 0.4625) & 0.4375",0.924,0.892,0.946,0.847,0.966,0.953,0.987
