Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9180129320294076,0.9209592151596886,0.9167179802955665,0.08328201970443348,0.9286352026007199,0.07136479739928016,0.9712950065942303,0.9497535613515599,0.9907291694927516,0.9487725154610942,0.9040510741262863,0.2000134418286648,0.027698006130613233,0.9827891424075532,0.01721085759244688,0.9809629795613717,0.01903702043862837,0.9703997558416884,0.9703585875682216,0.9711220233723872,0.9703997558416884,0.9513693889000747,0.9547990910810458,0.9497535613515599
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9169087053702212,0.9242910951512184,0.9124076354679802,0.0875923645320197,0.938478835978836,0.06152116402116402,0.9717973804186784,0.9491145835351966,0.9914968149214703,0.9480653513251884,0.9080060394649585,0.1291252877743497,0.025232375907717944,0.9858215316024128,0.014178468397587199,0.9799951188858129,0.020004881114187134,0.9720444926837937,0.9718433189671549,0.972171938717505,0.9720444926837937,0.9535702784240969,0.9592369774323244,0.9491145835351966
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9161153064492438,0.9221946590925182,0.9124076354679802,0.0875923645320197,0.9338634513634514,0.06613654863654862,0.9724444252566259,0.9486105512771321,0.9918893984993005,0.9475958588456513,0.9052439684969567,0.12703439360373053,0.025163685598830574,0.9848134670862838,0.01518653291371623,0.9799638727915747,0.020036127208425347,0.971222124262741,0.9710411132473881,0.9712962460535819,0.971222124262741,0.9522670803150656,0.9569136620775129,0.9486105512771321
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.9142812640290678,0.9180851216522675,0.9120997536945812,0.08790024630541873,0.9258499313186813,0.07415006868131865,0.9688832141384719,0.9474362524045946,0.9901477327854281,0.9464148886581825,0.9000734502793334,0.21858757989395117,0.027894364330596638,0.9827727511146079,0.01722724888539208,0.9799415968379673,0.02005840316203268,0.969571941272152,0.9694344658485057,0.9697125767279272,0.969571941272152,0.9496959076465591,0.9528957640783243,0.9474362524045946
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9132701057338217,0.9219786641133373,0.9080972906403941,0.09190270935960591,0.9392142984330485,0.06078570156695158,0.9715745608428539,0.9469594111214035,0.9914631542306008,0.9457339457903702,0.9056115907023918,0.1648693409933317,0.026087798252487207,0.9858215316024128,0.014178468397587213,0.979083841154202,0.020916158845798033,0.9712436952822259,0.9709961348523503,0.9715262477527953,0.9712436952822259,0.95217093824344,0.9591490697936251,0.9469594111214035
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9124592596381366,0.9197503816340706,0.9080972906403941,0.09190270935960591,0.9340266572109244,0.06597334278907556,0.9708508281998718,0.946455378863339,0.9913170355434286,0.9452767161445339,0.9026056259169611,0.1629862633127,0.02573715758299761,0.9848134670862838,0.01518653291371623,0.9790450615142423,0.020954938485757732,0.9704158807126895,0.9701807468839079,0.9705590046663816,0.9704158807126895,0.9508039492954996,0.9565358593625833,0.946455378863339
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9112664009867345,0.917714419640983,0.9077894088669951,0.09221059113300492,0.9319441676901354,0.06805583230986456,0.9647036640555295,0.9457892100721024,0.9890285324770458,0.9444316350997957,0.9006757403027355,0.1898409218198833,0.027293741268005184,0.9837890112772095,0.016210988722790448,0.9790971829771651,0.020902817022834974,0.9695827623776361,0.9693734906100766,0.9701647991715558,0.9695827623776361,0.9495199700808734,0.9555206753336503,0.9457892100721024
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.9104554390180544,0.9158583008493802,0.9077894088669951,0.09221059113300492,0.9287133299004742,0.07128667009952588,0.9676928439182275,0.9452810799908016,0.9896868386961122,0.943913945723261,0.8984900014898161,0.18710782056911854,0.02779256086238006,0.9827727511146079,0.01722724888539208,0.9790971829771651,0.020902817022834974,0.9687603939565834,0.9685927102413849,0.9695483893301073,0.9687603939565834,0.9483282880383864,0.9539052564388195,0.9452810799908016
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9100475706922573,0.9137152501047884,0.9079433497536946,0.09205665024630541,0.9213198821736086,0.07868011782639146,0.9686878920065962,0.9448663116457956,0.9900116265136512,0.9437530867758701,0.8947173820996027,0.16922380643951854,0.02671759747147258,0.9817892735378967,0.018210726462103324,0.978923531273292,0.02107646872670796,0.9679434004925311,0.9678050796262045,0.9680946883217092,0.9679434004925311,0.9470111558448907,0.9501217067234502,0.9448663116457956
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9100475706922573,0.9137152501047884,0.9079433497536946,0.09205665024630541,0.9213198821736086,0.07868011782639146,0.9679449378135367,0.9448663116457956,0.9902425984026645,0.9437530867758701,0.8947173820996027,0.18352605221543591,0.02739931054456667,0.9817892735378967,0.018210726462103324,0.978923531273292,0.02107646872670796,0.9679434004925311,0.9678050796262045,0.9680946883217092,0.9679434004925311,0.9470111558448907,0.9501217067234502,0.9448663116457956
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9098117609089431,0.9137776347645257,0.9077894088669951,0.09221059113300493,0.9228932417642095,0.07710675823579048,0.9702056550877156,0.9447811455559733,0.9907895568731033,0.9436149214220869,0.8952780066866657,0.15194307257156336,0.0269567813601279,0.9817728822449515,0.01822711775504851,0.9790038050009746,0.020996194999025455,0.9679434004925311,0.9678136475938834,0.968421589302844,0.9679434004925311,0.9470376088477155,0.9509485233825921,0.9447811455559733
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9096803131355264,0.9135236854974186,0.9077894088669951,0.09221059113300492,0.9227009340719018,0.07729906592809818,0.9677732345865371,0.9447811455559734,0.9900528469818703,0.9434928540241537,0.8951490837138012,0.15989647145692387,0.02759304675407704,0.9817728822449515,0.01822711775504851,0.9790349261108359,0.020965073889164187,0.9679380255355308,0.9677694851283232,0.9684113097456652,0.9679380255355308,0.9469146502784189,0.9508679300913688,0.9447811455559734
