Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.915 ± 0.003,0.923 ± 0.004,0.911 ± 0.002,0.089 ± 0.002,0.937 ± 0.006,0.063 ± 0.006,0.968 ± 0.002,0.948 ± 0.002,0.99 ± 0.001,0.947 ± 0.002,0.906 ± 0.005,0.13 ± 0.005,0.026 ± 0.001,0.985 ± 0.001,0.015 ± 0.001,0.98 ± 0.001,0.02 ± 0.001,0.972 ± 0.001,0.971 ± 0.001,0.972 ± 0.002,0.972 ± 0.001,0.953 ± 0.002,0.958 ± 0.003,0.948 ± 0.002
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.915 ± 0.003,0.922 ± 0.004,0.911 ± 0.002,0.089 ± 0.002,0.936 ± 0.007,0.064 ± 0.007,0.969 ± 0.002,0.948 ± 0.002,0.991 ± 0.0,0.947 ± 0.002,0.905 ± 0.005,0.127 ± 0.002,0.026 ± 0.001,0.985 ± 0.002,0.015 ± 0.002,0.98 ± 0.001,0.02 ± 0.001,0.971 ± 0.002,0.971 ± 0.002,0.971 ± 0.002,0.971 ± 0.002,0.952 ± 0.002,0.958 ± 0.004,0.948 ± 0.002
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.913 ± 0.003,0.917 ± 0.003,0.91 ± 0.003,0.09 ± 0.003,0.928 ± 0.006,0.072 ± 0.006,0.968 ± 0.003,0.947 ± 0.002,0.99 ± 0.001,0.945 ± 0.002,0.9 ± 0.004,0.168 ± 0.006,0.028 ± 0.001,0.983 ± 0.002,0.017 ± 0.002,0.98 ± 0.001,0.02 ± 0.001,0.969 ± 0.001,0.969 ± 0.001,0.97 ± 0.001,0.969 ± 0.001,0.949 ± 0.002,0.954 ± 0.003,0.947 ± 0.002
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.912 ± 0.002,0.916 ± 0.003,0.91 ± 0.003,0.09 ± 0.003,0.925 ± 0.007,0.075 ± 0.007,0.967 ± 0.003,0.946 ± 0.001,0.99 ± 0.001,0.945 ± 0.001,0.898 ± 0.004,0.167 ± 0.006,0.028 ± 0.001,0.982 ± 0.002,0.018 ± 0.002,0.98 ± 0.001,0.02 ± 0.001,0.969 ± 0.001,0.968 ± 0.001,0.969 ± 0.001,0.969 ± 0.001,0.948 ± 0.002,0.952 ± 0.003,0.946 ± 0.001
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.912 ± 0.003,0.911 ± 0.007,0.913 ± 0.004,0.087 ± 0.004,0.913 ± 0.017,0.087 ± 0.017,0.964 ± 0.003,0.946 ± 0.002,0.989 ± 0.001,0.945 ± 0.002,0.892 ± 0.009,0.201 ± 0.012,0.03 ± 0.002,0.979 ± 0.004,0.021 ± 0.004,0.98 ± 0.001,0.02 ± 0.001,0.967 ± 0.003,0.967 ± 0.003,0.968 ± 0.003,0.967 ± 0.003,0.945 ± 0.004,0.947 ± 0.008,0.946 ± 0.002
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.911 ± 0.003,0.909 ± 0.006,0.913 ± 0.003,0.087 ± 0.003,0.91 ± 0.015,0.09 ± 0.015,0.962 ± 0.003,0.946 ± 0.002,0.988 ± 0.001,0.944 ± 0.002,0.89 ± 0.008,0.223 ± 0.013,0.031 ± 0.003,0.978 ± 0.004,0.022 ± 0.004,0.98 ± 0.001,0.02 ± 0.001,0.966 ± 0.003,0.966 ± 0.003,0.967 ± 0.003,0.966 ± 0.003,0.944 ± 0.004,0.945 ± 0.007,0.946 ± 0.002
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.911 ± 0.003,0.913 ± 0.005,0.91 ± 0.003,0.09 ± 0.003,0.92 ± 0.01,0.08 ± 0.01,0.968 ± 0.002,0.946 ± 0.002,0.99 ± 0.0,0.944 ± 0.002,0.895 ± 0.006,0.156 ± 0.006,0.028 ± 0.001,0.981 ± 0.003,0.019 ± 0.003,0.979 ± 0.001,0.021 ± 0.001,0.968 ± 0.002,0.968 ± 0.002,0.968 ± 0.002,0.968 ± 0.002,0.947 ± 0.003,0.95 ± 0.005,0.946 ± 0.002
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.91 ± 0.002,0.914 ± 0.003,0.909 ± 0.003,0.091 ± 0.003,0.922 ± 0.009,0.078 ± 0.009,0.968 ± 0.002,0.945 ± 0.001,0.99 ± 0.0,0.944 ± 0.002,0.895 ± 0.004,0.156 ± 0.006,0.028 ± 0.001,0.982 ± 0.002,0.018 ± 0.002,0.979 ± 0.001,0.021 ± 0.001,0.968 ± 0.001,0.968 ± 0.001,0.968 ± 0.001,0.968 ± 0.001,0.947 ± 0.002,0.951 ± 0.004,0.945 ± 0.001
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.909 ± 0.004,0.908 ± 0.007,0.911 ± 0.004,0.089 ± 0.004,0.909 ± 0.015,0.091 ± 0.015,0.961 ± 0.003,0.944 ± 0.002,0.988 ± 0.001,0.943 ± 0.002,0.888 ± 0.009,0.212 ± 0.01,0.031 ± 0.002,0.978 ± 0.004,0.022 ± 0.004,0.98 ± 0.001,0.02 ± 0.001,0.965 ± 0.003,0.965 ± 0.003,0.966 ± 0.003,0.965 ± 0.003,0.943 ± 0.004,0.944 ± 0.007,0.944 ± 0.002
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.909 ± 0.003,0.905 ± 0.008,0.912 ± 0.001,0.088 ± 0.001,0.903 ± 0.017,0.097 ± 0.017,0.96 ± 0.004,0.944 ± 0.002,0.988 ± 0.001,0.943 ± 0.002,0.885 ± 0.01,0.24 ± 0.018,0.032 ± 0.003,0.976 ± 0.004,0.024 ± 0.004,0.98 ± 0.0,0.02 ± 0.0,0.964 ± 0.004,0.964 ± 0.003,0.965 ± 0.003,0.964 ± 0.004,0.942 ± 0.005,0.941 ± 0.008,0.944 ± 0.002
