Perceptron Parameters,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.912,0.919,0.909,0.931,0.966,0.946,0.989
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.912,0.918,0.909,0.929,0.967,0.946,0.991
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.91,0.914,0.907,0.922,0.965,0.945,0.989
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.91,0.913,0.907,0.918,0.964,0.945,0.989
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.909,0.904,0.909,0.896,0.961,0.944,0.988
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.908,0.911,0.906,0.913,0.966,0.944,0.99
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.908,0.908,0.907,0.91,0.966,0.944,0.99
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.908,0.903,0.91,0.895,0.959,0.944,0.987
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.906,0.897,0.911,0.886,0.956,0.942,0.987
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.905,0.901,0.907,0.894,0.958,0.942,0.987
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.902,0.908,0.899,0.918,0.965,0.941,0.988
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.902,0.908,0.898,0.918,0.965,0.94,0.989
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9,0.899,0.901,0.899,0.963,0.939,0.989
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9,0.886,0.908,0.865,0.959,0.938,0.987
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.898,0.883,0.901,0.864,0.958,0.9369999999999999,0.987
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.897,0.903,0.895,0.914,0.949,0.938,0.985
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.897,0.901,0.894,0.907,0.948,0.9369999999999999,0.986
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.896,0.897,0.896,0.901,0.961,0.9359999999999999,0.989
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.89,0.896,0.886,0.905,0.946,0.933,0.984
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.89,0.89,0.887,0.894,0.943,0.93,0.982
