Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.905541138023837,0.8950882212684788,0.9126620900076277,0.08733790999237229,0.8782485875706214,0.12175141242937854,0.9481667565179956,0.9416549316434899,0.9820862941105625,0.9412076277228232,0.8704610738086762,0.24980238277606892,0.035125294321082856,0.9706477732793523,0.029352226720647745,0.9795707989716538,0.020429201028346278,0.959735005617492,0.960036618500512,0.9605129788738968,0.959735005617492,0.9350874025796114,0.9289096932711376,0.9416549316434899
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9047567645365573,0.8931623931623931,0.9126620900076277,0.08733790999237229,0.8745098039215686,0.12549019607843137,0.9492791911691957,0.941148858768996,0.9817527723992254,0.9407173122184894,0.8680593625409843,0.23836200691370213,0.035668212583795794,0.9696356275303644,0.030364372469635637,0.9795500167280027,0.02044998327199732,0.9589139875550947,0.9592511541561,0.9597901109789793,0.9589139875550947,0.9338644910027355,0.9270299103247857,0.941148858768996
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8968334069261339,0.8864736957957297,0.9038901601830663,0.09610983981693366,0.8697817334180971,0.13021826658190294,0.9491169339782637,0.9362568209822215,0.9796876785344808,0.9356825938483866,0.8598130069073435,0.24257194427424827,0.0379858964532412,0.9686234817813766,0.03137651821862347,0.9775341390938532,0.022465860906146717,0.9564495830092472,0.9567660915479295,0.9572560240917467,0.9564495830092472,0.9297649114168409,0.9236579362559751,0.9362568209822215
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8925304809364609,0.8822364076601364,0.8995423340961098,0.10045766590389016,0.8656495020131384,0.1343504979868616,0.9497543455751815,0.9335768350642493,0.9795893977153762,0.9329498021868614,0.8545555913471792,0.2397643736592735,0.03799097227497995,0.9676113360323886,0.032388663967611364,0.9765095489299188,0.023490451070081186,0.9548075468844525,0.9551399123600642,0.955644605122036,0.9548075468844525,0.9271371023795942,0.9210795254715286,0.9335768350642493
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8908629906268306,0.8908976486068997,0.8908466819221967,0.10915331807780321,0.8909826060421117,0.10901739395788834,0.9525980056312782,0.9327715190987502,0.982492426277805,0.9318286724730083,0.865605050298162,0.17099218180213815,0.03497392346394159,0.9746963562753036,0.0253036437246964,0.9746942037002888,0.025305796299711136,0.9589180386310605,0.9589226910629906,0.9589353600954253,0.9589180386310605,0.9327959650400017,0.9328384048712003,0.9327715190987502
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8908629906268306,0.8908976486068997,0.8908466819221967,0.10915331807780321,0.8909826060421117,0.10901739395788834,0.9517853094092095,0.9327715190987502,0.9822543288338783,0.9318286724730083,0.865605050298162,0.17381024106257906,0.03535586223153721,0.9746963562753036,0.0253036437246964,0.9746942037002888,0.025305796299711136,0.9589180386310605,0.9589226910629906,0.9589353600954253,0.9589180386310605,0.9327959650400017,0.9328384048712003,0.9327715190987502
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.8906183343603356,0.8714807460463797,0.9038520213577421,0.09614797864225783,0.8413537810682179,0.1586462189317821,0.9380095944844178,0.9321891685736079,0.9744532405648869,0.9317261556576488,0.8412288868878051,0.36619938550109976,0.04736575722737297,0.9605263157894737,0.03947368421052633,0.9773471638878282,0.02265283611217178,0.9498719859994815,0.9505472546460189,0.9517639495772963,0.9498719859994815,0.920172113032779,0.909350472478023,0.9321891685736079
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.8892595654227681,0.8684192016880605,0.9038520213577421,0.09614797864225783,0.8361979166666667,0.16380208333333335,0.9154731027900296,0.93117702282462,0.9736150742549032,0.9307717389504395,0.837469014292223,0.4663100070492887,0.049421043290684266,0.9585020242914979,0.041497975708502055,0.9772558793456032,0.022744120654396738,0.9482218477227552,0.9490898009974671,0.9507419631668359,0.9482218477227552,0.9180932199039837,0.9067268980061349,0.93117702282462
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.8884731686039657,0.8665079142737078,0.9038520213577421,0.09614797864225783,0.8325477789256198,0.16745222107438018,0.9148172486993758,0.9306709499501261,0.9724031628975625,0.9302785807036797,0.835104488664448,0.44106350587165305,0.049233177288877175,0.9574898785425101,0.04251012145748989,0.9772370218579235,0.022762978142076506,0.9474008296603578,0.948306203742936,0.9500373959432986,0.9474008296603578,0.9168770370517072,0.9048924003917717,0.9306709499501261
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.887114522296498,0.8882758620689655,0.8863844393592677,0.11361556064073225,0.8903903903903904,0.10960960960960964,0.9473405946342814,0.9305403978172857,0.977705694883221,0.929439423724194,0.8625687623261644,0.1978642882580715,0.03510108329895434,0.9746963562753037,0.025303643724696345,0.9737305949518248,0.02626940504817521,0.9580916191340421,0.9580421499054093,0.9580451012374661,0.9580916191340421,0.9312414366212751,0.9320604926711076,0.9305403978172857
