Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9 ± 0.005,0.898 ± 0.006,0.902 ± 0.006,0.098 ± 0.006,0.897 ± 0.011,0.103 ± 0.011,0.955 ± 0.005,0.938 ± 0.003,0.983 ± 0.002,0.937 ± 0.003,0.875 ± 0.007,0.218 ± 0.012,0.034 ± 0.002,0.975 ± 0.003,0.025 ± 0.003,0.977 ± 0.001,0.023 ± 0.001,0.961 ± 0.002,0.961 ± 0.002,0.962 ± 0.002,0.961 ± 0.002,0.937 ± 0.004,0.937 ± 0.006,0.938 ± 0.003
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.898 ± 0.005,0.896 ± 0.006,0.9 ± 0.005,0.1 ± 0.005,0.896 ± 0.011,0.104 ± 0.011,0.955 ± 0.004,0.938 ± 0.003,0.983 ± 0.002,0.936 ± 0.003,0.873 ± 0.007,0.217 ± 0.012,0.034 ± 0.002,0.975 ± 0.003,0.025 ± 0.003,0.977 ± 0.001,0.023 ± 0.001,0.961 ± 0.002,0.961 ± 0.002,0.962 ± 0.002,0.961 ± 0.002,0.936 ± 0.004,0.936 ± 0.006,0.938 ± 0.003
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.898 ± 0.003,0.894 ± 0.001,0.901 ± 0.005,0.099 ± 0.005,0.891 ± 0.005,0.109 ± 0.005,0.955 ± 0.004,0.937 ± 0.002,0.984 ± 0.001,0.936 ± 0.002,0.871 ± 0.001,0.242 ± 0.01,0.035 ± 0.001,0.974 ± 0.001,0.026 ± 0.001,0.977 ± 0.001,0.023 ± 0.001,0.96 ± 0.0,0.96 ± 0.0,0.961 ± 0.001,0.96 ± 0.0,0.935 ± 0.001,0.934 ± 0.002,0.937 ± 0.002
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.897 ± 0.003,0.893 ± 0.001,0.9 ± 0.004,0.1 ± 0.004,0.89 ± 0.005,0.11 ± 0.005,0.955 ± 0.004,0.937 ± 0.002,0.984 ± 0.001,0.936 ± 0.002,0.87 ± 0.002,0.244 ± 0.009,0.035 ± 0.001,0.973 ± 0.001,0.027 ± 0.001,0.977 ± 0.001,0.023 ± 0.001,0.96 ± 0.0,0.96 ± 0.0,0.961 ± 0.001,0.96 ± 0.0,0.934 ± 0.001,0.933 ± 0.002,0.937 ± 0.002
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.894 ± 0.007,0.888 ± 0.007,0.9 ± 0.01,0.1 ± 0.01,0.88 ± 0.014,0.12 ± 0.014,0.946 ± 0.004,0.935 ± 0.004,0.977 ± 0.002,0.934 ± 0.005,0.863 ± 0.009,0.345 ± 0.011,0.04 ± 0.003,0.971 ± 0.004,0.029 ± 0.004,0.977 ± 0.002,0.023 ± 0.002,0.957 ± 0.003,0.957 ± 0.003,0.958 ± 0.003,0.957 ± 0.003,0.931 ± 0.004,0.928 ± 0.007,0.935 ± 0.004
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.894 ± 0.003,0.899 ± 0.003,0.892 ± 0.004,0.108 ± 0.004,0.909 ± 0.006,0.091 ± 0.006,0.957 ± 0.003,0.935 ± 0.002,0.985 ± 0.001,0.934 ± 0.002,0.877 ± 0.004,0.172 ± 0.003,0.033 ± 0.001,0.978 ± 0.002,0.022 ± 0.002,0.975 ± 0.001,0.025 ± 0.001,0.962 ± 0.001,0.962 ± 0.001,0.963 ± 0.001,0.962 ± 0.001,0.938 ± 0.002,0.942 ± 0.003,0.935 ± 0.002
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.894 ± 0.003,0.898 ± 0.003,0.891 ± 0.003,0.109 ± 0.003,0.909 ± 0.006,0.091 ± 0.006,0.957 ± 0.002,0.935 ± 0.002,0.985 ± 0.001,0.933 ± 0.002,0.876 ± 0.004,0.171 ± 0.003,0.032 ± 0.001,0.978 ± 0.002,0.022 ± 0.002,0.975 ± 0.001,0.025 ± 0.001,0.962 ± 0.001,0.962 ± 0.001,0.963 ± 0.001,0.962 ± 0.001,0.937 ± 0.002,0.942 ± 0.003,0.935 ± 0.002
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.893 ± 0.003,0.892 ± 0.008,0.894 ± 0.005,0.106 ± 0.005,0.893 ± 0.019,0.107 ± 0.019,0.944 ± 0.009,0.934 ± 0.002,0.98 ± 0.002,0.933 ± 0.002,0.868 ± 0.011,0.319 ± 0.048,0.038 ± 0.004,0.974 ± 0.005,0.026 ± 0.005,0.976 ± 0.001,0.024 ± 0.001,0.959 ± 0.004,0.959 ± 0.003,0.96 ± 0.003,0.959 ± 0.004,0.933 ± 0.005,0.934 ± 0.009,0.934 ± 0.002
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.892 ± 0.005,0.891 ± 0.009,0.894 ± 0.006,0.106 ± 0.006,0.892 ± 0.02,0.108 ± 0.02,0.944 ± 0.01,0.934 ± 0.003,0.98 ± 0.003,0.933 ± 0.003,0.867 ± 0.012,0.312 ± 0.043,0.038 ± 0.004,0.974 ± 0.005,0.026 ± 0.005,0.976 ± 0.001,0.024 ± 0.001,0.959 ± 0.004,0.959 ± 0.004,0.96 ± 0.004,0.959 ± 0.004,0.933 ± 0.006,0.934 ± 0.01,0.934 ± 0.003
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.891 ± 0.003,0.894 ± 0.004,0.89 ± 0.003,0.11 ± 0.003,0.902 ± 0.006,0.098 ± 0.006,0.952 ± 0.003,0.933 ± 0.002,0.983 ± 0.001,0.932 ± 0.002,0.871 ± 0.005,0.199 ± 0.004,0.034 ± 0.001,0.977 ± 0.001,0.023 ± 0.001,0.975 ± 0.001,0.025 ± 0.001,0.96 ± 0.001,0.96 ± 0.001,0.961 ± 0.002,0.96 ± 0.001,0.935 ± 0.002,0.938 ± 0.003,0.933 ± 0.002
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.89 ± 0.003,0.894 ± 0.003,0.888 ± 0.003,0.112 ± 0.003,0.902 ± 0.005,0.098 ± 0.005,0.951 ± 0.003,0.933 ± 0.002,0.983 ± 0.002,0.931 ± 0.002,0.87 ± 0.004,0.199 ± 0.004,0.034 ± 0.001,0.977 ± 0.001,0.023 ± 0.001,0.974 ± 0.001,0.026 ± 0.001,0.96 ± 0.001,0.96 ± 0.001,0.961 ± 0.002,0.96 ± 0.001,0.935 ± 0.002,0.938 ± 0.003,0.933 ± 0.002
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.888 ± 0.006,0.893 ± 0.005,0.886 ± 0.006,0.114 ± 0.006,0.904 ± 0.006,0.096 ± 0.006,0.955 ± 0.003,0.932 ± 0.003,0.983 ± 0.001,0.93 ± 0.003,0.87 ± 0.007,0.182 ± 0.004,0.033 ± 0.001,0.978 ± 0.001,0.022 ± 0.001,0.974 ± 0.001,0.026 ± 0.001,0.96 ± 0.002,0.96 ± 0.002,0.961 ± 0.002,0.96 ± 0.002,0.934 ± 0.003,0.939 ± 0.004,0.932 ± 0.003
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.888 ± 0.009,0.881 ± 0.012,0.894 ± 0.008,0.106 ± 0.008,0.871 ± 0.018,0.129 ± 0.018,0.938 ± 0.012,0.931 ± 0.006,0.978 ± 0.002,0.93 ± 0.006,0.854 ± 0.015,0.324 ± 0.061,0.041 ± 0.005,0.968 ± 0.004,0.032 ± 0.004,0.975 ± 0.002,0.025 ± 0.002,0.954 ± 0.005,0.954 ± 0.005,0.956 ± 0.005,0.954 ± 0.005,0.926 ± 0.007,0.923 ± 0.01,0.931 ± 0.006
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.888 ± 0.009,0.881 ± 0.013,0.894 ± 0.008,0.106 ± 0.008,0.872 ± 0.022,0.128 ± 0.022,0.937 ± 0.012,0.931 ± 0.006,0.978 ± 0.002,0.93 ± 0.006,0.854 ± 0.017,0.328 ± 0.069,0.041 ± 0.006,0.968 ± 0.006,0.032 ± 0.006,0.975 ± 0.002,0.025 ± 0.002,0.954 ± 0.005,0.955 ± 0.005,0.956 ± 0.005,0.954 ± 0.005,0.926 ± 0.008,0.924 ± 0.012,0.931 ± 0.006
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.888 ± 0.006,0.893 ± 0.005,0.885 ± 0.007,0.115 ± 0.007,0.904 ± 0.006,0.096 ± 0.006,0.955 ± 0.003,0.931 ± 0.004,0.983 ± 0.001,0.93 ± 0.004,0.87 ± 0.007,0.183 ± 0.004,0.033 ± 0.001,0.978 ± 0.001,0.022 ± 0.001,0.974 ± 0.002,0.026 ± 0.002,0.96 ± 0.002,0.96 ± 0.002,0.961 ± 0.002,0.96 ± 0.002,0.934 ± 0.003,0.939 ± 0.004,0.931 ± 0.004
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.887 ± 0.004,0.887 ± 0.006,0.887 ± 0.005,0.113 ± 0.005,0.892 ± 0.012,0.108 ± 0.012,0.942 ± 0.006,0.931 ± 0.003,0.978 ± 0.003,0.929 ± 0.003,0.863 ± 0.007,0.399 ± 0.019,0.04 ± 0.002,0.974 ± 0.003,0.026 ± 0.003,0.974 ± 0.001,0.026 ± 0.001,0.958 ± 0.002,0.958 ± 0.002,0.959 ± 0.002,0.958 ± 0.002,0.931 ± 0.003,0.933 ± 0.006,0.931 ± 0.003
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.884 ± 0.006,0.883 ± 0.005,0.886 ± 0.007,0.114 ± 0.007,0.885 ± 0.01,0.115 ± 0.01,0.943 ± 0.005,0.929 ± 0.003,0.979 ± 0.002,0.927 ± 0.004,0.858 ± 0.006,0.387 ± 0.024,0.041 ± 0.002,0.972 ± 0.002,0.028 ± 0.002,0.974 ± 0.001,0.026 ± 0.001,0.956 ± 0.002,0.956 ± 0.002,0.957 ± 0.002,0.956 ± 0.002,0.928 ± 0.003,0.93 ± 0.005,0.929 ± 0.003
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.884 ± 0.007,0.882 ± 0.009,0.886 ± 0.007,0.114 ± 0.007,0.884 ± 0.016,0.116 ± 0.016,0.945 ± 0.006,0.929 ± 0.005,0.979 ± 0.003,0.927 ± 0.005,0.857 ± 0.012,0.343 ± 0.059,0.041 ± 0.003,0.972 ± 0.004,0.028 ± 0.004,0.974 ± 0.002,0.026 ± 0.002,0.955 ± 0.004,0.956 ± 0.004,0.957 ± 0.004,0.955 ± 0.004,0.927 ± 0.006,0.929 ± 0.008,0.929 ± 0.005
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.884 ± 0.009,0.884 ± 0.008,0.884 ± 0.011,0.116 ± 0.011,0.887 ± 0.009,0.113 ± 0.009,0.944 ± 0.005,0.929 ± 0.006,0.978 ± 0.001,0.927 ± 0.006,0.858 ± 0.01,0.371 ± 0.025,0.041 ± 0.003,0.973 ± 0.002,0.027 ± 0.002,0.973 ± 0.002,0.027 ± 0.002,0.956 ± 0.003,0.956 ± 0.003,0.957 ± 0.003,0.956 ± 0.003,0.928 ± 0.005,0.93 ± 0.005,0.929 ± 0.006
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.882 ± 0.008,0.883 ± 0.01,0.883 ± 0.008,0.117 ± 0.008,0.888 ± 0.015,0.112 ± 0.015,0.941 ± 0.012,0.928 ± 0.005,0.979 ± 0.003,0.926 ± 0.005,0.858 ± 0.013,0.342 ± 0.052,0.04 ± 0.004,0.973 ± 0.003,0.027 ± 0.003,0.973 ± 0.002,0.027 ± 0.002,0.956 ± 0.004,0.956 ± 0.004,0.957 ± 0.004,0.956 ± 0.004,0.928 ± 0.006,0.931 ± 0.008,0.928 ± 0.005
