Perceptron Parameters,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.895,0.893,0.896,0.886,0.951,0.935,0.983
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.895,0.892,0.896,0.886,0.95,0.9349999999999999,0.981
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.894,0.892,0.896,0.885,0.951,0.935,0.983
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.893,0.89,0.895,0.885,0.951,0.9349999999999999,0.981
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.891,0.896,0.888,0.903,0.954,0.933,0.984
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.891,0.895,0.888,0.903,0.955,0.933,0.984
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.89,0.884,0.889,0.874,0.9349999999999999,0.932,0.978
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.888,0.89,0.887,0.896,0.949,0.931,0.982
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.887,0.891,0.885,0.897,0.948,0.931,0.981
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.887,0.882,0.888,0.872,0.9339999999999999,0.931,0.977
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.887,0.881,0.89,0.866,0.942,0.931,0.975
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.883,0.881,0.882,0.88,0.9359999999999999,0.928,0.975
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.882,0.888,0.88,0.898,0.952,0.929,0.982
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.882,0.888,0.878,0.898,0.952,0.927,0.982
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.879,0.869,0.886,0.853,0.9259999999999999,0.925,0.976
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.879,0.868,0.886,0.85,0.925,0.925,0.976
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.878,0.878,0.879,0.875,0.938,0.926,0.977
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.877,0.873,0.879,0.868,0.939,0.924,0.976
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.875,0.876,0.873,0.878,0.939,0.923,0.977
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.874,0.873,0.875,0.873,0.9289999999999999,0.923,0.976
