BERT-Base Model,T&A Link,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
BioLinkBERT-base,vector-weighted-average-3070-hidden-states,0.8962509999757582,0.8916304184790761,0.8994660564454615,0.10053394355453854,0.8844451003541913,0.11555489964580873,0.9541589173622614,0.9360690606113947,0.9850576869034053,0.9352622215541324,0.8665329067003427,0.11889435382362926,0.03289682837314483,0.9726720647773279,0.027327935222672073,0.9766657852987837,0.02333421470121627,0.9589139875550947,0.9590312595963368,0.9593040140068547,0.9589139875550947,0.9331395730404802,0.9305554428264875,0.9360690606113947
BioLinkBERT-base,vector-concatenation-hidden-states,0.8946577855480725,0.900577043044292,0.8907704042715484,0.10922959572845159,0.9106858054226474,0.08931419457735251,0.9572631147553776,0.9352637446458957,0.9858231655533836,0.9341776711024977,0.8779789533492546,0.11319202290087044,0.03117478509945315,0.979757085020243,0.020242914979757054,0.9748326639892905,0.02516733601070953,0.963021778584392,0.9628564204392088,0.9627614364035546,0.963021778584392,0.9389317421099017,0.942759234705969,0.9352637446458957
pubmedbert-base-embeddings,vector-concatenation-classification-token,0.8936563873973036,0.891399292885368,0.8951945080091533,0.10480549199084666,0.8877681115944203,0.11223188840557974,0.9476203660682743,0.9344393592677346,0.9808580154840543,0.9336123429700043,0.8661296070262245,0.1232994922960067,0.03251306107550284,0.9736842105263157,0.026315789473684237,0.9756588286119854,0.024341171388014615,0.9589180386310605,0.958994890770978,0.9591108245369582,0.9589180386310605,0.9330329010761393,0.9317134701032028,0.9344393592677346
BioLinkBERT-base,vector-weighted-average-2080-hidden-states,0.8888537811080015,0.8797729618163055,0.8951182303585049,0.10488176964149509,0.8654257595207531,0.13457424047924693,0.9556327835434469,0.9313647831954468,0.985978886222774,0.930591010015815,0.8517100881886795,0.1195355723149904,0.033847495985294754,0.9676113360323886,0.032388663967611364,0.9755418936705487,0.02445810632945139,0.9539851784633999,0.9542777092688255,0.9548112233351727,0.9539851784633999,0.9256586035223806,0.9204838265956509,0.9313647831954468
pubmedbert-base-embeddings,vector-weighted-average-4060-classification-token,0.887538864342988,0.8830379746835443,0.8907322654462242,0.10926773455377575,0.8762738147984049,0.12372618520159506,0.9365247959696198,0.9306900193627883,0.974116244669057,0.9297254038846153,0.8560176722270025,0.141104881618128,0.03738978465132775,0.9706477732793521,0.0293522267206478,0.9746425162886974,0.025357483711302697,0.9556285649468499,0.9557624260933525,0.9561191290656053,0.9556285649468499,0.9278269516813791,0.9254581655435512,0.9306900193627883
BiomedNLP-BiomedBERT-base-uncased-abstract,vector-concatenation-hidden-states,0.8863349261273137,0.8863519313304722,0.8863844393592677,0.11361556064073225,0.8866239120476409,0.11337608795235915,0.9517727823541691,0.9300343249427918,0.9859531000534252,0.9289514486413586,0.8601565864871109,0.11991224843084028,0.03352447745015516,0.9736842105263157,0.026315789473684237,0.9737078274125404,0.026292172587459584,0.9572706010716446,0.9572570642198164,0.9573153932344732,0.9572706010716446,0.9300194862848226,0.9301658697300906,0.9300343249427918
BioLinkBERT-base,abstract-text-hidden-states,0.8852188828398837,0.8706315144083384,0.8952326468344776,0.10476735316552249,0.8474072555851608,0.1525927444148391,0.9412523741003966,0.9288916270609635,0.9795142009221258,0.9282797547967125,0.840093394946011,0.13594327184657368,0.037685461103151185,0.9625506072874495,0.0374493927125506,0.975378070640511,0.024621929359489036,0.9498814385100682,0.9504184244107436,0.9512874952206702,0.9498814385100682,0.9197755533301475,0.911392663112836,0.9288916270609635
pubmedbert-base-embeddings,vector-sum-classification-token,0.8842513757736354,0.8809631386723897,0.8864988558352402,0.1135011441647597,0.8756971815274782,0.12430281847252178,0.9339909885804933,0.9285733145572963,0.9711667392385206,0.9276191489617676,0.8531806480780024,0.1448044200138899,0.03781996854567101,0.9706477732793521,0.0293522267206478,0.9735930735930736,0.026406926406926434,0.9548129483190735,0.9549520013061813,0.9551557507487141,0.9548129483190735,0.9265375345470097,0.9246451275602758,0.9285733145572963
pubmedbert-base-embeddings,vector-average-classification-token,0.8842513757736354,0.8809631386723897,0.8864988558352402,0.1135011441647597,0.8756971815274782,0.12430281847252178,0.9339909885804933,0.9285733145572963,0.9711667392385206,0.9276191489617676,0.8531806480780024,0.1448044200138899,0.03781996854567101,0.9706477732793521,0.0293522267206478,0.9735930735930736,0.026406926406926434,0.9548129483190735,0.9549520013061813,0.9551557507487141,0.9548129483190735,0.9265375345470097,0.9246451275602758,0.9285733145572963
BioLinkBERT-base,text-concatenation-hidden-states,0.8836492010405054,0.8669349070100143,0.8951945080091533,0.10480549199084666,0.8405714285714285,0.15942857142857148,0.9502647362791463,0.9278604118993135,0.9831678077432624,0.9272813495127878,0.8355519068601345,0.13004754911892152,0.03599216982927533,0.9605263157894737,0.03947368421052633,0.9753333671348172,0.02466663286518278,0.9482367016679629,0.9488707777390695,0.9499646371747887,0.9482367016679629,0.9174008654757907,0.9079523978531229,0.9278604118993135
