BERT-Base Model,T&A Link,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
pubmedbert-base-embeddings,vector-concatenation-classification-token,0.885,0.894,0.88,0.911,0.951,0.929,0.983
pubmedbert-base-embeddings,vector-average-classification-token,0.881,0.881,0.881,0.885,0.947,0.927,0.979
pubmedbert-base-embeddings,vector-sum-classification-token,0.881,0.881,0.881,0.885,0.947,0.927,0.979
pubmedbert-base-embeddings,vector-weighted-average-4060-classification-token,0.88,0.886,0.878,0.898,0.948,0.927,0.981
pubmedbert-base-embeddings,vector-weighted-average-3070-classification-token,0.874,0.878,0.871,0.887,0.945,0.923,0.981
pubmedbert-base-embeddings,vector-weighted-average-2080-classification-token,0.87,0.867,0.872,0.862,0.934,0.919,0.978
pubmedbert-base-embeddings,text-concatenation-hidden-states,0.867,0.87,0.866,0.878,0.944,0.919,0.981
pubmedbert-base-embeddings,abstract-text-classification-token,0.862,0.868,0.857,0.881,0.935,0.915,0.979
pubmedbert-base-embeddings,vector-concatenation-hidden-states,0.86,0.872,0.853,0.899,0.945,0.914,0.982
pubmedbert-base-embeddings,abstract-text-hidden-states,0.86,0.86,0.861,0.862,0.934,0.915,0.98
pubmedbert-base-embeddings,vector-weighted-average-4060-hidden-states,0.859,0.865,0.855,0.879,0.936,0.914,0.976
pubmedbert-base-embeddings,vector-average-hidden-states,0.858,0.866,0.853,0.881,0.937,0.913,0.975
pubmedbert-base-embeddings,vector-sum-hidden-states,0.858,0.866,0.853,0.881,0.937,0.913,0.975
pubmedbert-base-embeddings,text-concatenation-classification-token,0.854,0.859,0.851,0.869,0.931,0.911,0.975
pubmedbert-base-embeddings,vector-weighted-average-3070-hidden-states,0.854,0.858,0.851,0.869,0.935,0.911,0.977
pubmedbert-base-embeddings,vector-weighted-average-2080-hidden-states,0.842,0.845,0.84,0.854,0.93,0.903,0.976
pubmedbert-base-embeddings,vector-weighted-average-1090-classification-token,0.832,0.824,0.839,0.8119999999999999,0.9,0.897,0.968
pubmedbert-base-embeddings,vector-weighted-average-1090-hidden-states,0.829,0.828,0.83,0.83,0.906,0.895,0.966
pubmedbert-base-embeddings,title-text-classification-token,0.814,0.818,0.8119999999999999,0.827,0.897,0.886,0.954
pubmedbert-base-embeddings,title-text-hidden-states,0.789,0.799,0.784,0.818,0.895,0.872,0.956
