BERT-Base Model,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
pubmedbert-base-embeddings,0.833,0.836,0.831,0.844,0.915,0.898,0.967
BioLinkBERT-base,0.823,0.825,0.822,0.832,0.906,0.892,0.967
BiomedNLP-BiomedBERT-base-uncased-abstract,0.821,0.821,0.822,0.825,0.893,0.89,0.963
S-PubMedBert-MS-MARCO,0.816,0.8099999999999999,0.819,0.8029999999999999,0.889,0.887,0.959
all-mpnet-base-v2,0.8059999999999999,0.8049999999999999,0.8079999999999999,0.8039999999999999,0.883,0.881,0.954
SapBERT-from-PubMedBERT-fulltext,0.7919999999999999,0.7889999999999999,0.7929999999999999,0.7869999999999999,0.873,0.872,0.95
scibert-scivocab-uncased,0.764,0.76,0.769,0.758,0.848,0.855,0.9369999999999999
Bio-ClinicalBERT,0.75,0.74,0.757,0.729,0.827,0.845,0.9299999999999999
biobert-base-cased-v1.2,0.739,0.721,0.752,0.7000000000000001,0.8069999999999999,0.838,0.9219999999999999
bert-base-uncased,0.6829999999999999,0.646,0.711,0.6,0.7060000000000001,0.7969999999999999,0.883
