Classifier Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
SVM (RBF Kernel),0.912 ± 0.006,0.916 ± 0.006,0.909 ± 0.006,0.091 ± 0.006,0.926 ± 0.008,0.074 ± 0.008,0.965 ± 0.001,0.946 ± 0.004,0.99 ± 0.0,0.945 ± 0.004,0.898 ± 0.007,0.095 ± 0.003,0.025 ± 0.001,0.983 ± 0.002,0.017 ± 0.002,0.979 ± 0.002,0.021 ± 0.002,0.969 ± 0.002,0.969 ± 0.002,0.969 ± 0.002,0.969 ± 0.002,0.949 ± 0.004,0.952 ± 0.004,0.946 ± 0.004
Neural Network,0.905 ± 0.005,0.911 ± 0.005,0.902 ± 0.006,0.098 ± 0.006,0.923 ± 0.009,0.077 ± 0.009,0.967 ± 0.003,0.942 ± 0.003,0.99 ± 0.001,0.941 ± 0.003,0.892 ± 0.007,0.127 ± 0.006,0.027 ± 0.002,0.982 ± 0.002,0.018 ± 0.002,0.978 ± 0.001,0.022 ± 0.001,0.967 ± 0.002,0.967 ± 0.002,0.967 ± 0.002,0.967 ± 0.002,0.945 ± 0.003,0.95 ± 0.005,0.942 ± 0.003
Deep Neural Network,0.905 ± 0.008,0.906 ± 0.011,0.905 ± 0.007,0.095 ± 0.007,0.91 ± 0.018,0.09 ± 0.018,0.966 ± 0.004,0.942 ± 0.005,0.99 ± 0.002,0.941 ± 0.005,0.886 ± 0.014,0.195 ± 0.02,0.031 ± 0.005,0.979 ± 0.005,0.021 ± 0.005,0.978 ± 0.002,0.022 ± 0.002,0.965 ± 0.005,0.965 ± 0.004,0.965 ± 0.004,0.965 ± 0.005,0.942 ± 0.007,0.944 ± 0.01,0.942 ± 0.005
Logistic Regression,0.904 ± 0.005,0.906 ± 0.006,0.904 ± 0.006,0.096 ± 0.006,0.913 ± 0.014,0.087 ± 0.014,0.961 ± 0.005,0.941 ± 0.003,0.989 ± 0.001,0.94 ± 0.003,0.887 ± 0.009,0.121 ± 0.005,0.029 ± 0.002,0.979 ± 0.003,0.021 ± 0.003,0.978 ± 0.001,0.022 ± 0.001,0.965 ± 0.003,0.965 ± 0.003,0.966 ± 0.003,0.965 ± 0.003,0.942 ± 0.004,0.946 ± 0.007,0.941 ± 0.003
k-Nearest Neighbors,0.88 ± 0.011,0.806 ± 0.015,0.939 ± 0.01,0.061 ± 0.01,0.71 ± 0.021,0.29 ± 0.021,0.879 ± 0.007,0.924 ± 0.008,0.971 ± 0.002,0.923 ± 0.007,0.767 ± 0.019,0.657 ± 0.045,0.072 ± 0.004,0.909 ± 0.006,0.091 ± 0.006,0.985 ± 0.003,0.015 ± 0.003,0.914 ± 0.007,0.919 ± 0.006,0.933 ± 0.006,0.914 ± 0.007,0.876 ± 0.009,0.847 ± 0.011,0.924 ± 0.008
SVM (Polynomial Kernel),0.872 ± 0.015,0.881 ± 0.013,0.867 ± 0.017,0.133 ± 0.017,0.898 ± 0.014,0.102 ± 0.014,0.928 ± 0.007,0.922 ± 0.01,0.981 ± 0.001,0.92 ± 0.01,0.855 ± 0.018,0.144 ± 0.003,0.037 ± 0.002,0.977 ± 0.003,0.023 ± 0.003,0.97 ± 0.004,0.03 ± 0.004,0.956 ± 0.005,0.956 ± 0.005,0.956 ± 0.006,0.956 ± 0.005,0.927 ± 0.008,0.934 ± 0.009,0.922 ± 0.01
Gaussian Naive Bayes,0.856 ± 0.002,0.746 ± 0.003,0.951 ± 0.002,0.049 ± 0.002,0.615 ± 0.005,0.385 ± 0.005,0.716 ± 0.008,0.905 ± 0.001,0.942 ± 0.002,0.904 ± 0.002,0.699 ± 0.004,3.287 ± 0.068,0.121 ± 0.002,0.86 ± 0.003,0.14 ± 0.003,0.987 ± 0.001,0.013 ± 0.001,0.877 ± 0.002,0.886 ± 0.002,0.917 ± 0.001,0.877 ± 0.002,0.832 ± 0.002,0.801 ± 0.003,0.905 ± 0.001
Gaussian Process Classifier,0.743 ± 0.156,0.722 ± 0.152,0.763 ± 0.161,0.237 ± 0.161,0.705 ± 0.153,0.295 ± 0.153,0.687 ± 0.159,0.855 ± 0.073,0.818 ± 0.101,0.787 ± 0.168,0.693 ± 0.145,0.391 ± 0.099,0.128 ± 0.039,0.948 ± 0.026,0.052 ± 0.026,0.951 ± 0.029,0.049 ± 0.029,0.913 ± 0.025,0.905 ± 0.038,0.904 ± 0.051,0.913 ± 0.025,0.834 ± 0.081,0.828 ± 0.09,0.855 ± 0.073
Random Forest Classifier,0.671 ± 0.023,0.758 ± 0.019,0.624 ± 0.025,0.376 ± 0.025,0.975 ± 0.006,0.025 ± 0.006,0.935 ± 0.005,0.81 ± 0.013,0.976 ± 0.002,0.786 ± 0.015,0.744 ± 0.018,0.212 ± 0.007,0.058 ± 0.002,0.996 ± 0.001,0.004 ± 0.001,0.92 ± 0.005,0.08 ± 0.005,0.926 ± 0.005,0.919 ± 0.006,0.93 ± 0.005,0.926 ± 0.005,0.857 ± 0.011,0.948 ± 0.004,0.81 ± 0.013
Decision Tree Classifier,0.67 ± 0.014,0.668 ± 0.014,0.673 ± 0.017,0.327 ± 0.017,0.673 ± 0.027,0.327 ± 0.027,0.516 ± 0.019,0.798 ± 0.008,0.798 ± 0.008,0.785 ± 0.009,0.595 ± 0.019,4.496 ± 0.284,0.125 ± 0.008,0.922 ± 0.01,0.078 ± 0.01,0.924 ± 0.004,0.076 ± 0.004,0.875 ± 0.008,0.875 ± 0.007,0.877 ± 0.006,0.875 ± 0.008,0.796 ± 0.009,0.799 ± 0.014,0.798 ± 0.008
