Classifier Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
k-Nearest Neighbors,0.901937777890591,0.837003471804658,0.9516908212560387,0.048309178743961345,0.7484274346343313,0.25157256536566885,0.8844271331696245,0.9383947620098582,0.9679777036655578,0.938041996115541,0.803487267371198,0.7719377573184365,0.06319791811879201,0.9250987027636774,0.07490129723632262,0.9882587393513937,0.011741260648606233,0.9301592120353505,0.9332367597659241,0.9431062229078518,0.9301592120353505,0.8962660755431973,0.8683430869928624,0.9383947620098582
Deep Neural Network,0.8974325425082146,0.8950069277755011,0.8993236714975845,0.10067632850241545,0.8920505532967539,0.1079494467032461,0.9536930107433619,0.9370099360410549,0.9838122922250783,0.9359241400294765,0.8712402408164406,0.24206157392808264,0.035135735207023545,0.9746962005845254,0.02530379941547454,0.9767999575386399,0.023200042461360114,0.960554543614653,0.9605351984137135,0.9608365512928334,0.960554543614653,0.9353574299484118,0.9344252554176968,0.9370099360410549
Logistic Regression,0.8925805529024936,0.8960493032949428,0.8905314009661837,0.10946859903381642,0.9029508611955419,0.09704913880445795,0.951780413855215,0.9341392071230958,0.9841403316868629,0.9327598766671313,0.8728552247863728,0.1492205114573199,0.03169575180591681,0.9777470132800081,0.02225298671999183,0.9748860844436267,0.025113915556373323,0.9613809620184849,0.9612111622241499,0.961363453051626,0.9613809620184849,0.9361638416610273,0.9389184728195843,0.9341392071230958
Neural Network,0.8914598477935588,0.8997376808439362,0.886280193236715,0.11371980676328504,0.9150127085121781,0.08498729148782173,0.9534644636866224,0.9335287547735132,0.9850621222400815,0.9320663946566963,0.8777541864068477,0.1750203467105203,0.032583071342271466,0.9807773163103113,0.01922268368968878,0.9739772200714121,0.02602277992858797,0.9630270525534643,0.9627472441896607,0.9628877769355046,0.9630270525534643,0.9385334418046052,0.9444949642917951,0.9335287547735132
SVM (RBF Kernel),0.8832857286352216,0.8997767301970623,0.8729468599033817,0.12705314009661836,0.9302998393828332,0.06970016061716681,0.9587619718333704,0.9288848538351958,0.9857420969051957,0.9267043264520662,0.8790875445209385,0.10550184689381699,0.028106861106082015,0.9848228477670101,0.01517715223298981,0.9712222979598764,0.028777702040123643,0.9638399784119274,0.9632597294382066,0.9635176076039166,0.9638399784119274,0.938853850209328,0.9507610686713548,0.9288848538351958
Gaussian Naive Bayes,0.8438121409453524,0.7835055171332157,0.8905314009661837,0.10946859903381645,0.7022145135566189,0.2977854864433812,0.7241337032429991,0.9007161440046012,0.9387491135390791,0.9001405109231657,0.7353625681976633,2.925454472624339,0.09242289739694014,0.910900887043019,0.08909911295698099,0.9732252301318327,0.02677476986816727,0.9071341833636917,0.9112177769166582,0.9221848221332587,0.9071341833636917,0.8621603950850603,0.8377198718442258,0.9007161440046012
Gaussian Process Classifier,0.8376476080905266,0.8447091165696671,0.8337198067632849,0.166280193236715,0.8600434737062645,0.1399565262937356,0.189415241592617,0.9006649590141095,0.504045531456699,0.8976476484933054,0.8110277273869835,0.6931342727211234,0.24999354611398136,0.9676101112649336,0.03238988873506639,0.961980685259696,0.038019314740303935,0.9424913985023275,0.9421233471336841,0.9427476506780927,0.9424913985023275,0.9046958168705759,0.9110120794829802,0.9006649590141095
SVM (Polynomial Kernel),0.8183788422381524,0.8659185114087075,0.7898550724637682,0.21014492753623193,0.9614518814518813,0.03854811854811857,0.9494985385342243,0.891384491572088,0.9786072475905477,0.8845915969346546,0.8458839792969659,0.12265106155980854,0.03012927768182879,0.9929139106804081,0.007086089319591871,0.9535884773244527,0.04641152267554725,0.9547999730149093,0.952755353196941,0.9550832823304104,0.9547999730149093,0.9193619758209657,0.9575201793881671,0.891384491572088
Random Forest Classifier,0.7087812121645212,0.7918041638062278,0.6630917874396135,0.3369082125603865,0.9933333333333334,0.006666666666666665,0.9430622691987525,0.8310408432147561,0.9757909163485563,0.8119678796860427,0.7796325274863569,0.22163839048735245,0.05185778755987317,0.998989898989899,0.0010101010101010166,0.9279516367584935,0.07204836324150657,0.9359002900897254,0.9301198649680759,0.9402307937674468,0.9359002900897254,0.8769441425796172,0.9606424850459134,0.8310408432147561
Decision Tree Classifier,0.6697421090575577,0.6665790641671282,0.6722705314009663,0.32772946859903385,0.6629769820971868,0.3370230179028133,0.5075620638895353,0.7961414186000371,0.7961414186000371,0.7860186738900585,0.5892886715748403,4.561201175693581,0.12654658301288538,0.9200123057991079,0.07998769420089216,0.9238624931066193,0.07613750689338059,0.8734534169871147,0.8738333111993635,0.8747324314714712,0.8734534169871147,0.7942189963436477,0.793419737601903,0.7961414186000371
