K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.885,0.818,0.9349999999999999,0.726,0.931,0.928,0.976
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.885,0.818,0.9349999999999999,0.726,0.931,0.928,0.976
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.883,0.8079999999999999,0.942,0.707,0.922,0.926,0.977
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.883,0.8079999999999999,0.942,0.707,0.922,0.926,0.977
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.88,0.803,0.939,0.7,0.92,0.923,0.975
"{'n_neighbors': 21, 'metric': 'manhattan'}",0.877,0.809,0.929,0.718,0.925,0.921,0.975
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.874,0.799,0.9319999999999999,0.698,0.907,0.92,0.974
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.873,0.796,0.9339999999999999,0.694,0.902,0.919,0.975
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.873,0.796,0.9339999999999999,0.694,0.902,0.919,0.975
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.871,0.795,0.9319999999999999,0.695,0.874,0.918,0.969
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.871,0.795,0.9319999999999999,0.695,0.874,0.918,0.969
"{'n_neighbors': 5, 'metric': 'manhattan'}",0.867,0.789,0.927,0.6859999999999999,0.867,0.915,0.967
"{'n_neighbors': 3, 'metric': 'manhattan'}",0.865,0.785,0.929,0.6789999999999999,0.82,0.914,0.953
"{'n_neighbors': 3, 'metric': 'euclidean'}",0.865,0.785,0.929,0.6789999999999999,0.8039999999999999,0.914,0.953
"{'n_neighbors': 3, 'metric': 'minkowski'}",0.865,0.785,0.929,0.6789999999999999,0.8039999999999999,0.914,0.953
