K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.9094461942744463,0.847249039150544,0.9563681932102984,0.04363180678970154,0.7608069946779624,0.23919300532203758,0.9297070384618604,0.9432753234501626,0.9755645265660435,0.94314702772107,0.8154014843870736,0.41223711990808076,0.05886479208975293,0.9301824536900268,0.0698175463099731,0.9892469989557369,0.010753001044263133,0.9350886239775128,0.9378050737156406,0.946288422713705,0.9350886239775128,0.9030177414982413,0.8750269968168497,0.9432753234501626
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.906434797053587,0.8407054141359828,0.9563681932102984,0.04363180678970154,0.7502296979562307,0.24977030204376924,0.9210659367782981,0.9412489530018835,0.9747756664871193,0.9410945281208591,0.8077665948106407,0.48150247249745964,0.06369728028788146,0.9261297127934687,0.0738702872065314,0.9891983677420265,0.010801632257973556,0.9318004873560429,0.9348057872607082,0.9442528000973486,0.9318004873560429,0.8986584735510977,0.8697140328491285,0.9412489530018835
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.906434797053587,0.8407054141359828,0.9563681932102984,0.04363180678970154,0.7502296979562307,0.24977030204376924,0.9210659367782981,0.9412489530018835,0.9747756664871193,0.9410945281208591,0.8077665948106407,0.48150247249745964,0.06369728028788146,0.9261297127934687,0.0738702872065314,0.9891983677420265,0.010801632257973556,0.9318004873560429,0.9348057872607082,0.9442528000973486,0.9318004873560429,0.8986584735510977,0.8697140328491285,0.9412489530018835
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.9053067993366501,0.8432964260423846,0.9520391888812941,0.04796081111870587,0.757019829208279,0.24298017079172096,0.9448711414493823,0.9405980857957679,0.9780500796460121,0.9404859919945942,0.810317218150061,0.28768231380944514,0.0596288584937163,0.9291569827102416,0.07084301728975835,0.9881684512846127,0.011831548715387238,0.9334384889940446,0.9362063144271936,0.9446863049484614,0.9334384889940446,0.9005206016108284,0.8725941402464459,0.9405980857957679
"{'n_neighbors': 5, 'metric': 'manhattan'}",0.9049877439381532,0.8376915924462757,0.9563681932102984,0.04363180678970154,0.7456472597614372,0.25435274023856286,0.9103987936839445,0.940234265304019,0.9721275255810848,0.9400649322071134,0.804283750360129,0.5916637051482229,0.05858027062019142,0.9241003373977393,0.0758996626022606,0.9891622874784155,0.010837712521584572,0.9301503523725746,0.9333363837045027,0.9433679790450231,0.9301503523725746,0.8965941540195566,0.8674047736199263,0.940234265304019
"{'n_neighbors': 3, 'metric': 'manhattan'}",0.9016297358379054,0.8359617737607569,0.9519822282980178,0.048017771701982216,0.7465192376842863,0.25348076231571376,0.8734317062672458,0.938059704482246,0.9653362872796389,0.9378710826202049,0.8020548906861066,0.9168552182054287,0.061087195243591415,0.9241371806664742,0.07586281933352583,0.9881097324367385,0.011890267563261503,0.9293434848990404,0.9325948521633974,0.9427137405694102,0.9293434848990404,0.8954632090619818,0.8673144850605122,0.938059704482246
"{'n_neighbors': 21, 'metric': 'manhattan'}",0.9001285623615335,0.8321473468549682,0.9519822282980178,0.048017771701982216,0.7391254646188372,0.2608745353811628,0.9418840877605259,0.9370127229314288,0.9754817844865064,0.9368780336737896,0.7972239879181021,0.30592236087009383,0.063235630252372,0.9220432175648399,0.07795678243516013,0.9880489960157579,0.011951003984242167,0.9276731276731276,0.9309841098383803,0.9411968919467625,0.9276731276731276,0.8930254785556372,0.8635872303172976,0.9370127229314288
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.8975198990487284,0.8217542658220625,0.9563681932102984,0.04363180678970154,0.7205128205128205,0.2794871794871795,0.8932568087359666,0.9351744470656378,0.969789316441041,0.9349029256193848,0.7858346019025987,0.7221846347821973,0.06558815768463848,0.9139807009209772,0.0860192990790228,0.9890566105790907,0.010943389420909258,0.9219401219401219,0.9258912160279338,0.9385384176699079,0.9219401219401219,0.8858905469110944,0.8547847155459557,0.9351744470656378
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.8975198990487284,0.8217542658220625,0.9563681932102984,0.04363180678970154,0.7205128205128205,0.2794871794871795,0.8932568087359666,0.9351744470656378,0.969789316441041,0.9349029256193848,0.7858346019025987,0.7221846347821973,0.06558815768463848,0.9139807009209772,0.0860192990790228,0.9890566105790907,0.010943389420909258,0.9219401219401219,0.9258912160279338,0.9385384176699079,0.9219401219401219,0.8858905469110944,0.8547847155459557,0.9351744470656378
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.8974366888060378,0.831362760553512,0.9477101845522897,0.0522898154477102,0.7406171248568155,0.2593828751431844,0.9377863246987316,0.9353955584289767,0.9763133509153827,0.9352511380482454,0.7959818633904351,0.332341592371128,0.06561266829899674,0.9230809323056638,0.07691906769433628,0.9870269511014585,0.01297304889854145,0.9276852610185943,0.9308932726857525,0.9406666450683087,0.9276852610185943,0.8926682685936935,0.863822037979137,0.9353955584289767
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.8974366888060378,0.831362760553512,0.9477101845522897,0.0522898154477102,0.7406171248568155,0.2593828751431844,0.9377863246987316,0.9353955584289767,0.9763133509153827,0.9352511380482454,0.7959818633904351,0.332341592371128,0.06561266829899674,0.9230809323056638,0.07691906769433628,0.9870269511014585,0.01297304889854145,0.9276852610185943,0.9308932726857525,0.9406666450683087,0.9276852610185943,0.8926682685936935,0.863822037979137,0.9353955584289767
"{'n_neighbors': 3, 'metric': 'euclidean'}",0.8921945551188646,0.8204342273307791,0.9475962633857371,0.05240373661426293,0.7237288293989325,0.2762711706010675,0.8688500422294666,0.931806286784291,0.9625158004609201,0.9315992908638652,0.783359491762114,0.9583450389909743,0.06607944050383467,0.9160163101828448,0.0839836898171551,0.9869348279365752,0.013065172063424835,0.9219401219401219,0.9257332016026899,0.9374367716915927,0.9219401219401219,0.8852810380672564,0.8553318286677539,0.931806286784291
"{'n_neighbors': 3, 'metric': 'minkowski'}",0.8921945551188646,0.8204342273307791,0.9475962633857371,0.05240373661426293,0.7237288293989325,0.2762711706010675,0.8688500422294666,0.931806286784291,0.9625158004609201,0.9315992908638652,0.783359491762114,0.9583450389909743,0.06607944050383467,0.9160163101828448,0.0839836898171551,0.9869348279365752,0.013065172063424835,0.9219401219401219,0.9257332016026899,0.9374367716915927,0.9219401219401219,0.8852810380672564,0.8553318286677539,0.931806286784291
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.8905235612552685,0.8119180633147115,0.9519822282980178,0.048017771701982216,0.7078177549336887,0.2921822450663113,0.9372313879146522,0.9304423866677304,0.9740405569826351,0.9301717861286282,0.7738946713505457,0.3267972498474053,0.0702742528535388,0.908902545037443,0.09109745496255688,0.9878878137029458,0.01211218629705424,0.9169978058866949,0.9213766788135332,0.9351928403335604,0.9169978058866949,0.8793333780890914,0.8478527843183171,0.9304423866677304
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.8905235612552685,0.8119180633147115,0.9519822282980178,0.048017771701982216,0.7078177549336887,0.2921822450663113,0.9372313879146522,0.9304423866677304,0.9740405569826351,0.9301717861286282,0.7738946713505457,0.3267972498474053,0.0702742528535388,0.908902545037443,0.09109745496255688,0.9878878137029458,0.01211218629705424,0.9169978058866949,0.9213766788135332,0.9351928403335604,0.9169978058866949,0.8793333780890914,0.8478527843183171,0.9304423866677304
