K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.903 ± 0.004,0.844 ± 0.006,0.948 ± 0.004,0.052 ± 0.004,0.762 ± 0.012,0.238 ± 0.012,0.926 ± 0.004,0.939 ± 0.002,0.976 ± 0.001,0.939 ± 0.002,0.811 ± 0.008,0.426 ± 0.03,0.058 ± 0.002,0.93 ± 0.004,0.07 ± 0.004,0.987 ± 0.001,0.013 ± 0.001,0.934 ± 0.003,0.936 ± 0.003,0.945 ± 0.002,0.934 ± 0.003,0.901 ± 0.004,0.875 ± 0.006,0.939 ± 0.002
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.903 ± 0.005,0.841 ± 0.009,0.95 ± 0.003,0.05 ± 0.003,0.757 ± 0.015,0.243 ± 0.015,0.938 ± 0.003,0.939 ± 0.004,0.978 ± 0.001,0.938 ± 0.004,0.808 ± 0.011,0.339 ± 0.022,0.059 ± 0.002,0.928 ± 0.005,0.072 ± 0.005,0.988 ± 0.001,0.012 ± 0.001,0.932 ± 0.005,0.935 ± 0.004,0.944 ± 0.003,0.932 ± 0.005,0.899 ± 0.006,0.873 ± 0.008,0.939 ± 0.004
"{'n_neighbors': 5, 'metric': 'manhattan'}",0.902 ± 0.008,0.841 ± 0.011,0.948 ± 0.006,0.052 ± 0.006,0.759 ± 0.017,0.241 ± 0.017,0.905 ± 0.005,0.938 ± 0.005,0.972 ± 0.001,0.938 ± 0.005,0.809 ± 0.014,0.619 ± 0.016,0.058 ± 0.002,0.929 ± 0.006,0.071 ± 0.006,0.987 ± 0.001,0.013 ± 0.001,0.932 ± 0.005,0.935 ± 0.005,0.944 ± 0.004,0.932 ± 0.005,0.899 ± 0.007,0.873 ± 0.009,0.938 ± 0.005
"{'n_neighbors': 21, 'metric': 'manhattan'}",0.902 ± 0.008,0.838 ± 0.01,0.95 ± 0.006,0.05 ± 0.006,0.751 ± 0.014,0.249 ± 0.014,0.943 ± 0.005,0.938 ± 0.005,0.977 ± 0.002,0.938 ± 0.005,0.804 ± 0.013,0.281 ± 0.015,0.061 ± 0.003,0.926 ± 0.004,0.074 ± 0.004,0.988 ± 0.002,0.012 ± 0.002,0.93 ± 0.005,0.934 ± 0.004,0.943 ± 0.004,0.93 ± 0.005,0.897 ± 0.007,0.869 ± 0.008,0.938 ± 0.005
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.902 ± 0.005,0.833 ± 0.01,0.955 ± 0.002,0.045 ± 0.002,0.741 ± 0.017,0.259 ± 0.017,0.891 ± 0.008,0.938 ± 0.003,0.97 ± 0.002,0.938 ± 0.003,0.799 ± 0.012,0.727 ± 0.036,0.064 ± 0.003,0.921 ± 0.006,0.079 ± 0.006,0.989 ± 0.001,0.011 ± 0.001,0.928 ± 0.005,0.931 ± 0.005,0.942 ± 0.003,0.928 ± 0.005,0.893 ± 0.007,0.865 ± 0.009,0.938 ± 0.003
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.902 ± 0.005,0.833 ± 0.01,0.955 ± 0.002,0.045 ± 0.002,0.741 ± 0.017,0.259 ± 0.017,0.891 ± 0.008,0.938 ± 0.003,0.97 ± 0.002,0.938 ± 0.003,0.799 ± 0.012,0.727 ± 0.036,0.064 ± 0.003,0.921 ± 0.006,0.079 ± 0.006,0.989 ± 0.001,0.011 ± 0.001,0.928 ± 0.005,0.931 ± 0.005,0.942 ± 0.003,0.928 ± 0.005,0.893 ± 0.007,0.865 ± 0.009,0.938 ± 0.003
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.9 ± 0.005,0.832 ± 0.007,0.953 ± 0.004,0.047 ± 0.004,0.74 ± 0.01,0.26 ± 0.01,0.918 ± 0.004,0.937 ± 0.003,0.974 ± 0.001,0.937 ± 0.003,0.798 ± 0.009,0.493 ± 0.034,0.063 ± 0.002,0.922 ± 0.003,0.078 ± 0.003,0.988 ± 0.001,0.012 ± 0.001,0.927 ± 0.003,0.931 ± 0.003,0.942 ± 0.003,0.927 ± 0.003,0.893 ± 0.005,0.864 ± 0.005,0.937 ± 0.003
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.9 ± 0.005,0.832 ± 0.007,0.953 ± 0.004,0.047 ± 0.004,0.74 ± 0.01,0.26 ± 0.01,0.918 ± 0.004,0.937 ± 0.003,0.974 ± 0.001,0.937 ± 0.003,0.798 ± 0.009,0.493 ± 0.034,0.063 ± 0.002,0.922 ± 0.003,0.078 ± 0.003,0.988 ± 0.001,0.012 ± 0.001,0.927 ± 0.003,0.931 ± 0.003,0.942 ± 0.003,0.927 ± 0.003,0.893 ± 0.005,0.864 ± 0.005,0.937 ± 0.003
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.899 ± 0.008,0.831 ± 0.012,0.951 ± 0.004,0.049 ± 0.004,0.74 ± 0.018,0.26 ± 0.018,0.934 ± 0.004,0.936 ± 0.005,0.976 ± 0.001,0.936 ± 0.005,0.797 ± 0.015,0.358 ± 0.014,0.064 ± 0.003,0.922 ± 0.007,0.078 ± 0.007,0.988 ± 0.001,0.012 ± 0.001,0.927 ± 0.006,0.931 ± 0.006,0.941 ± 0.004,0.927 ± 0.006,0.892 ± 0.008,0.864 ± 0.01,0.936 ± 0.005
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.899 ± 0.008,0.831 ± 0.012,0.951 ± 0.004,0.049 ± 0.004,0.74 ± 0.018,0.26 ± 0.018,0.934 ± 0.004,0.936 ± 0.005,0.976 ± 0.001,0.936 ± 0.005,0.797 ± 0.015,0.358 ± 0.014,0.064 ± 0.003,0.922 ± 0.007,0.078 ± 0.007,0.988 ± 0.001,0.012 ± 0.001,0.927 ± 0.006,0.931 ± 0.006,0.941 ± 0.004,0.927 ± 0.006,0.892 ± 0.008,0.864 ± 0.01,0.936 ± 0.005
