K-Nearest Neighbors Parameters,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
"{'n_neighbors': 8, 'metric': 'manhattan'}",0.899,0.838,0.944,0.75,0.922,0.9369999999999999,0.975
"{'n_neighbors': 13, 'metric': 'manhattan'}",0.898,0.832,0.947,0.742,0.9349999999999999,0.9349999999999999,0.977
"{'n_neighbors': 5, 'metric': 'euclidean'}",0.897,0.823,0.953,0.724,0.883,0.9349999999999999,0.968
"{'n_neighbors': 5, 'metric': 'minkowski'}",0.897,0.823,0.953,0.724,0.883,0.9349999999999999,0.968
"{'n_neighbors': 8, 'metric': 'euclidean'}",0.895,0.825,0.949,0.73,0.914,0.934,0.973
"{'n_neighbors': 8, 'metric': 'minkowski'}",0.895,0.825,0.949,0.73,0.914,0.934,0.973
"{'n_neighbors': 5, 'metric': 'manhattan'}",0.894,0.83,0.942,0.742,0.9,0.9329999999999999,0.971
"{'n_neighbors': 21, 'metric': 'manhattan'}",0.894,0.828,0.944,0.737,0.938,0.9329999999999999,0.975
"{'n_neighbors': 13, 'metric': 'euclidean'}",0.891,0.819,0.947,0.722,0.93,0.931,0.975
"{'n_neighbors': 13, 'metric': 'minkowski'}",0.891,0.819,0.947,0.722,0.93,0.931,0.975
"{'n_neighbors': 21, 'metric': 'euclidean'}",0.887,0.813,0.944,0.713,0.9329999999999999,0.928,0.973
"{'n_neighbors': 21, 'metric': 'minkowski'}",0.887,0.813,0.944,0.713,0.9329999999999999,0.928,0.973
"{'n_neighbors': 3, 'metric': 'manhattan'}",0.886,0.827,0.929,0.743,0.862,0.928,0.964
"{'n_neighbors': 3, 'metric': 'euclidean'}",0.882,0.8119999999999999,0.9349999999999999,0.716,0.848,0.925,0.96
"{'n_neighbors': 3, 'metric': 'minkowski'}",0.882,0.8119999999999999,0.9349999999999999,0.716,0.848,0.925,0.96
