Logistic Regression Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'solver': 'liblinear'}",0.922638249079034,0.9124919968811371,0.9303670186023127,0.0696329813976873,0.8989867287854906,0.10101327121450962,0.9618871963099109,0.9525379092871352,0.9877267732840488,0.9518140411495067,0.8933489196200767,0.11509332791736192,0.02706823382512856,0.9747087999719579,0.025291200028042134,0.9838276051433946,0.016172394856605377,0.9663072866157792,0.9665594219680025,0.9678801583555245,0.9663072866157792,0.9458046239376897,0.9414071669644426,0.9525379092871352
"{'C': 100.0, 'solver': 'sag'}",0.921955338520261,0.9171417588838404,0.9258421317244847,0.07415786827551535,0.911676769223209,0.08832323077679118,0.9618818535554929,0.9522931849712033,0.9876561215415703,0.9513961389212793,0.8991279824275245,0.12617727269342877,0.026980101945435153,0.9787442382179224,0.02125576178207757,0.9829097623024748,0.01709023769752514,0.9687446799248268,0.96876680033262,0.9695566882816675,0.9687446799248268,0.9489344570567076,0.9472932657628418,0.9522931849712033
"{'C': 10.0, 'solver': 'sag'}",0.921955338520261,0.9171417588838404,0.9258421317244847,0.07415786827551535,0.911676769223209,0.08832323077679118,0.9617311499992167,0.9522931849712033,0.9876276315130804,0.9513961389212793,0.8991279824275245,0.12372228092094026,0.02667434424793384,0.9787442382179224,0.02125576178207757,0.9829097623024748,0.01709023769752514,0.9687446799248268,0.96876680033262,0.9695566882816675,0.9687446799248268,0.9489344570567076,0.9472932657628418,0.9522931849712033
"{'C': 1.0, 'solver': 'sag'}",0.9154393482078653,0.9140265734157137,0.9172951231774762,0.08270487682252389,0.9152940325927943,0.0847059674072058,0.9613624886780704,0.9485323259471865,0.9881191403482424,0.9472164164334251,0.8960541648354449,0.11021786623712118,0.025540505784354364,0.9797695287168972,0.02023047128310287,0.9810527097392263,0.018947290260773582,0.9679351485730854,0.9678093286430373,0.9687537365884193,0.9679351485730854,0.9471516886636121,0.9481733711660104,0.9485323259471865
"{'C': 1.0, 'solver': 'lbfgs'}",0.91232580493478,0.913303529855858,0.9127702362996482,0.08722976370035194,0.919452619104322,0.08054738089567812,0.9589342653256145,0.9467759553827665,0.988349634541585,0.9451726120661994,0.8957548220071843,0.11885333111351007,0.027355249191425176,0.980781674465885,0.019218325534115014,0.9801420656932366,0.019857934306763303,0.967926349319262,0.9677118861173318,0.9688088412340848,0.967926349319262,0.9468031204070743,0.9497973423987793,0.9467759553827665
"{'C': 1.0, 'solver': 'newton-cg'}",0.9114519110842975,0.9112184488234086,0.9127702362996482,0.08722976370035194,0.9155839731304128,0.08441602686958725,0.9587304130103121,0.9462698825082725,0.9882283053490484,0.9446119881562889,0.8932798421678941,0.12065891331767348,0.027826877879626937,0.9797695287168972,0.020230471283102864,0.9801555609698898,0.019844439030110128,0.9671080187136974,0.9669006680157834,0.9680789477606304,0.9671080187136974,0.945505823029261,0.9478697670501515,0.9462698825082725
"{'C': 1.0, 'solver': 'newton-cholesky'}",0.9114519110842975,0.9112184488234086,0.9127702362996482,0.08722976370035194,0.9155839731304128,0.08441602686958725,0.9579749164797163,0.9462698825082725,0.9881140834856006,0.9446119881562889,0.8932798421678941,0.12139139008401684,0.027843507144036925,0.9797695287168972,0.020230471283102864,0.9801555609698898,0.019844439030110128,0.9671080187136974,0.9669006680157834,0.9680789477606304,0.9671080187136974,0.945505823029261,0.9478697670501515,0.9462698825082725
"{'C': 10.0, 'solver': 'liblinear'}",0.9108794688522504,0.9032204498405801,0.9172951231774762,0.08270487682252389,0.895280065614229,0.10471993438577099,0.961434402196385,0.9454893163252295,0.9870456833614729,0.9442249576052755,0.8827564818142611,0.13562158269071947,0.028014708053610823,0.9736835094729831,0.02631649052701684,0.9809416470929525,0.019058352907047486,0.9630163656858741,0.9631710141133359,0.9648256518892704,0.9630163656858741,0.940161826601959,0.9381108563535908,0.9454893163252295
"{'C': 10.0, 'solver': 'lbfgs'}",0.908839869600552,0.9107594198575922,0.9084967320261439,0.0915032679738562,0.917941630093333,0.08205836990666712,0.9605337215065453,0.944632630871021,0.9877369505852477,0.9429284790249588,0.8924516796445764,0.15261281527159884,0.02850778461475791,0.980768529715898,0.019231470284101864,0.9791423771226978,0.020857622877302067,0.9671080187136974,0.9668178642690533,0.967670566816243,0.9671080187136974,0.9452897644064014,0.9485420036080154,0.944632630871021
"{'C': 100.0, 'solver': 'newton-cg'}",0.9072662048926419,0.906837687994684,0.9087481146304677,0.09125188536953245,0.9115996533566194,0.0884003466433807,0.9562714981883947,0.9437593211741817,0.9866810477104593,0.9420259719698194,0.8881279402103345,0.1595553052200647,0.02868331655635478,0.9787705277178961,0.021229472282103853,0.9791476309964838,0.0208523690035161,0.965471172255119,0.9652413088945112,0.9665500948991548,0.965471172255119,0.9428125989476553,0.9453736421765517,0.9437593211741817
