Logistic Regression Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'solver': 'liblinear'}",0.9180873414438484,0.8835093252457287,0.9428879310344828,0.05711206896551724,0.8318662640398291,0.16813373596017095,0.9650653587751485,0.9491722962279678,0.9885562734888036,0.9488833136549071,0.8573029930539949,0.15055379217927323,0.03644687987991613,0.9554566614214529,0.04454333857854707,0.986456273868769,0.013543726131231004,0.9531568937845848,0.9542870195917603,0.957341809718876,0.9531568937845848,0.9270909823021609,0.909161268954299,0.9491722962279678
"{'C': 10.0, 'solver': 'sag'}",0.9161115731500735,0.8849297479993505,0.9384236453201971,0.06157635467980295,0.8381836914051528,0.16181630859484725,0.963305866247657,0.9479523157101903,0.9886077889809171,0.9476297788488978,0.8588752651329459,0.15815061895605592,0.03621885984956025,0.9574809861001836,0.042519013899816424,0.9854575137089674,0.014542486291032636,0.9539738872486371,0.9550020349014686,0.9577124847660194,0.9539738872486371,0.9280752179820748,0.9118206025570601,0.9479523157101903
"{'C': 1.0, 'solver': 'sag'}",0.9146060968672244,0.8934118532607966,0.9298029556650247,0.07019704433497538,0.8615942999103108,0.13840570008968922,0.965542806583696,0.9471783923355284,0.988811630454021,0.9467023869863351,0.8691784342157787,0.12974622097592675,0.031082900322012937,0.9645538290060319,0.03544617099396799,0.9835971190036382,0.016402880996361793,0.9580857293539002,0.9587691541086975,0.9606128984952034,0.9580857293539002,0.9336540251496315,0.9225957094569746,0.9471783923355284
"{'C': 100.0, 'solver': 'sag'}",0.9145169681551653,0.8811715111019531,0.9384236453201971,0.06157635467980295,0.8313286296312269,0.1686713703687731,0.9630017953914243,0.946940153370825,0.988448175737915,0.9466263824653718,0.8543353364843349,0.16334720809486908,0.037096361338889425,0.9554566614214529,0.04454333857854707,0.9854318248329563,0.014568175167043673,0.9523290792150484,0.9534448040829779,0.9564076309450625,0.9523290792150484,0.9256711982148241,0.9083802272320917,0.946940153370825
"{'C': 10.0, 'solver': 'liblinear'}",0.9123945650167847,0.8822641123608181,0.9339593596059114,0.06604064039408866,0.8371534024166851,0.16284659758331482,0.9641068507699733,0.9457242706762837,0.9881009003583798,0.9453208123612225,0.8556607078001626,0.1713281431971035,0.03630571707588491,0.9574891817466562,0.04251081825334381,0.9844830982536908,0.01551690174630918,0.9531568937845849,0.9541356766550766,0.9567465443638274,0.9531568937845849,0.9265062886768682,0.910818250335188,0.9457242706762837
"{'C': 10.0, 'solver': 'lbfgs'}",0.9062643989786183,0.8923950495737937,0.916564039408867,0.083435960591133,0.8729321177318953,0.12706788226810473,0.9654338383990412,0.9420751288048793,0.9883338303205653,0.9413810660573627,0.8682329057213145,0.16466150633598395,0.03161944224854296,0.9675862182008917,0.03241378179910831,0.9806408559761534,0.019359144023846628,0.9580749082484161,0.9586235213031435,0.960345031675408,0.9580749082484161,0.9331680596784782,0.9267864868540243,0.9420751288048793
"{'C': 100.0, 'solver': 'liblinear'}",0.9024014061445971,0.876864325939215,0.9207204433497537,0.0792795566502463,0.8387781245807219,0.16122187541927818,0.9627249816990522,0.9396129426295057,0.9875277198564931,0.9389905031932178,0.8489758282049555,0.20532569050441585,0.037138779966750614,0.9585054419092578,0.04149455809074218,0.9814926949797425,0.01850730502025759,0.9515067107939958,0.9523535095033322,0.954630893186134,0.9515067107939958,0.9233274622523944,0.9101354097802321,0.9396129426295057
"{'C': 100.0, 'solver': 'newton-cg'}",0.902181015298154,0.8825509996769649,0.9164100985221675,0.0835899014778325,0.8537808302084275,0.14621916979157254,0.9614453596625756,0.9394902905409159,0.9877458330587994,0.9388174673108158,0.8559731238770335,0.18596833145311392,0.036545366956802626,0.9625704825596643,0.03742951744033568,0.980542809449195,0.019457190550804984,0.9539900833111217,0.9547036286275783,0.9566826078519853,0.9539900833111217,0.9269610362639015,0.9171618198288112,0.9394902905409159
"{'C': 1.0, 'solver': 'newton-cg'}",0.9012140441199844,0.904802862975272,0.8991687192118227,0.10083128078817734,0.9121772613960114,0.0878227386039886,0.9631400956731,0.9394586383890218,0.9873065686128218,0.9381777555789911,0.8837670328161559,0.13403661328369953,0.028897586258699696,0.9797485575662208,0.020251442433779174,0.9769417248461598,0.023058275153840166,0.9646593017653209,0.9644918749421867,0.9647348623720831,0.9646593017653209,0.9415487867959766,0.9445594931210856,0.9394586383890218
"{'C': 10.0, 'solver': 'newton-cg'}",0.9002831952917161,0.8964579304036624,0.9036330049261083,0.09636699507389163,0.8931083619517561,0.10689163804824384,0.9567178291043932,0.938658392051305,0.9866611311736231,0.9375321085913941,0.8735817699988948,0.15024320100324912,0.03117076338636227,0.9736837791765014,0.02631622082349855,0.9778080275826178,0.022191972417382272,0.960558280765542,0.9607435721010695,0.9618530121900839,0.960558280765542,0.9360405977727932,0.935458194767187,0.938658392051305
"{'C': 1.0, 'solver': 'lbfgs'}",0.8967073723242569,0.9003904453577973,0.8948583743842364,0.10514162561576354,0.9090349002849003,0.09096509971509971,0.9632798437909775,0.9367953358939278,0.9874880032692152,0.935273121565579,0.878864131048568,0.1324387026057353,0.028884188464726776,0.9787322974036192,0.02126770259638079,0.9760020600296717,0.023997939970328272,0.9630145649232157,0.96282662432814,0.9633749462888577,0.9630145649232157,0.9388338057009453,0.942518480157286,0.9367953358939278
"{'C': 1.0, 'solver': 'newton-cholesky'}",0.8956309297711904,0.9039381455405278,0.8905480295566502,0.10945197044334974,0.9196660688848188,0.08033393111518111,0.9624547278012803,0.9361604559008009,0.9871983598371659,0.9345509016126421,0.8831765048947201,0.13743517392867532,0.029252176326092852,0.9817728822449514,0.018227117755048525,0.9750460577673692,0.024953942232630782,0.9646647479138047,0.964358308444411,0.9646002679447243,0.9646647479138047,0.9411408007423037,0.947356063326094,0.9361604559008009
"{'C': 10.0, 'solver': 'newton-cholesky'}",0.8948209323966172,0.902255597302767,0.8905480295566502,0.10945197044334974,0.9176732951934564,0.08232670480654351,0.9563508036450964,0.9356605214659727,0.9859301945702994,0.9340702851318523,0.8814664086436463,0.16294087670651622,0.029562826872108344,0.9807730133752951,0.019226986624704956,0.9750398901660312,0.02496010983396882,0.9638477544497525,0.9636052511827726,0.9642252413785217,0.9638477544497525,0.9400318044484915,0.9463565926797439,0.9356605214659727
"{'C': 100.0, 'solver': 'lbfgs'}",0.8899649792079174,0.8320583429188183,0.9341133004926109,0.06588669950738914,0.7524356369618467,0.24756436303815335,0.955912180649278,0.9306310994988625,0.9863012393432372,0.9302739261445738,0.7960633299652013,0.37703903975288033,0.059302409930665996,0.9271488985051141,0.07285110149488594,0.9839745567502345,0.01602544324976557,0.9285178773205576,0.9315420262183859,0.9404293150716021,0.9285178773205576,0.8933068555638919,0.8682050968560405,0.9306310994988625
"{'C': 100.0, 'solver': 'newton-cholesky'}",0.8899649792079174,0.8320583429188183,0.9341133004926109,0.06588669950738914,0.7524356369618467,0.24756436303815335,0.955912180649278,0.9306310994988625,0.9863012393432372,0.9302739261445738,0.7960633299652013,0.3770388235553157,0.059302364788027896,0.9271488985051141,0.07285110149488594,0.9839745567502345,0.01602544324976557,0.9285178773205576,0.9315420262183859,0.9404293150716021,0.9285178773205576,0.8933068555638919,0.8682050968560405,0.9306310994988625
