Soft Majority Vote Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"(0.5125, 0.4875) & 0.425",0.9299033789274531,0.8990305135593889,0.9518840579710146,0.04811594202898548,0.8524578409012371,0.14754215909876287,0.9649205466885918,0.9567167815876709,0.9860437078799471,0.9566153134242648,0.8763928786567572,0.1335216520876754,0.0318768633733934,0.9615495052043276,0.03845049479567244,0.9886000302600276,0.011399969739972437,0.9597449908925318,0.9605950589241559,0.9629825831509086,0.9597449908925318,0.9369435959850998,0.9205289355806323,0.9567167815876709
"(0.6, 0.4) & 0.5",0.9294704885240502,0.904183352108884,0.9474396135265701,0.052560386473429935,0.8659055236532677,0.13409447634673227,0.9632444174930208,0.9565147613856508,0.98564376693193,0.9563185858849346,0.8826242821931704,0.1450921137496018,0.03587302404143077,0.9655899092447315,0.03441009075526842,0.9876641165544437,0.012335883445556185,0.9622073804223167,0.9628591511360224,0.9647322822833548,0.9622073804223167,0.9403184573241121,0.9267848201038558,0.9565147613856508
"(0.5625, 0.4375) & 0.4875",0.9291348935227035,0.9094846474569976,0.9430917874396135,0.05690821256038647,0.8797065869683817,0.1202934130316184,0.9640445951727588,0.9563636140705221,0.9858430401268627,0.9560833849731545,0.8890535884915798,0.13995575869933619,0.03407329980298024,0.9696354407014305,0.03036455929856945,0.9867120163643717,0.013287983635628331,0.9646663968157594,0.9651457245989032,0.9665644810277765,0.9646663968157594,0.9437624392234966,0.9332093016663766,0.9563636140705221
"(0.5, 0.5) & 0.4125",0.9291122675038042,0.897248335341567,0.9518840579710146,0.04811594202898548,0.8494275378709342,0.1505724621290659,0.9649593001251382,0.9562117310826205,0.9860435964143754,0.9561033493924015,0.8743022411338401,0.1319811982990963,0.0313640392460587,0.9605394041942266,0.039460595805773456,0.9885944607807738,0.011405539219226135,0.9589253187613844,0.9598288989378132,0.9624067770185881,0.9589253187613844,0.935787449202836,0.919010999325854,0.9562117310826205
"(0.45, 0.55) & 0.3875",0.9290901831926069,0.8971764198966392,0.9518840579710146,0.04811594202898548,0.8492418020381395,0.15075819796186055,0.9654212150371724,0.9562117310826205,0.9861537243991447,0.9561050472472952,0.8742135734850107,0.12607106626426473,0.029457882656967898,0.9605394041942266,0.03946059580577348,0.9885946277056176,0.01140537229438241,0.9589219456250422,0.9598220547175111,0.9623832925774896,0.9589219456250422,0.9357528364999851,0.9189182148718785,0.9562117310826205
"(0.475, 0.525) & 0.4",0.9290901831926069,0.8971764198966392,0.9518840579710146,0.04811594202898548,0.8492418020381395,0.15075819796186055,0.9651759997960587,0.9562117310826205,0.9860873602748097,0.9561050472472952,0.8742135734850107,0.12897697000103148,0.030381932967463693,0.9605394041942266,0.03946059580577348,0.9885946277056176,0.01140537229438241,0.9589219456250422,0.9598220547175111,0.9623832925774896,0.9589219456250422,0.9357528364999851,0.9189182148718785,0.9562117310826205
"(0.4875, 0.5125) & 0.4125",0.9290901831926069,0.8971764198966392,0.9518840579710146,0.04811594202898548,0.8492418020381395,0.15075819796186055,0.9650460253795323,0.9562117310826205,0.9860656665975579,0.9561050472472952,0.8742135734850107,0.13046651305041998,0.030865729110748797,0.9605394041942266,0.03946059580577348,0.9885946277056176,0.01140537229438241,0.9589219456250422,0.9598220547175111,0.9623832925774896,0.9589219456250422,0.9357528364999851,0.9189182148718785,0.9562117310826205
"(0.375, 0.625) & 0.475",0.9289987266528149,0.9278322811069064,0.9300483091787439,0.06995169082125603,0.9269660139080911,0.07303398609190895,0.9659212675015029,0.9564203500464812,0.9868959290543928,0.9558248350100984,0.9116526271468016,0.11790674498152524,0.02703406753407574,0.9827923909142184,0.017207609085781672,0.9838874870833634,0.016112512916636623,0.9728833569452877,0.9728606773288184,0.9731560591524291,0.9728833569452877,0.9555665059689906,0.9554267504957272,0.9564203500464812
"(0.45, 0.55) & 0.4",0.9287298300473275,0.9022133675201829,0.9475362318840579,0.05246376811594202,0.8619771980805415,0.13802280191945845,0.9654212150371724,0.9560605837674917,0.9861537243991447,0.9558904536752226,0.8801714744976156,0.12607106626426473,0.029457882656967898,0.9645849356509256,0.03541506434907449,0.9876328839820647,0.012367116017935276,0.9613809620184848,0.9620740674457189,0.9640067613457886,0.9613809620184848,0.9390740565978671,0.9248050410313031,0.9560605837674917
"(0.6125, 0.3875) & 0.5",0.9286885281676218,0.9023362730710833,0.9474396135265701,0.052560386473429935,0.8625329746336599,0.13746702536634012,0.9628567993104895,0.9560097108806003,0.9855553326244124,0.9558207621477098,0.8803817970162566,0.14686917532289553,0.03650196010496389,0.9645798082346306,0.03542019176536944,0.987648091769443,0.012351908230557007,0.961387708291169,0.9620852656840967,0.9640834701426494,0.961387708291169,0.9391326389806386,0.9250905332015515,0.9560097108806003
