Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9130729393543391,0.9074343751166871,0.9170099160945843,0.08299008390541573,0.8987119437939111,0.101288056206089,0.9627431610937751,0.9463592090594379,0.9899986720894827,0.9458825881901246,0.8859350365181032,0.15628968667480767,0.03151249070420528,0.9757085020242915,0.02429149797570851,0.9806791084321389,0.019320891567861154,0.9646719168611184,0.9648512586681783,0.9652351074461833,0.9646719168611184,0.9428006830638574,0.9396955261130249,0.9463592090594379
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9107069036792064,0.8893209007741028,0.9257437070938215,0.07425629290617852,0.8564537157757497,0.14354628422425036,0.9559042613036427,0.9446532300651294,0.9874610505316274,0.944435324565706,0.8636301248632442,0.20527040824402726,0.03856749616768703,0.9635627530364372,0.036437246963562764,0.982465595841677,0.017534404158323025,0.9564563348025235,0.9571584743829963,0.9587314881465319,0.9564563348025235,0.9311059629665348,0.9194596558087132,0.9446532300651294
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.9103641248019443,0.8945382680560545,0.921395881006865,0.07860411899313502,0.869909041542221,0.13009095845777902,0.9555786536365402,0.9445036085196268,0.9876502777803513,0.94420704456823,0.8699118402587543,0.2350290727197008,0.038120172218967074,0.9676113360323886,0.032388663967611364,0.981517558951523,0.018482441048476905,0.9589220897070261,0.9594361764297332,0.9604931136352468,0.9589220897070261,0.9345137138837117,0.925713300246872,0.9445036085196268
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.9087573385518591,0.9105984415185597,0.9081617086193745,0.09183829138062549,0.9162531017369727,0.08374689826302728,0.9653071863026264,0.9439593968198088,0.9900057748666685,0.9430253921003493,0.8910645038093694,0.15312507397414232,0.0294493503229559,0.979757085020243,0.020242914979757054,0.9788946162657504,0.021105383734249694,0.966313952985913,0.966317351916882,0.9670728857353206,0.966313952985913,0.9449168625802047,0.9475738590013616,0.9439593968198088
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9087573385518591,0.9105984415185597,0.9081617086193745,0.09183829138062549,0.9162531017369727,0.08374689826302728,0.9649932838576833,0.9439593968198088,0.9892416086863877,0.9430253921003493,0.8910645038093694,0.17841375858268765,0.029908472169341595,0.979757085020243,0.020242914979757054,0.9788946162657504,0.021105383734249694,0.966313952985913,0.966317351916882,0.9670728857353206,0.966313952985913,0.9449168625802047,0.9475738590013616,0.9439593968198088
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.9085903410608804,0.8905979859192585,0.9213196033562167,0.07868039664378335,0.8632107023411372,0.13678929765886283,0.954797043149506,0.9434533239453148,0.9870752616446943,0.943088850239982,0.8653748592046153,0.23266395504612367,0.03714643692100182,0.965587044534413,0.034412955465587036,0.9815369240346056,0.018463075965394427,0.9572760025062657,0.9578530550091884,0.9592476160017259,0.9572760025062657,0.9320220764988769,0.9223738131878714,0.9434533239453148
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9072327802431024,0.8995075350834969,0.9126620900076277,0.08733790999237229,0.8876728110599079,0.11232718894009214,0.9621873715526251,0.9426670773924779,0.9897340936393086,0.942172850037639,0.876125605938451,0.1630100549448828,0.03240803577483414,0.9726720647773279,0.027327935222672073,0.9796100764881942,0.020389923511805796,0.9613878446115288,0.9616761537475446,0.9622833799507499,0.9613878446115288,0.9378027971638118,0.933641443774051,0.9426670773924779
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9071411012782694,0.9120998582881992,0.9039282990083906,0.09607170099160944,0.920752926289149,0.07924707371085099,0.9640474274733373,0.9428548377633046,0.989970801409438,0.9420457308996864,0.8920712009482614,0.12402998750895056,0.028146443093724542,0.9817813765182186,0.018218623481781382,0.9778217692992476,0.02217823070075242,0.9671363214069657,0.9670460961635201,0.9670672373260754,0.9671363214069657,0.9459442348769346,0.9492873477941983,0.9428548377633046
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.906358798177942,0.9101592701407144,0.9039282990083906,0.09607170099160944,0.9169215086646278,0.0830784913353721,0.9643556433384484,0.9423487648888107,0.9902349938391128,0.9415582628043607,0.8896310152998252,0.12540346296063332,0.028625061233152616,0.9807692307692308,0.019230769230769218,0.9777990941232058,0.02220090587679424,0.9663153033445684,0.9662587196646578,0.9663253414906326,0.9663153033445684,0.9447144826545623,0.9473603013939168,0.9423487648888107
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.9035506746774352,0.9095161981989006,0.8996186117467582,0.10038138825324183,0.9196428571428572,0.08035714285714285,0.9622626282020029,0.9406999941324884,0.989277663001016,0.9397855772586029,0.8889086171078586,0.11968399761056958,0.02887056729672069,0.9817813765182186,0.018218623481781382,0.97684088401376,0.023159115986239986,0.966313952985913,0.9661672088554316,0.9660741422121105,0.966313952985913,0.9444104245741773,0.9482418705783086,0.9406999941324884
