Perceptron Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.8990732431816326,0.8923861766504373,0.903961352657005,0.09603864734299519,0.8829146459693961,0.11708535403060394,0.9510373849951634,0.937816188813761,0.9819130068184728,0.9370176789586229,0.8678143298502533,0.25683503364532456,0.03684887781763693,0.9716710249705173,0.028328975029482662,0.9776751372341174,0.02232486276588259,0.9589219456250422,0.9591329390347086,0.9598472094890107,0.9589219456250422,0.9334969650203586,0.9302948916017566,0.937816188813761
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8974325425082146,0.8950069277755011,0.8993236714975845,0.10067632850241545,0.8920505532967539,0.1079494467032461,0.9536930107433619,0.9370099360410549,0.9838122922250783,0.9359241400294765,0.8712402408164406,0.24206157392808264,0.035135735207023545,0.9746962005845254,0.02530379941547454,0.9767999575386399,0.023200042461360114,0.960554543614653,0.9605351984137135,0.9608365512928334,0.960554543614653,0.9353574299484118,0.9344252554176968,0.9370099360410549
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8958579450984395,0.8910917322632095,0.8993236714975845,0.10067632850241545,0.8842505216561907,0.1157494783438093,0.9543802413823903,0.9359972713228064,0.9842674222546215,0.9349511289202683,0.8663036212225981,0.24243340418672749,0.03527500797193671,0.9726708711480285,0.027329128851971494,0.9767544484779925,0.023245551522007447,0.9589084530796734,0.9589582912829815,0.959340282274816,0.9589084530796734,0.932880648324599,0.9305024850670914,0.9359972713228064
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.8954547574392532,0.8898431641074247,0.8996135265700482,0.1003864734299517,0.8821140938644962,0.11788590613550387,0.9496004262333362,0.9356397120621354,0.9811190103046206,0.9346816834945704,0.8647600919516503,0.2653992289581753,0.0376436103372123,0.9716658975542224,0.028334102445777564,0.9767006220236751,0.0232993779763248,0.9580989003575524,0.9582494308548031,0.9588894081051655,0.9580989003575524,0.9319812251784946,0.9294073579440857,0.9356397120621354
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8936686568616958,0.8983937431671011,0.8907246376811594,0.10927536231884058,0.9071458664355531,0.09285413356444702,0.9527805328165491,0.9347357485693394,0.9838193009325209,0.9335304877814856,0.8755834192730058,0.19925736230420377,0.03227376773785855,0.9787468594575193,0.021253140542480665,0.9748669937028147,0.0251330062971854,0.9622006341496323,0.9620353386872672,0.9621225327404217,0.9622006341496323,0.9375854750834247,0.9410064300691838,0.9347357485693394
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8936686568616958,0.8983937431671011,0.8907246376811594,0.10927536231884058,0.9071458664355531,0.09285413356444702,0.9492761366823774,0.9347357485693394,0.9837433098983162,0.9335304877814856,0.8755834192730058,0.19836355979938422,0.0323417771973152,0.9787468594575193,0.021253140542480665,0.9748669937028147,0.0251330062971854,0.9622006341496323,0.9620353386872672,0.9621225327404217,0.9622006341496323,0.9375854750834247,0.9410064300691838,0.9347357485693394
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.8925964881912017,0.8890801820305263,0.8951690821256039,0.10483091787439616,0.8841092968277531,0.11589070317224699,0.946746608313106,0.9339225403449636,0.9817786573649887,0.9328963929841102,0.8636811478645778,0.3908783019163726,0.03955928945422917,0.9726759985643234,0.027324001435676572,0.975724671825432,0.024275328174568078,0.9580989003575524,0.958158052890815,0.9584842491901696,0.9580989003575524,0.931623155329141,0.9299169843265924,0.9339225403449636
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.8917659545750396,0.8873116498722414,0.895072463768116,0.10492753623188407,0.8811696769481937,0.1188303230518063,0.947292731221466,0.9333691806611691,0.9796095212405078,0.9323816991908618,0.8615808419336929,0.36019754506311574,0.040474524328308656,0.9716658975542224,0.02833410244577759,0.9757083329645916,0.024291667035408394,0.9572792282264049,0.9574029555644387,0.9579153787881367,0.9572792282264049,0.9304739214763724,0.9284390049563926,0.9333691806611691
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8914598477935588,0.8997376808439362,0.886280193236715,0.11371980676328504,0.9150127085121781,0.08498729148782173,0.9534644636866224,0.9335287547735132,0.9850621222400815,0.9320663946566963,0.8777541864068477,0.1750203467105203,0.032583071342271466,0.9807773163103113,0.01922268368968878,0.9739772200714121,0.02602277992858797,0.9630270525534643,0.9627472441896607,0.9628877769355046,0.9630270525534643,0.9385334418046052,0.9444949642917951,0.9335287547735132
"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8914598477935588,0.8997376808439362,0.886280193236715,0.11371980676328504,0.9150127085121781,0.08498729148782173,0.9533936899892874,0.9335287547735132,0.985061634268579,0.9320663946566963,0.8777541864068477,0.17462911885786417,0.032556834509785915,0.9807773163103113,0.01922268368968878,0.9739772200714121,0.02602277992858797,0.9630270525534643,0.9627472441896607,0.9628877769355046,0.9630270525534643,0.9385334418046052,0.9444949642917951,0.9335287547735132
"{'hidden_layer_sizes': (512, 256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.8912335613054221,0.8924902847256788,0.8906280193236714,0.10937198067632851,0.8955189651618223,0.10448103483817772,0.9426600409566269,0.9331671604591489,0.9794420281185529,0.9319780622590745,0.8681635921452779,0.34554423185903727,0.037960573784547834,0.9757063015946266,0.024293698405373522,0.9748103233236112,0.025189676676388894,0.9597382446198475,0.9596700575253495,0.9598755287150388,0.9597382446198475,0.9338574231453134,0.9351646442427167,0.9331671604591489
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8892491916323062,0.8939883871117275,0.886280193236715,0.11371980676328504,0.9026872983773894,0.09731270162261063,0.9550578205051747,0.9320084758420666,0.9831142576603475,0.9307325419081766,0.870135483831157,0.18279505762674994,0.032929214808400865,0.9777367584474183,0.02226324155258168,0.9738568926927135,0.026143107307286417,0.9605612898873372,0.9603956241056775,0.9604600759805132,0.9605612898873372,0.93487897742936,0.9382720955350516,0.9320084758420666
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.001}",0.8884686201424877,0.8919018294332618,0.886376811594203,0.1136231884057971,0.8984211817521077,0.10157881824789239,0.9539291422938785,0.9315491708076127,0.9839381616255742,0.930230571114623,0.8675452264564779,0.21958051446877097,0.035243577229758606,0.9767215300210225,0.0232784699789776,0.973857488525623,0.026142511474377007,0.9597416177561897,0.9595810704997513,0.9596547451489956,0.9597416177561897,0.9335812563345385,0.9361393351388653,0.9315491708076127
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.8884686201424877,0.8919018294332618,0.886376811594203,0.1136231884057971,0.8984211817521077,0.10157881824789239,0.9538175674931821,0.9315491708076127,0.9837491568868012,0.930230571114623,0.8675452264564779,0.22214102816362571,0.0355598730778994,0.9767215300210225,0.0232784699789776,0.973857488525623,0.026142511474377007,0.9597416177561897,0.9595810704997513,0.9596547451489956,0.9597416177561897,0.9335812563345385,0.9361393351388653,0.9315491708076127
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.8862901326963735,0.8863953975600113,0.8864734299516908,0.1135265700483092,0.8876133786848073,0.11238662131519277,0.9447906323735692,0.9300823284712051,0.9806719999227174,0.9288951770596663,0.8605816319165044,0.3122634141394617,0.03808092926172388,0.9736912269907192,0.02630877300928065,0.9737593457448916,0.026240654255108287,0.957279228226405,0.9572635628407881,0.9575537762377774,0.957279228226405,0.9300416270237418,0.9306863622148495,0.9300823284712051
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001, 'alpha': 0.0001}",0.885498834940773,0.8913687666893804,0.8818357487922706,0.11816425120772948,0.9022227223030572,0.0977772776969428,0.9549416358782279,0.9297862536198445,0.9830922989427368,0.9283228804532445,0.8671536845999513,0.18301927718549252,0.03297869001743444,0.9777367584474183,0.02226324155258168,0.9729012747428589,0.02709872525714112,0.9597382446198475,0.9595143335884042,0.9595953917113109,0.9597382446198475,0.933326059448763,0.937561998522958,0.9297862536198445
"{'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.8820361323948637,0.8834438616286218,0.8819323671497585,0.11806763285024154,0.8893061725508534,0.1106938274491466,0.9439566520919384,0.9278092333620915,0.9804010791353541,0.9260562442320722,0.8583108503143159,0.35092539690117297,0.04014949765735233,0.9736860995744244,0.026313900425575576,0.9729644605730142,0.027035539426985798,0.956449436686231,0.9563188390549249,0.9572098059573223,0.956449436686231,0.9283229807581691,0.9311353165619337,0.9278092333620915
"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.8796486374796029,0.883205185915315,0.8777777777777779,0.12222222222222223,0.891412700187644,0.108587299812356,0.9446192822790558,0.9262421165974466,0.9806601424629087,0.9246130482623451,0.8574812635939608,0.3113639602538115,0.03815056148145017,0.9747064554171153,0.025293544582884686,0.97189643383999,0.02810356616001013,0.9564561829589152,0.9562880164004431,0.9567629023373287,0.9564561829589152,0.9282172948495513,0.931654567013817,0.9262421165974466
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.0001}",0.8794764394949658,0.8828008776904956,0.8775845410628019,0.12241545893719807,0.8897264688267296,0.1102735311732704,0.9462745667846855,0.9261403708236637,0.9796705808421399,0.9244900492328247,0.8566973327104626,0.3047997494388628,0.03942038159677648,0.9746962005845254,0.02530379941547456,0.9718849066496477,0.02811509335035236,0.9564426904135466,0.9562337184103855,0.9564254805992816,0.9564426904135466,0.9280216942857141,0.9308056877381887,0.9261403708236637
"{'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': 0.01, 'alpha': 0.001}",0.8759487757011843,0.880733474447576,0.8733333333333334,0.12666666666666665,0.8912621799004778,0.10873782009952224,0.9475423046920703,0.9240173306670769,0.9811667757790762,0.922249804866414,0.854650445794249,0.3174293388082101,0.03990924548220119,0.9747013280008204,0.025298671999179633,0.9709312186585626,0.029068781341437533,0.9556297645550833,0.9554246714889976,0.9559469814524533,0.9556297645550833,0.9267331206756184,0.9310966992795201,0.9240173306670769
