Support Vector Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 10.0, 'gamma': 0.001}",0.9134799179126357,0.9281621126465024,0.9040214171793118,0.0959785828206881,0.9540532081377151,0.04594679186228486,0.9706819459390029,0.9469524628160119,0.9922319173483346,0.9459020198510507,0.9127264678120527,0.08969790264116216,0.023960693495076915,0.9898835084527118,0.010116491547288145,0.9780138518144433,0.02198614818555659,0.9736989514767292,0.9734048278700501,0.9735166991105965,0.9736989514767292,0.9560322562005218,0.9660335299760793,0.9469524628160119
"{'C': 100.0, 'gamma': 0.001}",0.9134799179126357,0.9281621126465024,0.9040214171793118,0.0959785828206881,0.9540532081377151,0.04594679186228486,0.9705157832382434,0.9469524628160119,0.9921721929796217,0.9459020198510507,0.9127264678120527,0.08983616507002141,0.023994373018500808,0.9898835084527118,0.010116491547288145,0.9780138518144433,0.02198614818555659,0.9736989514767292,0.9734048278700501,0.9735166991105965,0.9736989514767292,0.9560322562005218,0.9660335299760793,0.9469524628160119
"{'C': 10.0, 'gamma': 'auto'}",0.9069971837771161,0.9253379297831806,0.8953064479380268,0.10469355206197313,0.9582746721877157,0.04172532781228433,0.9705923275577558,0.9431031082766701,0.992310259594157,0.9417602500004084,0.9098584898729648,0.09359961364293713,0.023933690430085492,0.9908997686153134,0.009100231384686519,0.9761040608774829,0.023895939122517085,0.9728759062092395,0.9724876450199695,0.972770702369426,0.9728759062092395,0.9543824250671341,0.9671893665325992,0.9431031082766701
"{'C': 10.0, 'gamma': 'scale'}",0.9069971837771161,0.9253379297831806,0.8953064479380268,0.10469355206197313,0.9582746721877157,0.04172532781228433,0.9705923275577558,0.9431031082766701,0.992310259594157,0.9417602500004084,0.9098584898729648,0.09359959591947509,0.023933701264672046,0.9908997686153134,0.009100231384686519,0.9761040608774829,0.023895939122517085,0.9728759062092395,0.9724876450199695,0.972770702369426,0.9728759062092395,0.9543824250671341,0.9671893665325992,0.9431031082766701
"{'C': 100.0, 'gamma': 'auto'}",0.9069971837771161,0.9253379297831806,0.8953064479380268,0.10469355206197313,0.9582746721877157,0.04172532781228433,0.9705923275577558,0.9431031082766701,0.992310259594157,0.9417602500004084,0.9098584898729648,0.09360029268859453,0.023934164288487048,0.9908997686153134,0.009100231384686519,0.9761040608774829,0.023895939122517085,0.9728759062092395,0.9724876450199695,0.972770702369426,0.9728759062092395,0.9543824250671341,0.9671893665325992,0.9431031082766701
"{'C': 100.0, 'gamma': 'scale'}",0.9069971837771161,0.9253379297831806,0.8953064479380268,0.10469355206197313,0.9582746721877157,0.04172532781228433,0.9705923275577558,0.9431031082766701,0.992310259594157,0.9417602500004084,0.9098584898729648,0.09360030088322525,0.023934161311174273,0.9908997686153134,0.009100231384686519,0.9761040608774829,0.023895939122517085,0.9728759062092395,0.9724876450199695,0.972770702369426,0.9728759062092395,0.9543824250671341,0.9671893665325992,0.9431031082766701
"{'C': 100.0, 'gamma': 1e-05}",0.9059241519011304,0.8901284863786483,0.9171223513328776,0.08287764866712237,0.8662225372076541,0.1337774627923458,0.9547146139962489,0.9418774367921167,0.9876199761280738,0.9414588772784285,0.8648284442124062,0.10933835585925812,0.030027845098838754,0.966632522251356,0.03336747774864409,0.9805320283581153,0.019467971641884702,0.957278490611824,0.9578080505615846,0.959081321432076,0.957278490611824,0.9318044196168209,0.9233772827828847,0.9418774367921167
"{'C': 10.0, 'gamma': 0.0001}",0.9051441549771745,0.8883136971242456,0.9171223513328776,0.08287764866712237,0.8629849631082469,0.137015036891753,0.9580391996433383,0.9413739121194077,0.9884115752332536,0.9409611741057144,0.8626461781652369,0.10562492031435133,0.028849944729385957,0.965625472905938,0.034374527094062,0.9805159037991219,0.019484096200878025,0.9564594897928232,0.9570412921397532,0.9584636485559538,0.9564594897928232,0.9306339635177906,0.9217504334536845,0.9413739121194077
"{'C': 1.0, 'gamma': 0.001}",0.9047028566179848,0.9058256719462715,0.9040214171793118,0.0959785828206881,0.9079707237601974,0.09202927623980255,0.963849630377557,0.9413845704891397,0.9894846556845481,0.9405710162269543,0.8842033160097706,0.09890407477999023,0.026722735878732223,0.9787477237989674,0.021252276201032722,0.9777653299540553,0.022234670045944704,0.9646575868798091,0.9646119759445483,0.964646629807722,0.9646575868798091,0.9420362213319519,0.9428680268571265,0.9413845704891397
"{'C': 1.0, 'gamma': 'auto'}",0.9018940296403604,0.9053578356889614,0.8996924128503077,0.10030758714969241,0.9115770987003864,0.08842290129961365,0.9650627453716597,0.939726653937606,0.9898567528199825,0.9387651752314587,0.8838414602244306,0.09670048249767939,0.026089455254645188,0.9797608950249045,0.02023910497509555,0.9768131751469357,0.023186824853064298,0.9646575868798091,0.9645393236838512,0.9645514002946328,0.9646575868798091,0.9418145840666416,0.944195136923661,0.939726653937606
