Support Vector Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'gamma': 0.0001}",0.8976866522257932,0.8762598219875608,0.912736386420597,0.08726361357940308,0.8432697050671947,0.1567302949328053,0.9482497148919315,0.936637190320099,0.9794994943345623,0.9362183437586983,0.8474938067303865,0.12230436841410286,0.032451741626155016,0.960537994219601,0.039462005780399045,0.9793974402806005,0.020602559719399505,0.951517173739396,0.9522316786562316,0.9537915387928515,0.951517173739396,0.9230546499938703,0.9113335726738976,0.936637190320099
"{'C': 10.0, 'gamma': 1e-05}",0.896907485267698,0.874365114185878,0.912736386420597,0.08726361357940308,0.83964807719597,0.1603519228040301,0.9480320700664784,0.9361321491754625,0.979699846564663,0.9357324539211574,0.8451419106113925,0.12245679616560173,0.03245722628124811,0.9595279119303282,0.040472088069671765,0.9793724279835391,0.02062757201646089,0.9506941284719064,0.9514546486731255,0.9531000932797206,0.9506941284719064,0.9218458938508723,0.9095102525897545,0.9361321491754625
"{'C': 10.0, 'gamma': 0.0001}",0.88878528341852,0.8922910216718266,0.8865345181134655,0.11346548188653453,0.8984970208834664,0.10150297911653357,0.9549088715693678,0.9316310106705389,0.9836908037269799,0.9304930981517768,0.8676995409008433,0.11014666105621039,0.02937342810154539,0.9767275032276123,0.023272496772387814,0.973770591253288,0.026229408746712018,0.9597314486203375,0.9596266252064326,0.9596277387253663,0.9597314486203375,0.9337636880185801,0.9361338060683773,0.9316310106705389
"{'C': 100.0, 'gamma': 1e-05}",0.8848844938769078,0.8825166172864165,0.8865345181134655,0.11346548188653453,0.8788507132810931,0.12114928671890701,0.9516390967306655,0.9290980546092911,0.9830163063049633,0.9280396711071969,0.8552925892413136,0.11430784392205358,0.030635422680730245,0.9716615911051166,0.02833840889488337,0.9736388272973638,0.02636117270263612,0.955616222282889,0.9556755254845815,0.9558179723811091,0.955616222282889,0.9275781663660864,0.9262447702892285,0.9290980546092911
"{'C': 1.0, 'gamma': 1e-05}",0.8804429268249407,0.8202941035379606,0.9258373205741627,0.07416267942583732,0.7367368081653796,0.2632631918346204,0.9357792577202927,0.9244498876263246,0.9755675635508467,0.9243632995096348,0.7808975104573571,0.13871170147291947,0.03699508385819584,0.9230624546784867,0.07693754532151331,0.9817074838372951,0.018292516162704997,0.9235700346811457,0.9267569176608682,0.9355908403204283,0.9235700346811457,0.8858748145970093,0.8592221460013373,0.9244498876263246
"{'C': 1.0, 'gamma': 'auto'}",0.8804058974286227,0.8982293551829975,0.8690476190476191,0.13095238095238096,0.9302513117923227,0.06974868820767743,0.9559393228525358,0.9269356686291773,0.9837908543940249,0.924987821628454,0.8767012275518682,0.11019085089110343,0.029371719335112484,0.9848237182107357,0.015176281789264409,0.9701244074362446,0.02987559256375527,0.9630155407933185,0.9624943521494044,0.9626293034780145,0.9630155407933185,0.9378145023496138,0.9501878596142838,0.9269356686291773
"{'C': 1.0, 'gamma': 'scale'}",0.8804058974286227,0.8982293551829975,0.8690476190476191,0.13095238095238096,0.9302513117923227,0.06974868820767743,0.9559393228525358,0.9269356686291773,0.9837908543940249,0.924987821628454,0.8767012275518682,0.11019085104581562,0.029371719355136706,0.9848237182107357,0.015176281789264409,0.9701244074362446,0.02987559256375527,0.9630155407933185,0.9624943521494044,0.9626293034780145,0.9630155407933185,0.9378145023496138,0.9501878596142838,0.9269356686291773
"{'C': 100.0, 'gamma': 0.0001}",0.870138801173284,0.8853470626091754,0.8603896103896105,0.1396103896103896,0.9124121143180107,0.08758788568198932,0.9545137095406827,0.9205803218482987,0.9830317679111523,0.9185253560501992,0.8605008709143832,0.11216683141685714,0.02998246565410172,0.9807710333069869,0.019228966693013144,0.9680506452208516,0.03194935477914836,0.9580853580853582,0.9575964358110663,0.9575990188446329,0.9580853580853582,0.9298506059737358,0.9402313797694312,0.9205803218482987
"{'C': 10.0, 'gamma': 'auto'}",0.8681849897727055,0.8944229737333185,0.8516176805650489,0.14838231943495103,0.9423186355802686,0.05768136441973141,0.9577373172540099,0.9197389397548706,0.9845075977211349,0.9171279283294839,0.8733123783372099,0.1065214254482652,0.028248579628002896,0.9878601989446922,0.01213980105530769,0.9663519007075135,0.033648099292486355,0.9621965399743178,0.9614312714558135,0.9618383775338014,0.9621965399743178,0.9356992057970516,0.9543352681438911,0.9197389397548706
"{'C': 10.0, 'gamma': 'scale'}",0.8681849897727055,0.8944229737333185,0.8516176805650489,0.14838231943495103,0.9423186355802686,0.05768136441973141,0.9577373172540099,0.9197389397548706,0.9845075977211349,0.9171279283294839,0.8733123783372099,0.10652137765262448,0.028248570483232916,0.9878601989446922,0.01213980105530769,0.9663519007075135,0.033648099292486355,0.9621965399743178,0.9614312714558135,0.9618383775338014,0.9621965399743178,0.9356992057970516,0.9543352681438911,0.9197389397548706
"{'C': 100.0, 'gamma': 'auto'}",0.8681849897727055,0.8944229737333185,0.8516176805650489,0.14838231943495103,0.9423186355802686,0.05768136441973141,0.9577373172540099,0.9197389397548706,0.9845075977211349,0.9171279283294839,0.8733123783372099,0.1065214254482652,0.028248579628002896,0.9878601989446922,0.01213980105530769,0.9663519007075135,0.033648099292486355,0.9621965399743178,0.9614312714558135,0.9618383775338014,0.9621965399743178,0.9356992057970516,0.9543352681438911,0.9197389397548706
"{'C': 100.0, 'gamma': 'scale'}",0.8681849897727055,0.8944229737333185,0.8516176805650489,0.14838231943495103,0.9423186355802686,0.05768136441973141,0.9577373172540099,0.9197389397548706,0.9845075977211349,0.9171279283294839,0.8733123783372099,0.10652137765262448,0.028248570483232916,0.9878601989446922,0.01213980105530769,0.9663519007075135,0.033648099292486355,0.9621965399743178,0.9614312714558135,0.9618383775338014,0.9621965399743178,0.9356992057970516,0.9543352681438911,0.9197389397548706
