Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
All KNN,0.9 ± 0.006,0.839 ± 0.013,0.948 ± 0.008,0.052 ± 0.008,0.755 ± 0.025,0.245 ± 0.025,0.938 ± 0.008,0.937 ± 0.004,0.984 ± 0.002,0.937 ± 0.004,0.805 ± 0.015,0.219 ± 0.014,0.052 ± 0.005,0.926 ± 0.009,0.074 ± 0.009,0.987 ± 0.002,0.013 ± 0.002,0.93 ± 0.007,0.934 ± 0.006,0.944 ± 0.004,0.93 ± 0.007,0.897 ± 0.009,0.871 ± 0.012,0.937 ± 0.004
Neighbourhood Cleaning Rule,0.899 ± 0.005,0.882 ± 0.008,0.913 ± 0.004,0.087 ± 0.004,0.858 ± 0.017,0.142 ± 0.017,0.949 ± 0.005,0.938 ± 0.003,0.985 ± 0.001,0.937 ± 0.003,0.856 ± 0.011,0.129 ± 0.004,0.034 ± 0.002,0.963 ± 0.004,0.037 ± 0.004,0.98 ± 0.001,0.02 ± 0.001,0.954 ± 0.004,0.954 ± 0.003,0.957 ± 0.003,0.954 ± 0.004,0.927 ± 0.005,0.919 ± 0.009,0.938 ± 0.003
Edited Nearest Neighbours,0.899 ± 0.007,0.851 ± 0.014,0.935 ± 0.005,0.065 ± 0.005,0.784 ± 0.023,0.216 ± 0.023,0.938 ± 0.005,0.937 ± 0.005,0.984 ± 0.001,0.936 ± 0.005,0.819 ± 0.017,0.194 ± 0.008,0.045 ± 0.004,0.938 ± 0.008,0.062 ± 0.008,0.984 ± 0.001,0.016 ± 0.001,0.938 ± 0.007,0.94 ± 0.006,0.947 ± 0.005,0.938 ± 0.007,0.906 ± 0.009,0.884 ± 0.012,0.937 ± 0.005
Repeated Edited Nearest Neighbours,0.893 ± 0.004,0.818 ± 0.014,0.953 ± 0.008,0.047 ± 0.008,0.72 ± 0.028,0.28 ± 0.028,0.937 ± 0.01,0.932 ± 0.003,0.983 ± 0.002,0.931 ± 0.003,0.782 ± 0.016,0.252 ± 0.013,0.06 ± 0.005,0.911 ± 0.011,0.089 ± 0.011,0.988 ± 0.002,0.012 ± 0.002,0.919 ± 0.008,0.923 ± 0.007,0.938 ± 0.004,0.919 ± 0.008,0.883 ± 0.01,0.854 ± 0.013,0.932 ± 0.003
Cluster Centroids,0.887 ± 0.007,0.836 ± 0.007,0.926 ± 0.01,0.074 ± 0.01,0.765 ± 0.013,0.235 ± 0.013,0.945 ± 0.004,0.929 ± 0.004,0.983 ± 0.001,0.929 ± 0.004,0.801 ± 0.01,0.216 ± 0.007,0.063 ± 0.002,0.932 ± 0.004,0.068 ± 0.004,0.982 ± 0.002,0.018 ± 0.002,0.931 ± 0.003,0.934 ± 0.003,0.941 ± 0.003,0.931 ± 0.003,0.896 ± 0.005,0.874 ± 0.007,0.929 ± 0.004
Random Under Sampler,0.885 ± 0.008,0.824 ± 0.014,0.931 ± 0.007,0.069 ± 0.007,0.743 ± 0.023,0.257 ± 0.023,0.934 ± 0.008,0.927 ± 0.006,0.98 ± 0.002,0.927 ± 0.006,0.787 ± 0.017,0.189 ± 0.013,0.053 ± 0.004,0.923 ± 0.008,0.077 ± 0.008,0.983 ± 0.002,0.017 ± 0.002,0.925 ± 0.007,0.928 ± 0.006,0.938 ± 0.005,0.925 ± 0.007,0.888 ± 0.009,0.863 ± 0.012,0.927 ± 0.006
Baseline,0.881 ± 0.004,0.888 ± 0.007,0.877 ± 0.003,0.123 ± 0.003,0.905 ± 0.014,0.095 ± 0.014,0.953 ± 0.006,0.927 ± 0.003,0.986 ± 0.001,0.925 ± 0.002,0.865 ± 0.01,0.115 ± 0.006,0.032 ± 0.002,0.978 ± 0.003,0.022 ± 0.003,0.972 ± 0.001,0.028 ± 0.001,0.959 ± 0.003,0.958 ± 0.003,0.959 ± 0.003,0.959 ± 0.003,0.932 ± 0.004,0.939 ± 0.007,0.927 ± 0.003
Tomek Links,0.879 ± 0.006,0.885 ± 0.008,0.875 ± 0.007,0.125 ± 0.007,0.899 ± 0.013,0.101 ± 0.013,0.952 ± 0.006,0.926 ± 0.004,0.986 ± 0.001,0.924 ± 0.004,0.86 ± 0.01,0.117 ± 0.007,0.032 ± 0.002,0.976 ± 0.003,0.024 ± 0.003,0.972 ± 0.001,0.028 ± 0.001,0.957 ± 0.003,0.957 ± 0.003,0.958 ± 0.003,0.957 ± 0.003,0.929 ± 0.005,0.935 ± 0.007,0.926 ± 0.004
One Sided Selection,0.879 ± 0.006,0.885 ± 0.008,0.875 ± 0.007,0.125 ± 0.007,0.899 ± 0.013,0.101 ± 0.013,0.952 ± 0.006,0.926 ± 0.004,0.986 ± 0.001,0.924 ± 0.004,0.86 ± 0.01,0.117 ± 0.007,0.032 ± 0.002,0.976 ± 0.003,0.024 ± 0.003,0.972 ± 0.001,0.028 ± 0.001,0.957 ± 0.003,0.957 ± 0.003,0.958 ± 0.003,0.957 ± 0.003,0.929 ± 0.005,0.935 ± 0.007,0.926 ± 0.004
Condensed Nearest Neighbour,0.878 ± 0.008,0.859 ± 0.008,0.892 ± 0.009,0.108 ± 0.009,0.831 ± 0.011,0.169 ± 0.011,0.938 ± 0.009,0.925 ± 0.005,0.981 ± 0.002,0.923 ± 0.005,0.827 ± 0.01,0.144 ± 0.009,0.04 ± 0.003,0.957 ± 0.003,0.043 ± 0.003,0.975 ± 0.002,0.025 ± 0.002,0.945 ± 0.003,0.946 ± 0.003,0.948 ± 0.003,0.945 ± 0.003,0.912 ± 0.005,0.903 ± 0.006,0.925 ± 0.005
