Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
Edited Nearest Neighbours,0.9123970268354571,0.875898836047536,0.938743961352657,0.06125603864734301,0.8218741542500941,0.1781258457499059,0.949089141814184,0.9455833327760056,0.9842376510389459,0.9453995848136338,0.8480530038071491,0.16345130980100214,0.04073623050227405,0.9524227041993539,0.04757729580064605,0.9854037491399261,0.014596250860073878,0.9498751939553397,0.9511474240128666,0.954616227947084,0.9498751939553397,0.9222420211908873,0.9036389516950101,0.9455833327760056
All KNN,0.9079264913869407,0.854633346082928,0.9474396135265701,0.052560386473429935,0.7787741274579955,0.22122587254200443,0.9484320570171446,0.9423451464546145,0.9840966470908352,0.9422879534351057,0.8231276099666228,0.1787294339271267,0.04536766939183477,0.9372506793826589,0.06274932061734093,0.9871822400843223,0.01281775991567764,0.939185724887,0.9414524316770503,0.9479935865921181,0.939185724887,0.9080901236569583,0.882978183771159,0.9423451464546145
Neighbourhood Cleaning Rule,0.8963637857773288,0.8794924680183038,0.9082125603864736,0.0917874396135266,0.8535516309087738,0.14644836909122624,0.9419062966991655,0.9358962612217965,0.9827623868593486,0.9353679987813608,0.8515196249954942,0.1475837665055015,0.034292087323711376,0.9635799620571195,0.03642003794288058,0.9784596059724926,0.02154039402750745,0.9531606287526142,0.953738155357246,0.9549883161153885,0.9531606287526142,0.9252097728813707,0.9160056184406331,0.9358962612217965
Repeated Edited Nearest Neighbours,0.895129944192451,0.8270570859286261,0.9474396135265701,0.052560386473429935,0.7346874897185807,0.2653125102814193,0.9409865675103536,0.9337515967443135,0.9808068001925134,0.9335440984654136,0.7911160816275097,0.2275854677011822,0.05640272937075465,0.9200635799620572,0.07993642003794288,0.9870002977533604,0.012999702246639554,0.9252344329757808,0.9287502657438432,0.9395454556918876,0.9252344329757808,0.8896759998533497,0.8608438937359706,0.9337515967443135
Baseline,0.8919419537988865,0.9015161011222664,0.8860869565217392,0.11391304347826085,0.9199235260882019,0.08007647391179798,0.9463414046015469,0.9339371869210756,0.9820859654689569,0.9322855357350818,0.8804717567152538,0.12086539234001129,0.03200506342639282,0.9817874173204123,0.018212582679587763,0.9740519995047666,0.025948000495233402,0.9638467246846117,0.963507369844975,0.9638393542768828,0.9638467246846117,0.9396817148413511,0.9469877627964843,0.9339371869210756
Random Under Sampler,0.8845924921894938,0.82951064411893,0.9256038647342996,0.0743961352657005,0.7515998460100094,0.24840015398999063,0.9375791933083084,0.9273766131854853,0.9793814255257646,0.9272746654992139,0.7917709614331363,0.18311426354692972,0.04891699447538866,0.9291493616366713,0.07085063836332872,0.9818573343313947,0.01814266566860532,0.9285097483640289,0.931217640449837,0.9385410869733901,0.9285097483640289,0.8921398686606337,0.866728590170702,0.9273766131854853
Cluster Centroids,0.8827746046912784,0.8422181114493252,0.9125603864734299,0.08743961352657008,0.7834934214683491,0.21650657853165084,0.9373386851316319,0.9264283755676385,0.9802641263415192,0.9262299191346937,0.8061564444044897,0.2235211915932648,0.06251444125745857,0.9402963646618469,0.05970363533815308,0.9789167443013784,0.021083255698621507,0.9351008567766309,0.937131016552696,0.9421354198820364,0.9351008567766309,0.9006706529752833,0.8812050828848637,0.9264283755676385
One Sided Selection,0.8809686431624382,0.8938634184439286,0.8729468599033817,0.12705314009661836,0.9180160855422553,0.08198391445774471,0.9476575540875599,0.927367138611897,0.9824849688676658,0.9252680311384534,0.8714548947045129,0.12778271149364973,0.032814331542807745,0.9817874173204123,0.018212582679587763,0.9711368003959912,0.028863199604008915,0.9613775888821425,0.9608863917526905,0.9611289513524944,0.9613775888821425,0.9351224630087446,0.9445764429691232,0.927367138611897
Tomek Links,0.8809686431624382,0.8938634184439286,0.8729468599033817,0.12705314009661836,0.9180160855422553,0.08198391445774471,0.9475831415119448,0.927367138611897,0.9824844808961635,0.9252680311384534,0.8714548947045129,0.12791014787147925,0.03283397165927674,0.9817874173204123,0.018212582679587763,0.9711368003959912,0.028863199604008915,0.9613775888821425,0.9608863917526905,0.9611289513524944,0.9613775888821425,0.9351224630087446,0.9445764429691232,0.927367138611897
Condensed Nearest Neighbour,0.8691568536032935,0.8510710559109909,0.8819323671497585,0.11806763285024158,0.8234914478611959,0.17650855213880426,0.9251877635794011,0.9187131968548874,0.9751806968381675,0.9179222140595817,0.8161064048730946,0.1664379121102227,0.04340743979463241,0.9554940265600165,0.044505973439983595,0.9721762873887864,0.027823712611213615,0.9416582338258112,0.9425621521479763,0.9442693701653082,0.9416582338258112,0.9073947558363666,0.8978338676249911,0.9187131968548874
