Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
Edited Nearest Neighbours,0.909 ± 0.006,0.867 ± 0.013,0.939 ± 0.003,0.061 ± 0.003,0.807 ± 0.023,0.193 ± 0.023,0.948 ± 0.008,0.943 ± 0.004,0.983 ± 0.002,0.943 ± 0.004,0.838 ± 0.015,0.163 ± 0.012,0.042 ± 0.004,0.947 ± 0.007,0.053 ± 0.007,0.985 ± 0.001,0.015 ± 0.001,0.945 ± 0.006,0.947 ± 0.005,0.952 ± 0.004,0.945 ± 0.006,0.916 ± 0.008,0.896 ± 0.011,0.943 ± 0.004
Neighbourhood Cleaning Rule,0.902 ± 0.006,0.885 ± 0.007,0.913 ± 0.007,0.087 ± 0.007,0.861 ± 0.01,0.139 ± 0.01,0.945 ± 0.004,0.939 ± 0.004,0.981 ± 0.002,0.939 ± 0.004,0.859 ± 0.009,0.139 ± 0.007,0.034 ± 0.002,0.965 ± 0.002,0.035 ± 0.002,0.98 ± 0.002,0.02 ± 0.002,0.955 ± 0.003,0.956 ± 0.003,0.957 ± 0.003,0.955 ± 0.003,0.929 ± 0.004,0.92 ± 0.006,0.939 ± 0.004
All KNN,0.898 ± 0.008,0.841 ± 0.017,0.941 ± 0.004,0.059 ± 0.004,0.763 ± 0.029,0.237 ± 0.029,0.943 ± 0.008,0.936 ± 0.005,0.981 ± 0.003,0.935 ± 0.005,0.807 ± 0.02,0.198 ± 0.029,0.051 ± 0.008,0.93 ± 0.011,0.07 ± 0.011,0.986 ± 0.001,0.014 ± 0.001,0.932 ± 0.009,0.935 ± 0.008,0.944 ± 0.005,0.932 ± 0.009,0.899 ± 0.011,0.874 ± 0.014,0.936 ± 0.005
Repeated Edited Nearest Neighbours,0.893 ± 0.008,0.823 ± 0.018,0.947 ± 0.004,0.053 ± 0.004,0.731 ± 0.029,0.269 ± 0.029,0.94 ± 0.007,0.932 ± 0.006,0.98 ± 0.003,0.932 ± 0.006,0.787 ± 0.021,0.235 ± 0.027,0.061 ± 0.008,0.916 ± 0.012,0.084 ± 0.012,0.987 ± 0.001,0.013 ± 0.001,0.922 ± 0.01,0.926 ± 0.009,0.939 ± 0.005,0.922 ± 0.01,0.887 ± 0.012,0.859 ± 0.014,0.932 ± 0.006
Random Under Sampler,0.888 ± 0.003,0.833 ± 0.01,0.931 ± 0.007,0.069 ± 0.007,0.755 ± 0.022,0.245 ± 0.022,0.936 ± 0.006,0.93 ± 0.002,0.978 ± 0.003,0.929 ± 0.002,0.796 ± 0.012,0.191 ± 0.013,0.053 ± 0.005,0.929 ± 0.008,0.071 ± 0.008,0.983 ± 0.001,0.017 ± 0.001,0.929 ± 0.005,0.932 ± 0.005,0.94 ± 0.003,0.929 ± 0.005,0.894 ± 0.007,0.869 ± 0.01,0.93 ± 0.002
Baseline,0.886 ± 0.005,0.895 ± 0.004,0.881 ± 0.007,0.119 ± 0.007,0.914 ± 0.013,0.086 ± 0.013,0.952 ± 0.005,0.93 ± 0.003,0.983 ± 0.002,0.928 ± 0.003,0.873 ± 0.005,0.118 ± 0.004,0.031 ± 0.001,0.98 ± 0.003,0.02 ± 0.003,0.973 ± 0.001,0.027 ± 0.001,0.961 ± 0.002,0.961 ± 0.001,0.962 ± 0.002,0.961 ± 0.002,0.935 ± 0.002,0.943 ± 0.006,0.93 ± 0.003
Condensed Nearest Neighbour,0.885 ± 0.009,0.866 ± 0.01,0.899 ± 0.011,0.101 ± 0.011,0.84 ± 0.018,0.16 ± 0.018,0.939 ± 0.008,0.929 ± 0.006,0.978 ± 0.002,0.928 ± 0.006,0.836 ± 0.012,0.153 ± 0.01,0.041 ± 0.002,0.959 ± 0.005,0.041 ± 0.005,0.976 ± 0.003,0.024 ± 0.003,0.947 ± 0.004,0.948 ± 0.004,0.951 ± 0.004,0.947 ± 0.004,0.917 ± 0.006,0.908 ± 0.009,0.929 ± 0.006
One Sided Selection,0.882 ± 0.006,0.888 ± 0.006,0.88 ± 0.008,0.12 ± 0.008,0.899 ± 0.016,0.101 ± 0.016,0.949 ± 0.004,0.928 ± 0.003,0.982 ± 0.002,0.926 ± 0.004,0.863 ± 0.008,0.124 ± 0.003,0.033 ± 0.001,0.976 ± 0.004,0.024 ± 0.004,0.972 ± 0.002,0.028 ± 0.002,0.958 ± 0.003,0.958 ± 0.003,0.959 ± 0.003,0.958 ± 0.003,0.931 ± 0.004,0.936 ± 0.008,0.928 ± 0.003
Tomek Links,0.882 ± 0.006,0.888 ± 0.006,0.88 ± 0.008,0.12 ± 0.008,0.899 ± 0.016,0.101 ± 0.016,0.949 ± 0.004,0.928 ± 0.003,0.982 ± 0.002,0.926 ± 0.004,0.863 ± 0.008,0.124 ± 0.003,0.033 ± 0.001,0.976 ± 0.004,0.024 ± 0.004,0.972 ± 0.002,0.028 ± 0.002,0.958 ± 0.003,0.958 ± 0.003,0.959 ± 0.003,0.958 ± 0.003,0.931 ± 0.004,0.936 ± 0.008,0.928 ± 0.003
Cluster Centroids,0.881 ± 0.007,0.842 ± 0.009,0.91 ± 0.007,0.09 ± 0.007,0.786 ± 0.012,0.214 ± 0.012,0.941 ± 0.007,0.926 ± 0.005,0.979 ± 0.003,0.925 ± 0.005,0.807 ± 0.011,0.22 ± 0.01,0.063 ± 0.003,0.941 ± 0.003,0.059 ± 0.003,0.979 ± 0.002,0.021 ± 0.002,0.935 ± 0.004,0.937 ± 0.004,0.942 ± 0.003,0.935 ± 0.004,0.901 ± 0.005,0.882 ± 0.007,0.926 ± 0.005
Near Miss,0.831 ± 0.01,0.753 ± 0.016,0.896 ± 0.008,0.104 ± 0.008,0.658 ± 0.025,0.342 ± 0.025,0.866 ± 0.016,0.89 ± 0.007,0.958 ± 0.006,0.889 ± 0.007,0.701 ± 0.021,0.277 ± 0.024,0.081 ± 0.008,0.885 ± 0.011,0.115 ± 0.011,0.974 ± 0.002,0.026 ± 0.002,0.887 ± 0.009,0.894 ± 0.008,0.915 ± 0.006,0.887 ± 0.009,0.84 ± 0.011,0.816 ± 0.013,0.89 ± 0.007
Instance Hardness Threshold,0.822 ± 0.007,0.673 ± 0.009,0.966 ± 0.006,0.034 ± 0.006,0.518 ± 0.01,0.482 ± 0.01,0.919 ± 0.009,0.877 ± 0.005,0.972 ± 0.002,0.872 ± 0.005,0.619 ± 0.011,0.546 ± 0.027,0.141 ± 0.006,0.788 ± 0.007,0.212 ± 0.007,0.99 ± 0.002,0.01 ± 0.002,0.822 ± 0.006,0.839 ± 0.005,0.902 ± 0.003,0.822 ± 0.006,0.775 ± 0.007,0.754 ± 0.005,0.877 ± 0.005
