Support Vector Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'gamma': 'auto'}",0.9171328050211367,0.9182994267684277,0.916564039408867,0.08343596059113301,0.9210970630325469,0.0789029369674531,0.9665708854950634,0.9491725586501456,0.9899517437913334,0.9483125016879324,0.9000134271685545,0.09304337231629461,0.02460402274766274,0.981781077891424,0.018218922108575925,0.9808930723665475,0.01910692763345251,0.9695826911861527,0.9694985952050914,0.9696639146022623,0.9695826911861527,0.9498031945875769,0.9509950676995472,0.9491725586501456
"{'C': 1.0, 'gamma': 'scale'}",0.9171328050211367,0.9182994267684277,0.916564039408867,0.08343596059113301,0.9210970630325469,0.0789029369674531,0.9665708854950634,0.9491725586501456,0.9899517437913334,0.9483125016879324,0.9000134271685545,0.0930433723010197,0.024604022800889008,0.981781077891424,0.018218922108575925,0.9808930723665475,0.01910692763345251,0.9695826911861527,0.9694985952050914,0.9696639146022623,0.9695826911861527,0.9498031945875769,0.9509950676995472,0.9491725586501456
"{'C': 10.0, 'gamma': 0.0001}",0.9164720868541298,0.9037848778625961,0.9253386699507389,0.07466133004926108,0.8841307661872178,0.11586923381278219,0.9617066053571512,0.9485031600474911,0.9894962192634997,0.9480001336567163,0.881637942604142,0.10146616483036644,0.02752080669368793,0.9716676501442434,0.028332349855756597,0.9826625594941087,0.017337440505891324,0.9630198686887326,0.9633369062506234,0.9641152577758235,0.9630198686887326,0.9404434460778505,0.9333966628406632,0.9485031600474911
"{'C': 1.0, 'gamma': 0.001}",0.9147520685390143,0.9124441251596425,0.916564039408867,0.08343596059113301,0.9096825945755311,0.09031740542446884,0.9643512741823785,0.9476563640527157,0.9896286819042709,0.9468324111352933,0.8927249526327778,0.09496311825964726,0.02523547026440251,0.9787486886965644,0.021251311303435605,0.9808433479570133,0.019156652042986652,0.9671263358369955,0.9671298015733885,0.9674555841310272,0.9671263358369955,0.9460999082157604,0.9452629712662722,0.9476563640527157
"{'C': 100.0, 'gamma': 1e-05}",0.9124259052335342,0.8943339889633785,0.9253386699507389,0.07466133004926108,0.8671132118599791,0.1328867881400209,0.9584102766785029,0.9459707052874597,0.9887021095674765,0.9454532773836373,0.8703388275350747,0.10588823674292429,0.029004903160666375,0.9666027406241805,0.03339725937581954,0.9826372262285171,0.017362773771482848,0.9589134015404699,0.9594257483237307,0.9608771048111199,0.9589134015404699,0.9344087210834302,0.9248752190442482,0.9459707052874597
"{'C': 10.0, 'gamma': 1e-05}",0.9068768340823031,0.8864746989498382,0.9211822660098523,0.07881773399014777,0.8549755549466728,0.14502444505332723,0.9292640527314924,0.9423640152498776,0.9814967232755714,0.942021850308842,0.8601640162219579,0.12898271155535898,0.03483259317625566,0.963545764489903,0.03645423551009702,0.9814958583732777,0.01850414162672233,0.9556184817077755,0.9562531077340071,0.9576755726387065,0.9556184817077755,0.9294421130880128,0.9182357066599752,0.9423640152498776
"{'C': 1.0, 'gamma': 0.0001}",0.9060359638555698,0.8845521178038114,0.9211822660098522,0.07881773399014778,0.8516582943661335,0.14834170563386645,0.9364586823965542,0.9418558851685768,0.9824940082960936,0.9414743734761939,0.8579253151791526,0.12499789930595033,0.03385047928128262,0.9625295043273014,0.03747049567269865,0.9814944739537014,0.018505526046298668,0.9547906671382391,0.9554670872114868,0.957059393513508,0.9547906671382391,0.9282171091804508,0.9165763841599175,0.9418558851685768
"{'C': 10.0, 'gamma': 0.001}",0.9044618653215633,0.9203094858058115,0.8947044334975369,0.10529556650246306,0.950481564773169,0.04951843522683104,0.973946102245527,0.9417832749706411,0.9925891977019246,0.940035590420189,0.9044393654722855,0.08866827847452532,0.022428940351522302,0.9888621164437451,0.011137883556254918,0.9762227749023863,0.023777225097613666,0.9712274992197414,0.9707688182894267,0.9713425364130981,0.9712274992197414,0.9513707132912486,0.9633521698377776,0.9417832749706411
"{'C': 100.0, 'gamma': 0.001}",0.9044618653215633,0.9203094858058115,0.8947044334975369,0.10529556650246306,0.950481564773169,0.04951843522683104,0.9737612383509644,0.9417832749706411,0.9925187272540531,0.940035590420189,0.9044393654722855,0.08909405898205235,0.022557798694622877,0.9888621164437451,0.011137883556254918,0.9762227749023863,0.023777225097613666,0.9712274992197414,0.9707688182894267,0.9713425364130981,0.9712274992197414,0.9513707132912486,0.9633521698377776,0.9417832749706411
"{'C': 100.0, 'gamma': 0.0001}",0.9027595889629775,0.916277689172426,0.8947044334975369,0.10529556650246304,0.9433466429030946,0.056653357096905485,0.968256540524901,0.9407670148080395,0.9903463460012997,0.9390054938746273,0.8997081991793582,0.09700476817979561,0.025884562635570145,0.9868295961185418,0.013170403881458168,0.9762272838001107,0.023772716199889216,0.9695827623776361,0.9691629069319692,0.9699783911404379,0.9695827623776361,0.9488382398862587,0.9597869633516026,0.9407670148080395
"{'C': 10.0, 'gamma': 'auto'}",0.9016513704523329,0.9200520257606156,0.8903940886699507,0.10960591133004927,0.9554815647731689,0.044518435226831035,0.9732059284807079,0.9401362326381487,0.9923395635588129,0.9382441476553438,0.9046397128089969,0.08944404296253261,0.022552247855459902,0.9898783766063467,0.010121623393653287,0.9752925933235213,0.02470740667647879,0.9712328741767418,0.9707349126502678,0.9715425631859145,0.9712328741767418,0.9512499513961407,0.9653870790483451,0.9401362326381487
"{'C': 10.0, 'gamma': 'scale'}",0.9016513704523329,0.9200520257606156,0.8903940886699507,0.10960591133004927,0.9554815647731689,0.044518435226831035,0.9732059284807079,0.9401362326381487,0.9923395635588129,0.9382441476553438,0.9046397128089969,0.08944386214218498,0.022552249411631038,0.9898783766063467,0.010121623393653287,0.9752925933235213,0.02470740667647879,0.9712328741767418,0.9707349126502678,0.9715425631859145,0.9712328741767418,0.9512499513961407,0.9653870790483451,0.9401362326381487
"{'C': 100.0, 'gamma': 'auto'}",0.9016513704523329,0.9200520257606156,0.8903940886699507,0.10960591133004927,0.9554815647731689,0.044518435226831035,0.9732059284807079,0.9401362326381487,0.9923395635588129,0.9382441476553438,0.9046397128089969,0.08944264336855823,0.02255240762569839,0.9898783766063467,0.010121623393653287,0.9752925933235213,0.02470740667647879,0.9712328741767418,0.9707349126502678,0.9715425631859145,0.9712328741767418,0.9512499513961407,0.9653870790483451,0.9401362326381487
"{'C': 100.0, 'gamma': 'scale'}",0.9016513704523329,0.9200520257606156,0.8903940886699507,0.10960591133004927,0.9554815647731689,0.044518435226831035,0.9732059284807079,0.9401362326381487,0.9923395635588129,0.9382441476553438,0.9046397128089969,0.08944252727847085,0.022552415664499642,0.9898783766063467,0.010121623393653287,0.9752925933235213,0.02470740667647879,0.9712328741767418,0.9707349126502678,0.9715425631859145,0.9712328741767418,0.9512499513961407,0.9653870790483451,0.9401362326381487
"{'C': 1.0, 'gamma': 1e-05}",0.8593620846828502,0.7830911154879173,0.9213362068965518,0.07866379310344826,0.6854882424287015,0.31451175757129846,0.9076658466479074,0.9095190738128182,0.9701559974691197,0.9088093611768311,0.7379663221826611,0.16147325561840176,0.04397863388584258,0.8977019407290847,0.1022980592709153,0.9804107389008718,0.019589261099128077,0.90221233942049,0.9077404275264218,0.9248365912300216,0.90221233942049,0.859875908513315,0.8329494906647867,0.9095190738128182
