Support Vector Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'gamma': 'auto'}",0.912 ± 0.004,0.916 ± 0.004,0.909 ± 0.005,0.091 ± 0.005,0.926 ± 0.006,0.074 ± 0.006,0.965 ± 0.001,0.946 ± 0.003,0.99 ± 0.0,0.945 ± 0.003,0.898 ± 0.005,0.095 ± 0.002,0.025 ± 0.001,0.983 ± 0.002,0.017 ± 0.002,0.979 ± 0.001,0.021 ± 0.001,0.969 ± 0.002,0.969 ± 0.002,0.969 ± 0.002,0.969 ± 0.002,0.949 ± 0.003,0.952 ± 0.003,0.946 ± 0.003
"{'C': 1.0, 'gamma': 'scale'}",0.912 ± 0.004,0.916 ± 0.004,0.909 ± 0.005,0.091 ± 0.005,0.926 ± 0.006,0.074 ± 0.006,0.965 ± 0.001,0.946 ± 0.003,0.99 ± 0.0,0.945 ± 0.003,0.898 ± 0.005,0.095 ± 0.002,0.025 ± 0.001,0.983 ± 0.002,0.017 ± 0.002,0.979 ± 0.001,0.021 ± 0.001,0.969 ± 0.002,0.969 ± 0.002,0.969 ± 0.002,0.969 ± 0.002,0.949 ± 0.003,0.952 ± 0.003,0.946 ± 0.003
"{'C': 1.0, 'gamma': 0.001}",0.911 ± 0.004,0.911 ± 0.004,0.911 ± 0.005,0.089 ± 0.005,0.912 ± 0.005,0.088 ± 0.005,0.963 ± 0.001,0.945 ± 0.003,0.989 ± 0.0,0.944 ± 0.003,0.891 ± 0.005,0.096 ± 0.002,0.026 ± 0.001,0.979 ± 0.001,0.021 ± 0.001,0.98 ± 0.001,0.02 ± 0.001,0.967 ± 0.001,0.967 ± 0.001,0.967 ± 0.002,0.967 ± 0.001,0.945 ± 0.002,0.946 ± 0.003,0.945 ± 0.003
"{'C': 10.0, 'gamma': 0.0001}",0.909 ± 0.004,0.893 ± 0.006,0.921 ± 0.003,0.079 ± 0.003,0.87 ± 0.01,0.13 ± 0.01,0.96 ± 0.002,0.944 ± 0.003,0.989 ± 0.0,0.943 ± 0.003,0.869 ± 0.008,0.103 ± 0.003,0.028 ± 0.001,0.967 ± 0.003,0.033 ± 0.003,0.982 ± 0.001,0.018 ± 0.001,0.958 ± 0.003,0.959 ± 0.003,0.961 ± 0.002,0.958 ± 0.003,0.934 ± 0.004,0.926 ± 0.005,0.944 ± 0.003
"{'C': 10.0, 'gamma': 0.001}",0.908 ± 0.005,0.924 ± 0.004,0.899 ± 0.006,0.101 ± 0.006,0.954 ± 0.004,0.046 ± 0.004,0.972 ± 0.002,0.944 ± 0.003,0.992 ± 0.001,0.943 ± 0.003,0.909 ± 0.005,0.088 ± 0.003,0.023 ± 0.001,0.99 ± 0.001,0.01 ± 0.001,0.977 ± 0.001,0.023 ± 0.001,0.973 ± 0.001,0.972 ± 0.001,0.973 ± 0.001,0.973 ± 0.001,0.954 ± 0.002,0.965 ± 0.002,0.944 ± 0.003
"{'C': 100.0, 'gamma': 1e-05}",0.907 ± 0.004,0.888 ± 0.006,0.921 ± 0.003,0.079 ± 0.003,0.86 ± 0.011,0.14 ± 0.011,0.956 ± 0.003,0.943 ± 0.003,0.988 ± 0.001,0.942 ± 0.002,0.863 ± 0.008,0.107 ± 0.003,0.029 ± 0.001,0.964 ± 0.003,0.036 ± 0.003,0.982 ± 0.001,0.018 ± 0.001,0.956 ± 0.003,0.957 ± 0.003,0.959 ± 0.002,0.956 ± 0.003,0.93 ± 0.004,0.921 ± 0.006,0.943 ± 0.003
"{'C': 100.0, 'gamma': 0.001}",0.905 ± 0.004,0.922 ± 0.003,0.895 ± 0.005,0.105 ± 0.005,0.955 ± 0.006,0.045 ± 0.006,0.972 ± 0.002,0.942 ± 0.002,0.992 ± 0.0,0.941 ± 0.003,0.907 ± 0.003,0.088 ± 0.003,0.023 ± 0.001,0.99 ± 0.001,0.01 ± 0.001,0.976 ± 0.001,0.024 ± 0.001,0.972 ± 0.001,0.972 ± 0.001,0.972 ± 0.001,0.972 ± 0.001,0.953 ± 0.002,0.965 ± 0.003,0.942 ± 0.002
"{'C': 10.0, 'gamma': 'auto'}",0.904 ± 0.003,0.923 ± 0.002,0.892 ± 0.004,0.108 ± 0.004,0.96 ± 0.003,0.04 ± 0.003,0.972 ± 0.002,0.942 ± 0.002,0.992 ± 0.0,0.94 ± 0.002,0.909 ± 0.003,0.09 ± 0.002,0.023 ± 0.001,0.991 ± 0.001,0.009 ± 0.001,0.976 ± 0.001,0.024 ± 0.001,0.972 ± 0.001,0.972 ± 0.001,0.973 ± 0.001,0.972 ± 0.001,0.953 ± 0.001,0.968 ± 0.002,0.942 ± 0.002
"{'C': 10.0, 'gamma': 'scale'}",0.904 ± 0.003,0.923 ± 0.002,0.892 ± 0.004,0.108 ± 0.004,0.96 ± 0.003,0.04 ± 0.003,0.972 ± 0.002,0.942 ± 0.002,0.992 ± 0.0,0.94 ± 0.002,0.909 ± 0.003,0.09 ± 0.002,0.023 ± 0.001,0.991 ± 0.001,0.009 ± 0.001,0.976 ± 0.001,0.024 ± 0.001,0.972 ± 0.001,0.972 ± 0.001,0.973 ± 0.001,0.972 ± 0.001,0.953 ± 0.001,0.968 ± 0.002,0.942 ± 0.002
"{'C': 100.0, 'gamma': 'auto'}",0.904 ± 0.003,0.923 ± 0.002,0.892 ± 0.004,0.108 ± 0.004,0.96 ± 0.003,0.04 ± 0.003,0.972 ± 0.002,0.942 ± 0.002,0.992 ± 0.0,0.94 ± 0.002,0.909 ± 0.003,0.09 ± 0.002,0.023 ± 0.001,0.991 ± 0.001,0.009 ± 0.001,0.976 ± 0.001,0.024 ± 0.001,0.972 ± 0.001,0.972 ± 0.001,0.973 ± 0.001,0.972 ± 0.001,0.953 ± 0.001,0.968 ± 0.002,0.942 ± 0.002
