Support Vector Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 10.0, 'gamma': 1e-05}",0.8994200244200244,0.8684959349593495,0.921395881006865,0.07860411899313502,0.8217272727272726,0.1782727272727273,0.944306810091774,0.9374185882767119,0.9788067025511322,0.9372739200952137,0.8380800236237452,0.12692806991062633,0.03435177789044809,0.9534412955465588,0.04655870445344129,0.9812486978262379,0.018751302173762086,0.9474062310949788,0.9485760615251965,0.9512494392171231,0.9474062310949788,0.9178121527515319,0.9014879852767553,0.9374185882767119
"{'C': 100.0, 'gamma': 0.0001}",0.8975786464468001,0.9012445887445888,0.8951945080091533,0.10480549199084666,0.907601880877743,0.09239811912225704,0.9541816607945246,0.9369697236402041,0.9831281248359413,0.9360341996162354,0.8786164182459362,0.1151297118795842,0.03047724906839961,0.978744939271255,0.021255060728744946,0.9757814218333781,0.024218578166621874,0.9630271800190131,0.9629475180181006,0.9629392364278295,0.9630271800190131,0.9392496516295419,0.9416916513555605,0.9369697236402041
"{'C': 100.0, 'gamma': 1e-05}",0.8961630494101842,0.8847165400350672,0.9039664378337147,0.09603356216628528,0.8662978008124387,0.13370219918756127,0.951942604828872,0.9357888869330517,0.9829070508960308,0.9352447145929692,0.8575716914415172,0.11945775311804857,0.03241040819929049,0.9676113360323886,0.032388663967611364,0.9775008364001339,0.0224991635998662,0.9556326160228157,0.9560004997345868,0.95656743614337,0.9556326160228157,0.9286232345001724,0.9218993186062863,0.9357888869330517
"{'C': 1.0, 'gamma': 0.0001}",0.8946917808219178,0.8690826100487569,0.9126620900076277,0.08733790999237229,0.8296370967741935,0.17036290322580644,0.9454124621513305,0.934569911400575,0.9790589283453308,0.9343103253833146,0.8384611149662274,0.12533063168176722,0.033806025288539286,0.9564777327935223,0.04352226720647773,0.9792740549828178,0.020725945017182168,0.9482299498746867,0.9491766324409212,0.9511286660490601,0.9482299498746867,0.9184088898079128,0.9044555758785057,0.934569911400575
"{'C': 10.0, 'gamma': 0.0001}",0.8877614092922633,0.8831830875049197,0.8908466819221967,0.10915331807780321,0.8756816507000738,0.1243183492999263,0.956131452176276,0.9307472276007744,0.9843755114771615,0.9298914003911134,0.8558608375137419,0.11356217438362573,0.030837655209838794,0.9706477732793523,0.029352226720647745,0.9745913253987598,0.02540867460124019,0.9556312656641603,0.9557827618079595,0.9559729721714375,0.9556312656641603,0.9278988174989818,0.9251364880494167,0.9307472276007744
"{'C': 1.0, 'gamma': 'auto'}",0.8810907826259766,0.8929283265566452,0.8733790999237223,0.1266209000762777,0.9134134134134134,0.08658658658658658,0.9568490196387117,0.9270741653464765,0.9843698755778727,0.925517694129107,0.8691137123284485,0.11145087916544674,0.030101422229143516,0.9807692307692307,0.019230769230769273,0.9709397590361446,0.029060240963855455,0.9605614251145105,0.9602256715712996,0.9601075551707563,0.9605614251145105,0.9343785447283128,0.9421765862247791,0.9270741653464765
"{'C': 1.0, 'gamma': 'scale'}",0.8810907826259766,0.8929283265566452,0.8733790999237223,0.1266209000762777,0.9134134134134134,0.08658658658658658,0.9568490196387117,0.9270741653464765,0.9843698755778727,0.925517694129107,0.8691137123284485,0.11145087916186282,0.030101422223275536,0.9807692307692307,0.019230769230769273,0.9709397590361446,0.029060240963855455,0.9605614251145105,0.9602256715712996,0.9601075551707563,0.9605614251145105,0.9343785447283128,0.9421765862247791,0.9270741653464765
"{'C': 1.0, 'gamma': 1e-05}",0.866563117389393,0.7859934365510574,0.9301296720061022,0.06987032799389781,0.6805430788076765,0.31945692119232344,0.9314411514652332,0.9144575485536584,0.9727099719903526,0.9143224820496423,0.741242238294321,0.14559062030984998,0.039027049694161084,0.8987854251012146,0.10121457489878544,0.9823007983240579,0.017699201675942078,0.904684934318555,0.9099552765530008,0.9255177363897968,0.904684934318555,0.8623407341876543,0.8314219385658672,0.9144575485536584
"{'C': 10.0, 'gamma': 'auto'}",0.8629697176944413,0.8878833584715937,0.8471395881006865,0.15286041189931354,0.9328523862375139,0.06714761376248612,0.9583333604864956,0.9164847738074282,0.9849262083213667,0.9138502265539019,0.8649390068488693,0.10847566432602135,0.029069748395298994,0.98582995951417,0.014170040485829982,0.9653148303852772,0.03468516961472273,0.9597377063348025,0.9589825851738842,0.9592003220122116,0.9597377063348025,0.9316728728165391,0.9490836083113956,0.9164847738074282
"{'C': 10.0, 'gamma': 'scale'}",0.8629697176944413,0.8878833584715937,0.8471395881006865,0.15286041189931354,0.9328523862375139,0.06714761376248612,0.9583333604864956,0.9164847738074282,0.9849262083213667,0.9138502265539019,0.8649390068488693,0.10847566424358737,0.029069748382979287,0.98582995951417,0.014170040485829982,0.9653148303852772,0.03468516961472273,0.9597377063348025,0.9589825851738842,0.9592003220122116,0.9597377063348025,0.9316728728165391,0.9490836083113956,0.9164847738074282
"{'C': 100.0, 'gamma': 'auto'}",0.8629697176944413,0.8878833584715937,0.8471395881006865,0.15286041189931354,0.9328523862375139,0.06714761376248612,0.9583333604864956,0.9164847738074282,0.9849262083213667,0.9138502265539019,0.8649390068488693,0.10847566432602135,0.029069748395298994,0.98582995951417,0.014170040485829982,0.9653148303852772,0.03468516961472273,0.9597377063348025,0.9589825851738842,0.9592003220122116,0.9597377063348025,0.9316728728165391,0.9490836083113956,0.9164847738074282
"{'C': 100.0, 'gamma': 'scale'}",0.8629697176944413,0.8878833584715937,0.8471395881006865,0.15286041189931354,0.9328523862375139,0.06714761376248612,0.9583333604864956,0.9164847738074282,0.9849262083213667,0.9138502265539019,0.8649390068488693,0.10847566424358737,0.029069748382979287,0.98582995951417,0.014170040485829982,0.9653148303852772,0.03468516961472273,0.9597377063348025,0.9589825851738842,0.9592003220122116,0.9597377063348025,0.9316728728165391,0.9490836083113956,0.9164847738074282
