Support Vector Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 10.0, 'gamma': 1e-05}",0.903 ± 0.003,0.879 ± 0.005,0.921 ± 0.003,0.079 ± 0.003,0.843 ± 0.009,0.157 ± 0.009,0.951 ± 0.003,0.94 ± 0.002,0.981 ± 0.001,0.939 ± 0.002,0.851 ± 0.006,0.12 ± 0.003,0.032 ± 0.001,0.959 ± 0.002,0.041 ± 0.002,0.981 ± 0.001,0.019 ± 0.001,0.952 ± 0.002,0.953 ± 0.002,0.955 ± 0.002,0.952 ± 0.002,0.924 ± 0.003,0.912 ± 0.004,0.94 ± 0.002
"{'C': 1.0, 'gamma': 0.0001}",0.901 ± 0.003,0.879 ± 0.004,0.917 ± 0.004,0.083 ± 0.004,0.846 ± 0.007,0.154 ± 0.007,0.952 ± 0.004,0.939 ± 0.002,0.981 ± 0.001,0.938 ± 0.002,0.851 ± 0.005,0.12 ± 0.003,0.032 ± 0.001,0.96 ± 0.002,0.04 ± 0.002,0.98 ± 0.001,0.02 ± 0.001,0.952 ± 0.002,0.953 ± 0.002,0.955 ± 0.002,0.952 ± 0.002,0.924 ± 0.003,0.913 ± 0.004,0.939 ± 0.002
"{'C': 10.0, 'gamma': 0.0001}",0.899 ± 0.007,0.9 ± 0.008,0.899 ± 0.007,0.101 ± 0.007,0.905 ± 0.013,0.095 ± 0.013,0.961 ± 0.004,0.938 ± 0.004,0.987 ± 0.002,0.937 ± 0.004,0.878 ± 0.011,0.106 ± 0.004,0.028 ± 0.001,0.977 ± 0.003,0.023 ± 0.003,0.977 ± 0.002,0.023 ± 0.002,0.962 ± 0.003,0.962 ± 0.003,0.963 ± 0.003,0.962 ± 0.003,0.939 ± 0.005,0.941 ± 0.007,0.938 ± 0.004
"{'C': 100.0, 'gamma': 1e-05}",0.898 ± 0.005,0.893 ± 0.006,0.901 ± 0.006,0.099 ± 0.006,0.889 ± 0.011,0.111 ± 0.011,0.956 ± 0.004,0.937 ± 0.003,0.986 ± 0.002,0.936 ± 0.003,0.869 ± 0.008,0.111 ± 0.004,0.03 ± 0.001,0.973 ± 0.002,0.027 ± 0.002,0.977 ± 0.001,0.023 ± 0.001,0.959 ± 0.002,0.96 ± 0.002,0.96 ± 0.003,0.959 ± 0.002,0.934 ± 0.004,0.933 ± 0.006,0.937 ± 0.003
"{'C': 1.0, 'gamma': 'auto'}",0.888 ± 0.006,0.901 ± 0.004,0.88 ± 0.007,0.12 ± 0.007,0.926 ± 0.005,0.074 ± 0.005,0.962 ± 0.004,0.932 ± 0.004,0.986 ± 0.002,0.93 ± 0.004,0.881 ± 0.005,0.106 ± 0.003,0.028 ± 0.001,0.983 ± 0.001,0.017 ± 0.001,0.973 ± 0.002,0.027 ± 0.002,0.964 ± 0.001,0.963 ± 0.001,0.964 ± 0.002,0.964 ± 0.001,0.94 ± 0.002,0.949 ± 0.003,0.932 ± 0.004
"{'C': 1.0, 'gamma': 'scale'}",0.888 ± 0.006,0.901 ± 0.004,0.88 ± 0.007,0.12 ± 0.007,0.926 ± 0.005,0.074 ± 0.005,0.962 ± 0.004,0.932 ± 0.004,0.986 ± 0.002,0.93 ± 0.004,0.881 ± 0.005,0.106 ± 0.003,0.028 ± 0.001,0.983 ± 0.001,0.017 ± 0.001,0.973 ± 0.002,0.027 ± 0.002,0.964 ± 0.001,0.963 ± 0.001,0.964 ± 0.002,0.964 ± 0.001,0.94 ± 0.002,0.949 ± 0.003,0.932 ± 0.004
"{'C': 100.0, 'gamma': 0.0001}",0.886 ± 0.007,0.9 ± 0.006,0.878 ± 0.009,0.122 ± 0.009,0.927 ± 0.01,0.073 ± 0.01,0.959 ± 0.004,0.931 ± 0.004,0.986 ± 0.002,0.928 ± 0.005,0.879 ± 0.007,0.109 ± 0.004,0.029 ± 0.001,0.983 ± 0.002,0.017 ± 0.002,0.972 ± 0.002,0.028 ± 0.002,0.963 ± 0.002,0.963 ± 0.002,0.964 ± 0.003,0.963 ± 0.002,0.939 ± 0.003,0.949 ± 0.005,0.931 ± 0.004
"{'C': 1.0, 'gamma': 1e-05}",0.88 ± 0.005,0.82 ± 0.014,0.926 ± 0.002,0.074 ± 0.002,0.739 ± 0.024,0.261 ± 0.024,0.938 ± 0.003,0.924 ± 0.004,0.976 ± 0.001,0.924 ± 0.004,0.781 ± 0.016,0.138 ± 0.003,0.037 ± 0.001,0.922 ± 0.009,0.078 ± 0.009,0.982 ± 0.001,0.018 ± 0.001,0.923 ± 0.007,0.926 ± 0.006,0.936 ± 0.004,0.923 ± 0.007,0.885 ± 0.009,0.861 ± 0.012,0.924 ± 0.004
"{'C': 10.0, 'gamma': 'auto'}",0.872 ± 0.006,0.897 ± 0.005,0.857 ± 0.007,0.143 ± 0.007,0.946 ± 0.005,0.054 ± 0.005,0.963 ± 0.004,0.922 ± 0.004,0.987 ± 0.002,0.919 ± 0.004,0.878 ± 0.007,0.105 ± 0.002,0.028 ± 0.001,0.988 ± 0.001,0.012 ± 0.001,0.968 ± 0.002,0.032 ± 0.002,0.963 ± 0.002,0.963 ± 0.002,0.964 ± 0.002,0.963 ± 0.002,0.938 ± 0.003,0.957 ± 0.003,0.922 ± 0.004
"{'C': 10.0, 'gamma': 'scale'}",0.872 ± 0.006,0.897 ± 0.005,0.857 ± 0.007,0.143 ± 0.007,0.946 ± 0.005,0.054 ± 0.005,0.963 ± 0.004,0.922 ± 0.004,0.987 ± 0.002,0.919 ± 0.004,0.878 ± 0.007,0.105 ± 0.002,0.028 ± 0.001,0.988 ± 0.001,0.012 ± 0.001,0.968 ± 0.002,0.032 ± 0.002,0.963 ± 0.002,0.963 ± 0.002,0.964 ± 0.002,0.963 ± 0.002,0.938 ± 0.003,0.957 ± 0.003,0.922 ± 0.004
