Support Vector Parameters,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
"{'C': 10.0, 'gamma': 1e-05}",0.9,0.874,0.918,0.834,0.948,0.938,0.98
"{'C': 1.0, 'gamma': 0.0001}",0.898,0.875,0.913,0.839,0.948,0.9369999999999999,0.98
"{'C': 100.0, 'gamma': 1e-05}",0.893,0.887,0.895,0.878,0.952,0.934,0.984
"{'C': 10.0, 'gamma': 0.0001}",0.892,0.892,0.892,0.892,0.957,0.9339999999999999,0.985
"{'C': 1.0, 'gamma': 'auto'}",0.882,0.897,0.873,0.921,0.958,0.928,0.984
"{'C': 1.0, 'gamma': 'scale'}",0.882,0.897,0.873,0.921,0.958,0.928,0.984
"{'C': 100.0, 'gamma': 0.0001}",0.879,0.894,0.869,0.917,0.955,0.927,0.984
"{'C': 1.0, 'gamma': 1e-05}",0.875,0.8059999999999999,0.924,0.715,0.9349999999999999,0.92,0.975
"{'C': 10.0, 'gamma': 'auto'}",0.866,0.892,0.85,0.941,0.959,0.918,0.985
"{'C': 10.0, 'gamma': 'scale'}",0.866,0.892,0.85,0.941,0.959,0.918,0.985
"{'C': 100.0, 'gamma': 'auto'}",0.866,0.892,0.85,0.941,0.959,0.918,0.985
"{'C': 100.0, 'gamma': 'scale'}",0.866,0.892,0.85,0.941,0.959,0.918,0.985
"{'C': 1.0, 'gamma': 0.001}",0.857,0.884,0.84,0.9349999999999999,0.958,0.913,0.984
"{'C': 10.0, 'gamma': 0.001}",0.833,0.872,0.8089999999999999,0.945,0.958,0.899,0.984
"{'C': 100.0, 'gamma': 0.001}",0.833,0.872,0.8089999999999999,0.945,0.958,0.899,0.984
