Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
Edited Nearest Neighbours,0.9098203110478392,0.8639588293292931,0.9432102984734563,0.05678970152654365,0.7970288970288971,0.20297110297110296,0.9338591855239021,0.9437717814864812,0.9841856144628763,0.9437472968529486,0.8337790039830505,0.1854773418256915,0.04357679568659709,0.944333264499506,0.05566673550049398,0.9862534324559641,0.013746567544035915,0.9441178552289663,0.9458586784925757,0.9506574999230102,0.9441178552289663,0.9143978186706994,0.8916411647424306,0.9437717814864812
Neighbourhood Cleaning Rule,0.9015224344742249,0.8857534166739517,0.9127933470038733,0.08720665299612669,0.8621121272686896,0.13788787273131042,0.9503647230756096,0.9392093819585008,0.9867358546650106,0.9386557163698276,0.8595758363238087,0.12679118556220215,0.03262407813407018,0.9656254169131283,0.034374583086871656,0.979544266436227,0.02045573356377291,0.9556364445253335,0.9561527987565347,0.9574955293247144,0.9556364445253335,0.9291102717534315,0.9208281968524584,0.9392093819585008
Repeated Edited Nearest Neighbours,0.8942500357807357,0.8103217972070431,0.9606402369560264,0.03935976304397356,0.7008121441816207,0.29918785581837937,0.9361120208807243,0.9327588367742311,0.9826358396733331,0.9323094721244688,0.773244451288933,0.2660423686881795,0.06517563965678912,0.9048774365924359,0.09512256340756409,0.9900331736986597,0.009966826301340418,0.915367893145671,0.9201029729180451,0.9356340576205932,0.915367893145671,0.8779268952997876,0.8454226589401402,0.9327588367742311
All KNN,0.8921415367055,0.8302333469711751,0.9388812941444521,0.06111870585554794,0.7443085591332387,0.25569144086676127,0.936365640207535,0.9319897350352129,0.9840420290737866,0.9319072416017073,0.7937049106557682,0.19385360881223268,0.05073088617769991,0.9250981759259737,0.07490182407402635,0.9848899712490572,0.015110028750942769,0.9276731276731276,0.930750124954689,0.9396353347185142,0.9276731276731276,0.8921401976899096,0.8645992651911479,0.9319897350352129
Cluster Centroids,0.885174239443098,0.8356344510190663,0.9216222374117112,0.07837776258828892,0.7643942857827851,0.2356057142172149,0.9402885226061497,0.9279041444878567,0.9815733820939365,0.9277408946852326,0.7986137718836552,0.21191690393034832,0.06160735609926684,0.9341860515640024,0.0658139484359976,0.9808678052308627,0.01913219476913745,0.9317762206651095,0.9340949597780387,0.9401153115223969,0.9317762206651095,0.8962944065129989,0.8726310455068238,0.9279041444878567
One Sided Selection,0.8836326137739503,0.886122935079292,0.8822055137844611,0.11779448621553885,0.8912608755718044,0.1087391244281956,0.9446785941962182,0.9284548817484318,0.9843502068002709,0.9272095201356158,0.8602820254936728,0.12386934425888692,0.033466828432421304,0.9747042497124023,0.025295750287597746,0.9727487950293873,0.02725120497061277,0.9572623128178684,0.9572135930391835,0.9574517954260827,0.9572623128178684,0.9299076104473807,0.9320048353005959,0.9284548817484318
Tomek Links,0.8836326137739503,0.886122935079292,0.8822055137844611,0.11779448621553885,0.8912608755718044,0.1087391244281956,0.9446785941962181,0.9284548817484318,0.9843502068002709,0.9272095201356158,0.8602820254936728,0.12379442857195473,0.03346140908167193,0.9747042497124023,0.025295750287597746,0.9727487950293873,0.02725120497061277,0.9572623128178684,0.9572135930391835,0.9574517954260827,0.9572623128178684,0.9299076104473807,0.9320048353005959,0.9284548817484318
Baseline,0.8756471291908388,0.8793702028996147,0.8733766233766233,0.12662337662337664,0.8864820625384006,0.11351793746159944,0.9479756569482193,0.9235384563401361,0.9853356854292707,0.9220813977904326,0.8519816269619707,0.11659490487484316,0.03278136588301653,0.9737002893036487,0.026299710696351213,0.9707326395470605,0.0292673604529395,0.9547972214638881,0.954732691469874,0.9549298547949697,0.9547972214638881,0.9257780663036876,0.9286073510427304,0.9235384563401361
Random Under Sampler,0.8708779731537106,0.8051251985588511,0.921451355661882,0.07854864433811803,0.715907090085712,0.284092909914288,0.9343023530709486,0.9182318247215818,0.9786093472593191,0.9179409330775954,0.763144050484294,0.185732479685895,0.05523961023023847,0.9150122937812818,0.0849877062187182,0.9806119766046243,0.019388023395375747,0.9161868939646718,0.9199795453866916,0.9308317059009695,0.9161868939646718,0.8758618979183684,0.8482595333451681,0.9182318247215818
Condensed Nearest Neighbour,0.866284013605442,0.8501207862757361,0.8778195488721804,0.12218045112781954,0.8258373205741627,0.17416267942583732,0.9271987819349655,0.9171540015587533,0.9791327691599999,0.9161602588535235,0.815266040215714,0.14709792437244493,0.04194393326024076,0.9564884542453264,0.04351154575467372,0.9713007636204255,0.0286992363795745,0.9416608527719639,0.9423939212284408,0.9439675340114079,0.9416608527719639,0.9069461743925431,0.8985690420972942,0.9171540015587533
