Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
Neighbourhood Cleaning Rule,0.894,0.874,0.909,0.841,0.944,0.9349999999999999,0.984
All KNN,0.894,0.826,0.94,0.73,0.9299999999999999,0.933,0.982
Edited Nearest Neighbours,0.892,0.837,0.93,0.761,0.9329999999999999,0.932,0.983
Repeated Edited Nearest Neighbours,0.889,0.8039999999999999,0.945,0.692,0.927,0.929,0.981
Cluster Centroids,0.88,0.829,0.916,0.752,0.941,0.925,0.982
Baseline,0.877,0.881,0.874,0.891,0.947,0.924,0.985
Random Under Sampler,0.877,0.8099999999999999,0.924,0.72,0.926,0.921,0.978
Tomek Links,0.873,0.877,0.868,0.886,0.946,0.922,0.985
One Sided Selection,0.873,0.877,0.868,0.886,0.946,0.922,0.985
Condensed Nearest Neighbour,0.87,0.851,0.883,0.82,0.9289999999999999,0.92,0.979
Near Miss,0.844,0.774,0.9,0.6839999999999999,0.85,0.9,0.961
Instance Hardness Threshold,0.84,0.694,0.971,0.539,0.909,0.891,0.975
