Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
Edited Nearest Neighbours,0.9117926595073949,0.8768180887435546,0.9385281385281387,0.061471861471861476,0.8292096792096793,0.17079032079032078,0.9561786734189333,0.9449580548447339,0.9850772159282797,0.944416984224537,0.8504924691048417,0.1496324096753241,0.03958061948180099,0.9513879711613291,0.04861202883867082,0.9854141540576662,0.01458584594233375,0.9490089923815967,0.9507393741502974,0.9561047913618251,0.9490089923815967,0.9223073136690814,0.9073119166336726,0.9449580548447339
Neighbourhood Cleaning Rule,0.8994608649035027,0.8878385451677379,0.9082251082251083,0.09177489177489177,0.8720541363398507,0.12794586366014934,0.9518129615581152,0.9379229222314327,0.9823949986184027,0.936930364392825,0.8626417176183367,0.12938133614506825,0.03213166918126527,0.9676207362377576,0.032379263762242476,0.978622009832482,0.021377990167518,0.9564557702457974,0.9569562886254322,0.9585929513600808,0.9564557702457974,0.9303971964142429,0.9253380730861664,0.9379229222314327
All KNN,0.8974778296255272,0.8502406457892998,0.9341991341991341,0.0658008658008658,0.7867835362583262,0.2132164637416738,0.9467593624392514,0.9357435695664187,0.9824079636059285,0.935129499959024,0.8187578037335673,0.17240362614528326,0.046409907034206145,0.9372880049337036,0.06271199506629663,0.9842435203510592,0.015756479648940662,0.9367061722101864,0.939281564988633,0.9472407850430368,0.9367061722101864,0.9050246059604077,0.8855135283046927,0.9357435695664187
Repeated Edited Nearest Neighbours,0.89690357437061,0.8345388458638975,0.9471861471861471,0.052813852813852806,0.7548177312883195,0.24518226871168047,0.9411568293747689,0.9351338647476484,0.981260086660179,0.9340627711078123,0.8023760273833224,0.2175374230232435,0.05559566529399068,0.9230815823091496,0.0769184176908506,0.9874369412210804,0.012563058778919505,0.9276461658725033,0.931271827200919,0.94377989828327,0.9276461658725033,0.894065322841582,0.8711273362547002,0.9351338647476484
Random Under Sampler,0.8919326745280634,0.8429669755135594,0.9298701298701298,0.07012987012987013,0.7771734218162789,0.22282657818372104,0.9389416469321112,0.9320166362314835,0.9801548089591566,0.9313585615288563,0.809592507494991,0.18509559767398273,0.050608794732214045,0.9341631425928375,0.06583685740716266,0.9831298143022157,0.01687018569778429,0.9334091609307704,0.9361079037018593,0.9443757063922232,0.9334091609307704,0.9003170193546882,0.8801516180592474,0.9320166362314835
Condensed Nearest Neighbour,0.8822005164727391,0.866674333258184,0.8948051948051947,0.10519480519480517,0.8485934700220413,0.15140652997795856,0.9442788288483631,0.9271598217539476,0.9790699548678271,0.9257152937407069,0.8379159123065121,0.14502395506239787,0.03889465904207136,0.9595144487027004,0.04048555129729968,0.975592632361922,0.02440736763807806,0.9473952756428378,0.9483070550606792,0.9517315489939985,0.9473952756428378,0.9169249437545991,0.9120930511919818,0.9271598217539476
One Sided Selection,0.8813785416500262,0.8893390433861176,0.8774891774891774,0.12251082251082249,0.9085401371115654,0.09145986288843433,0.9513277133763006,0.9276313668600901,0.9829272972889995,0.9250697385295974,0.8669185967060378,0.12511027667395597,0.03265995277358075,0.9777735562310031,0.022226443768996955,0.9721879666363704,0.027812033363629585,0.9589615476446814,0.958679005922315,0.9601047680417575,0.9589615476446814,0.9320561668402408,0.9403640518739681,0.9276313668600901
Tomek Links,0.8813785416500262,0.8893390433861176,0.8774891774891774,0.12251082251082249,0.9085401371115654,0.09145986288843433,0.9513277133763006,0.9276313668600901,0.9829272972889995,0.9250697385295974,0.8669185967060378,0.12491921484523745,0.03261363181354419,0.9777735562310031,0.022226443768996955,0.9721879666363704,0.027812033363629585,0.9589615476446814,0.958679005922315,0.9601047680417575,0.9589615476446814,0.9320561668402408,0.9403640518739681,0.9276313668600901
Baseline,0.8795592362791117,0.8923266711857755,0.8731601731601731,0.1268398268398268,0.923884052455481,0.07611594754451896,0.9583090493535777,0.9269866215344936,0.9856866537717602,0.9238840543279542,0.8727581658834384,0.11474463530228027,0.031234817603678168,0.9808130699088147,0.019186930091185408,0.9714673926925073,0.028532607307492852,0.9606035837694762,0.9601074763276316,0.9624309075835074,0.9606035837694762,0.9340817613540285,0.9476757225739938,0.9269866215344936
Cluster Centroids,0.8774802417666066,0.8442040997113461,0.9034632034632034,0.09653679653679652,0.8006227899085042,0.19937721009149584,0.9396060825990779,0.9233398642163676,0.9763785269104417,0.9223148111747421,0.8102811466309615,0.22961665580600574,0.0642614071803082,0.9432165249695315,0.056783475030468565,0.9771619618472065,0.022838038152793335,0.9358150880806145,0.9378433030444174,0.943962511271055,0.9358150880806145,0.9018498145083347,0.8888923758778555,0.9233398642163676
Near Miss,0.8349790175767761,0.765397611272928,0.8948051948051949,0.10519480519480517,0.6814133941258819,0.3185866058741181,0.8840492466629681,0.8938096022335154,0.9623790268216723,0.8913405932531682,0.7171956713497399,0.2581634625326707,0.074913970074357,0.8928140096618359,0.10718599033816427,0.9745225589251515,0.025477441074848426,0.8933040276514392,0.8994174169740402,0.9193711661340319,0.8933040276514392,0.8479128360443433,0.8279679765255166,0.8938096022335154
Instance Hardness Threshold,0.8304454567341873,0.6800988744858101,0.9779220779220779,0.02207792207792208,0.524859837107608,0.47514016289239197,0.9291786053305247,0.8826689152660476,0.9742108711003257,0.8766561653943564,0.6296614797579204,0.5401411840778092,0.13630111355840285,0.7874157526100172,0.21258424738998283,0.9937443533418766,0.00625564665812344,0.8232130589477785,0.840355333986168,0.9056419941751072,0.8232130589477785,0.7787564892462178,0.7593020952247423,0.8826689152660476
