Data Under-Sampler Model,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
Edited Nearest Neighbours,0.903,0.854,0.9359999999999999,0.784,0.94,0.939,0.981
Neighbourhood Cleaning Rule,0.896,0.878,0.906,0.851,0.941,0.9349999999999999,0.979
All KNN,0.89,0.824,0.9369999999999999,0.734,0.9349999999999999,0.931,0.978
Random Under Sampler,0.885,0.823,0.924,0.733,0.93,0.928,0.975
Repeated Edited Nearest Neighbours,0.885,0.8049999999999999,0.943,0.702,0.9329999999999999,0.926,0.977
Baseline,0.881,0.891,0.874,0.901,0.947,0.927,0.981
One Sided Selection,0.876,0.882,0.872,0.883,0.945,0.925,0.98
Tomek Links,0.876,0.882,0.872,0.883,0.945,0.925,0.98
Condensed Nearest Neighbour,0.876,0.856,0.888,0.822,0.9309999999999999,0.923,0.976
Cluster Centroids,0.874,0.833,0.903,0.774,0.9339999999999999,0.921,0.976
Near Miss,0.821,0.737,0.888,0.633,0.85,0.883,0.952
Instance Hardness Threshold,0.815,0.664,0.96,0.508,0.91,0.872,0.97
