Topic	Count	Name	Representation	Representative_Docs
-1	197	-1_attribute_information_service_provider	['attribute', 'information', 'service', 'provider', 'quality', 'respondent', 'value', 'outcome', 'sample', 'communication']	['design feature participant characteristic influence participate research participate tended limited single indication focused narrow set participant characteristic applied stated method understand design attribute influence participate varied participant characteristic adult residing u china poland selfreported diagnosis cancer heart migraine rheumatoid arthritis multiple sclerosis completed online asked whether would participate defined seventeen attribute within five category paymentsupport administrationprocedures treatmentrelated locationtime commitment data collectionfeedback saw six different hypothetical profile depending participation initial profile subsequent five question one design attribute randomly selected per question consecutively improved deteriorated elicit logistic regression used determine participant characteristic influenced participation latent class logit model used identify influence design feature varied whether group similar could identified completed china poland u per indication participate found function participant age certain element quality life previous experience particular number line received experience adverse event participate influenced design feature payment duration time commitment overall time whether time home away home latter particularly relevant experiencing fatigue due quantifies design influence participate varies participant type finding suggest indication influence quality life experience rather indication alone impact participation rate opening way insight transferrable across indication particularly useful considering rare disease', 'estimating preferencebased index eightdimensional state classification system multiple sclerosis conditionspecific measure frequently used ass healthrelated quality life people multiple sclerosis m measure unsuitable use economic evaluation require estimate cost per qualityadjusted lifeyear based report estimation preferencebased single index eightdimensional instrument m multiple sclerosis impact scale eight dimension derived msspecific measure healthrelated quality life multiple sclerosis impact scale elicited sample state n sample n uk general population elicited time tradeoff technique via internetbased fitted regression model data estimate value state described estimated value assessed score value derived generic preferencebased measure large representative sample people m reported time tradeoff question easy understand observed state value ranged bestperforming model main effect random effect model mean absolute error validation analysis support performance index correlated strongly generic measure score discriminated effectively subgroup people m enables state value estimated adding method available ass outcome estimate qualityadjusted lifeyears m use technology assessment context', 'endoflife terminal cancer china china little known endoflife eol terminal cancer understanding needed improve patientcentered better inform surrogate medical staff enhance quality eol examine eol terminal cancer china year terminal cancer randomly selected medical record single hospital china data eol collected dce august november analyzed october march main eol derived mixed logit model dce scenario described attribute hospitalization day life extension quality life adverse event placeofdeath outofpocket cost marginal pay wtp u dollar estimated regression coefficient selected participated respondent mean age year male moderate increase survival time better quality life death home lower outofpocket cost significantly associated choice model extending life month v month ci better quality life good v poor ci attribute uptake rate scenario increased quality life improved poor good life extension increased month uptake rate increased uptake increased place death changed hospital home however decreased cost increased found wtp ci improve quality life poor good level substantially higher wtp life extension month ci year ci compared baseline scenario extension willing pay ci die home rather hospital finding suggest addition extending life moderately terminal cancer improving quality life eol supporting home death deserve greater attention finding also suggest physician surrogate ask better inform choice improve eol outcome']
0	48	0_utility_value_valuation_tradeoff	['utility', 'value', 'valuation', 'tradeoff', 'qaly', 'time tradeoff', 'respondent', 'utility value', 'estimate', 'tradeoff tto']	['utility value state ireland set objective develop set based irish utility value euroqol instrument research design data collection followed protocol developed euroqol group euroqol valuation technology eqvt software administered computerassisted personal interview representative sample adult resident ireland utility value elicited two statedpreference technique time tradeoff tto discretechoice dce respondent completed valuation exercise eqvt system randomly selected one block ten tto question ten block relating possible state one block seven dce pair block possible pair state randomly selected accompany relationship utility value state analysed hybrid regression model combined data tto dce technique expressed function state presented individual model estimated coefficient dummy variable characterised state framework lowest level severity providing reference category domain relationship weighted unweighted tto dce analysis main effect analysed separately comparison weighted unweighted model revealed substantive difference respect either dce tto model unweighted hybrid model produced estimated effect ordering intuitively consistent within domain lower level associated lower utility value difference evident domain respect valuation disutility associated condition related anxietydepression paindiscomfort higher domain decrement utility associated movement highest lowest level mobility selfcare usual activity paindiscomfort anxietydepression present first set based framework representative sample resident ireland set reveals higher decrement utility associated anxietydepression domain caution warranted comparison set said england netherlands uruguay china reveal whereas irish value broadly consistent respect mobility selfcare usual activity resident ireland attach higher decrement paindiscomfort anxietydepression population', 'comparison method converting dce value onto full healthdead qaly scale elicitation technique time tradeoff tto standard gamble sg receive criticism complexity difficulty use ordinal technique dce arguably easier understand generate value anchored onto full healthdead qualityadjusted lifeyear qaly scale required use economic evaluation article compare existing method converting modeled dce latent value onto full healthdead qaly scale anchoring dce value dead valued dce anchoring dce value tto worst state new method mapping dce value onto tto combining dce tto data hybrid model model compared ability predict mean tto state value use postal dce data n tto data n collected interview general population valuation asthma conditionspecific measure new method mapping hybrid model better able predict mean tto state value mean absolute difference anchorbased method mad better able predict mean tto state value even estimation subsample available tto data new mapping hybrid method potentially useful role producing value qaly scale data elicited ordinal technique dce use economic evaluation make best use desirable property elicitation technique elicited data research encouraged', 'experiment approach perform better time tradeoff eliciting state utility evidence china explore acceptability consistency accuracy eliciting state utility value dce dce life duration dimension dcetto compared conventional time tradeoff tto facetoface interview representative sample general population tianjin china completed tto task dcedcetto task order tto dcedcetto randomized fixedeffect model conditional logit model used tto dces data estimation respectively acceptability assessed selfreported difficulty understandinganswering consistency observed monotonicity model coefficient accuracy evaluated investigating difference observed predicted tto value intraclass correlation coefficient mean absolute difference root mean square difference total respondent male range year included comparable characteristic respondent completed dce dcetto significant difference observed selfreported difficulty approach monotonicity coefficient could achieved dce approach even combining inconsistent level state utility value generated dce generally higher generated tto whereas dcetto lower tto tto better prediction accuracy dces two dce approach feasible eliciting state utility value however considered easier understandanswer tto difference state utility value generated approach issue nonmonotonicity dce approach remains concern']
1	40	1____	['', '', '', '', '', '', '', '', '', '']	[' ', ' ', ' ']
2	38	2_oncologist_participation_posttreatment_followup	['oncologist', 'participation', 'posttreatment', 'followup', 'oncology', 'survivor', 'survival', 'newly diagnosed', 'survivorship', 'support']	['navigating newly diagnosed cancer clinicianfacilitated discussion healthrelated value advance planning process value goal explored documented core quality indicator cancer however value predominantly elicited end life value earlier serious illness clearly delineated objective ass content patientverified summary healthrelated value newly diagnosed cancer outpatient order develop theoretical framework guide future value discussion optimize personcentered oncologic value summary gastrointestinal gi cancer myelodysplastic syndrome md extracted medical record modified grounded theory included interdisciplinary team coding value summary identify key domain code categorization identification thematic construct successive consensus meeting final round coding stratified theme type value summary document gastrointestinal cancer myelodysplastic syndrome generated code across category resultant theme demonstrated focus retaining agency personhood interpersonal connection amidst practical existential disruption caused cancer theme coalesced theoretical framework sequenced construct beginning cancer diagnosis leading nesting construct individual identity character interpersonal communication need social identity connection signifying source meaning fulfillment value difference gi cancer md patientsincluding greater focus normalcy prognosis maintaining professional life gi patientsreflected distinct therapeutic option prognosis across group value reflect goal meaningmaking fulfillment individual agency interpersonal support setting newly diagnosed cancer early nurseled value discussion provide patientspecific data informative likely actionable clinician delivery personcentered value also facilitate discussion family clarify', 'preferred perceived participation role oncological medical user german cancer information service cancer facing variety diseaserelated aim provide insight preferred perceived participation role diverse tumor german cancer information service ci experience assessed part crosssectional ci user adapted version control scale cps used ass preferred perceived participation role eight different area medical eg medication termination logistic regression analysis applied explore matching analyze association participation role sociodemographic variable moreover examined perception participation role across different situation final sample female mean almost half preferred take collaborative role method whereas preferred active role passive role collaborative role frequently coincided experiencing passive role predicted reduced chance match experience higher level education associated lower chance preferring perceiving passive role compared men woman increased odds preferring actually taking passive role medical encounter preferred participation role regarding method highly correlated area except family involvement reveals wellknown deficit fulfilment collaborative role across different area medical sample ci user characterized high informationseeking behavior participation role influenced level education also gender gender effect pronounced previous suggest effect considered development intervention promote additionally indicate participation method assessed cps generalized area medical', 'desire information participation cancer presenting department general surgery tertiary hospital india providing appropriate information illness help cope diagnosis key concept managing cancer data available desire information participation indian cancer objective estimate proportion information need participation factor associated crosssectional conducted cancer year interviewed questionnaire signing informed consent association sex educational level residence diagnosis type cancer eastern cooperative oncology group performance status status information need analyzed test approximately said absolute need know illness cancer gt either absolute need know would like know prognosis option adverse effect regarding wanted treating physician make regarding preferred share family majority cancer expressed need knowing whether cancer come preferred passive role majority wanted involve family process recommend treating elicit participating involving family']
3	36	3_prostate_prostate cancer_men_decisional	['prostate', 'prostate cancer', 'men', 'decisional', 'decisional conflict', 'localized prostate', 'urologist', 'guideline', 'pca', 'psa']	['voice methodology novel mixedmethods approach identifying goal men prostate cancer many guideline advocate use men newly diagnosed prostate cancer aid facilitate process implicit approach idea physician understand element matter little formal work exists guide physician developer aid identifying attribute use mixedmethods technique adapted marketing science voice describe identify element men localized prostate cancer conducted semistructured interview men treated prostate cancer urology clinic west los angeles veteran affair medical center used generate theme narrative quantitative approach agglomerative hierarchical clustering identify attribute relevant prostate cancer identified five traditional prostate cancer attribute sexual dysfunction bowel problem urinary problem lifespan others opinion identified two novel attribute treatment ability validate sense proactivity need incision separate risk surgery application successful marketing technique voice customer setting elicits nonobvious attribute highlight unique concern use method development aid effective support', 'measurement aid improve decisional conflict randomized men prostate cancer sdm advocated approach medical improve decisional quality aid tool facilitate sdm context limited time however many aid incorporate measurement aim understand whether adding measurement standard educational intervention improves decisional quality feasible busy setting men incident localized prostate cancer recruited greater los angeles veteran affair va medical center urology clinic olive view ucla medical center harbor ucla medical center january randomized education brochure prostate cancer softwarebased assessment addition brochure men undergoing assessment received report detailing relative strength outcome used doctor completed instrument measuring decisional conflict knowledge sdm satisfaction andor cancer consultation baseline knowledge score low mean baseline mean total score decisional conflict scale signifying moderate decisional conflict men undergoing assessment significantly larger decrease decisional conflict total score perceived effective subscale post consult compared receiving education improvement satisfaction sdm knowledge similar group individuallevel assessment feasible clinic setting prostate cancer undergo assessment certain report decreased level decisional conflict', 'aid localized prostate cancer diverse minority men primary multicenter cancer delivery alliance aid da improve knowledge prostate cancer however relative effect da delivered within encounter diverse population unknown multicenter cluster randomized controlled factorial design performed test effectiveness withinvisit previsit da localized prostate cancer minority men oversampled intervention delivered urology practice affiliated nci community oncology research program alliance research base primary prostate cancer knowledge percent correct measure assessed immediately urology consultation four site administered previsit da site administered withinvisit da site administered previsit withinvisit da site provided usual median percent correct prostate cancer knowledge based postvisit knowledge assessment intervention delivery follows prewithinvisit da arm previsit da arm withinvisit da arm usualcare arm neither previsit da withinvisit da significant impact knowledge prostate cancer treatment prespecified significance level p p respectively da localized prostate cancer provided different point continuum oversampled minority men confer measurable gain prostate cancer knowledge']
4	34	4_coat_physician_trainee_white coat	['coat', 'physician', 'trainee', 'white coat', 'consultation', 'pharmacist', 'gp', 'professional', 'pcp', 'doctor']	['impact demographic characteristic perception attire address impact attire rating personality characteristic presence varied demographic characteristic gender racialethnic background even fewer examined boundary acceptable attire given recent loosening societal standard dress online methodology adult medical professional recruited rated target photo depicting male female individual three ethnicracial category dressed business casual without white coat professional attire without white coat number personality characteristic general physician wear certain apparel item also queried importanceacceptability specific clothing item appearance choice response analyzed gender age ethnicity profession respondent business casual professional attire rated highly name tag highest rating importance wear wearing white coat consistent earlier physician perceived warmer kinder wearing lab coat particularly professional attire however female caucasian physician rated positively wearing lab coat consistent previous attire casual jean tshirts rated negatively current support notion rule attire changing even physician office name tag perceived crucial medical setting casual clothing avoided despite often considered defining component physician uniform white lab coat universal positive perhaps even negative physician', 'physician attire influence perception urban outpatient orthopaedic surgery setting previous work established attire influence perception physician however research different specialty disagreed regarding kind attire might increased trust confidence part purpose investigate surgeon attire affect perception trust confidence urban orthopaedic outpatient setting eightyfive solicited completed threepart questionnaire outpatient orthopaedic clinic urban teaching hospital first section viewed eight image four male surgeon four female surgeon wearing white coat formal attire scrub business attire casual attire rated image fivelevel likert scale asked confident trustworthy safe caring smart surgeon appeared well surgery would go willing would discus personal information pictured surgeon participant ranked image least confident second part last section obtained demographic information survey scored fivelevel likert scale friedman test used detect statistical significance comparing attire multiple pairwise comparison bonferroni correction applied white coat male surgeon elicited modestly higher rating confidence mean difference ci p lt intelligence md ci p surgical skill md ci p lt trust md ci p lt ability discus confidential information md ci p caring md ci p safety md ci p compared business attire similarly white coat preferred casual attire category confidence md smart md surgical skill md ability discus md trust md safety md caring md p lt comparison female surgeon white coat scrub different however white coat preferred business attire four seven category casual clothing widely disliked category surgeon men woman attire compared confidence scale white coat ranked higher business md p casual attire md p lt scrub md p urban outpatient orthopaedic practice varied based sex pictured surgeon overall however modest observed white coat term confidence intelligence trust safety furthermore willing discus personal information believe surgery go better surgeon wear white coat scrub consistent several setting therefore generalizable location specialty given increasing awareness concern physicianspread hospital infection lends support scrub attire business casual attire physician wear white coat level ii therapeutic', 'dress impress public perception plastic surgeon attire attire shown impact perception provider regard professionalism competency trustworthiness various surgical subspecialties except plastic reconstructive surgery author sought address knowledge gap obtain objective information regarding distributed adult englishspeaking united state amazon mturk platform february december asked evaluate likert scale attire scrub scrub white coat formal attire formal attire white coat casual casual white coat term professionalism competency trustworthiness male female plastic surgeon first encounter clinic total response obtained men woman mean age year highest score across metric professionalism competency trustworthiness share information confidence provider confidence surgical outcome given formal attire white coat group average score respectively lowest score across metric belonged casual attire group score respectively preferred formal attire young plastic surgeon suggests attire impact perception plastic surgeon regarding professionalism competency trustworthiness white coat continue remain powerful entity setting given attire white coat consistently ranked higher']
5	34	5_pregnancy_contraceptive_embryo_woman veteran	['pregnancy', 'contraceptive', 'embryo', 'woman veteran', 'fertility', 'ivf', 'embryo transfer', 'expectant', 'expectant management', 'provider']	['woman attribute firsttrimester miscarriage management stated discretechoice elicit woman attribute alternative management option firsttrimester miscarriage stated discretechoice conducted woman confirmed pregnancy le week gestation diagnosed either incomplete miscarriage missed miscarriageearly fetal demise recruited part randomized controlled miscarriage comparing expectant medical surgical miscarriage six attribute three four level used statistical design orthogonal main effect design generated ie design attribute independent set devised according principle minimum overlap level balance cost attribute included allow estimation pay wtp value three different questionnaire designed woman asked attribute two management option allocated total woman completed stated discretechoice questionnaire woman allocated expectant management woman allocated medical management woman allocated surgical management three discretechoice questionnaire woman expressed clear decreased level six attribute time spent hospital receiving level pain experienced number day bleeding time taken return normal activity cost woman chance complication requiring time readmission hospital three discretechoice questionnaire highest valued attribute term wtp reduction pain level followed time taken return normal activity aggregate surgical management valued highly expectant medical management woman allocated medical expectant management respectively medical management valued highly expectant management woman allocated surgical management held true regardless application either hypothetical data attribute generated pretrialdesigned discretechoice questionnaire actual data attribute observed mist generated suggest many woman undergoing management firsttrimester miscarriage would offered alternative expectant management data considered decisionmakers conjunction costeffectiveness evidence base area well consideration budget available service', 'perspective woman increased oh regarding safety burden ivf woman increased ovarian hyperstimulation syndrome oh characteristic ivf treatment woman increased oh chance oh strong attribute determining woman ivf woman willing trade burden side effect cost chance pregnancy lower risk oh oh serious iatrogenic complication ovarian stimulation polycystic ovary high antral follicle count afc previous oh increase developing oh ivm oocyte offer great potential high afc since oh regard perspective fertility treatment shown woman undergoing ivf place different value characteristic effectiveness pregnancy rate cancellation safety oh burden side effect knowledge different ivf treatment woman increased oh studied yet multicentre dce performed selected attribute offered chance oh represents safety number injection chance cycle cancellation latter two represent burden chance pregnancy outofpocket costswillingness pay target sample size calculated including five attribute resulting aim include woman invited subfertile woman diagnosed normogonadotrophic ovulation disorder undergoing gonadotrophin andor experienced imminent oh previous ivf fertility clinic four hospital three teaching one academic woman received printed questionnaire fictional scenario asked scenario choose preferred used multinominal logit model determine woman investigated heterogeneity latent class decrease oh required woman accept increased level undesirable attribute ie trade calculated distributed questionnaire response rate questionnaire included five attribute influenced woman half woman considered chance pregnancy half considered prevention oh lower cost woman willing trade cancellation rate number injection chance pregnancy cost lower oh chance found woman willing accept chance cycle cancellation oh rate dropped woman willing accept one extra reduction oh respect cost woman willing pay instead cost decrease oh rate sample size relatively small limit generalizability sensitivity dce help u understand tradeoff woman oh make characteristic ivf treatment knowledge used counselling couple option bwm supported nhmrc practitioner fellowship bwm report consultancy merck obseva guerbet jpdb report personal fee ferring medical advisory board grant ferring b v merck serono b v outside submitted work conflict interest declare none', 'elective freezing embryo versus fresh embryo transfer ivf multicentre randomized controlled uk efreeze policy elective freezing embryo followed frozen embryo transfer higher healthy baby rate first embryo transfer compared current policy transferring fresh embryo although limited sample size provides evidence support adoption routine policy elective freeze fresh embryo transfer order improve ivf effectiveness obtaining healthy baby policy freezing embryo followed frozen embryo transfer associated higher live birth rate high responder similarlower live birth first embryo transfer cumulative live birth rate normal responder frozen embryo transfer associated lower ovarian hyperstimulation syndrome oh preterm delivery low birthweight baby higher large baby preeclampsia also uncertainty longterm outcome hence shifting policy elective freezing remains controversial given delay extra cost involved freezing embryo pragmatic twoarm parallel randomized controlled efreeze conducted across clinic uk total couple randomized elective fresh primary healthy baby first embryo transfer term singleton live birth appropriate weight gestation secondary outcome included oh live birth pregnancy pregnancy complication costeffectiveness couple undergoing first second third cycle ivficsi least three good quality embryo day female partner age eligible donor gamete undergoing preimplantation genetic testing planning freeze embryo excluded ivficsi carried according local protocol woman followed pregnancy first embryo transfer following randomization couple randomized couple elective freeze fresh transfer arm respectively included primary evidence statistically significant difference outcome elective freeze group compared fresh embryo transfer group healthy baby rate versus ratio rr ci oh versus rr ci live birth rate versus rr ci miscarriage versus rr ci adherence allocation poor elective freeze group elective freeze approach costly unlikely costeffective uk national service context reported first embryo transfer randomization data cumulative live birth rate requires followup planned target sample size obtained nonadherence allocation rate high couple elective freeze arm owing fresh embryo transfer took nonadherence account showed similar efreeze lend support policy electively freezing everyone taking efficacy safety cost consideration account method adopted definite indication nihr technology assessment programme research funded national institute research nihr nihr unique award identifier uk uk government support global research view expressed publication author necessarily nihr uk department social jlb cc ej ph jjk g report receipt funding nihr conduct jlb ej ph k report receipt funding nihr conduct outside submitted work report grant nihr personal fee merck serono personal fee lecture merck serono ferring cook outside submitted work travelmeeting support ferring pharmasure participation ferring advisory board sb report receipt royalty license cambridge university press board membership role nh grampian financial nonfinancial interest related role editorinchief human reproduction open editor contributing author reproductive medicine mrcog cambridge university press db report grant nihr conduct grant european commission grant diabetes uk grant nihr grant eshre grant mrc outside submitted work yc report speaker fee merck serono advisory board role merck serono share complete fertility ph report membership hta commissioning committee ej report membership nh england nihr partnership programme membership five data monitoring committee chair two membership six steering committee chair four membership northern ireland unit advisory group chair board oxford brain unit rm report consulting fee gedeon richter honorarium merck support fee attendance educational event conference merck ferring bessins gedeon richter payment participation merck safety advisory board chair british fertility society payment advisory role human fertilisation embryology authority g report travel accommodation fee attendance economic advisory board merck kgaa darmstadt germany nrf report share nurture fertility author competing interest none declared isrctn december february']
6	32	6_death_nursing home_place death_end life	['death', 'nursing home', 'place death', 'end life', 'hospice', 'dementia', 'caregiver', 'carers', 'home death', 'family carers']	['longitudinal endoflife terminallyill people live alone home death seems perceived ideal terminally ill people live alone disadvantage term place death little known endoflife aimed eliciting place death longitudinally two point illness trajectory reporting extent able achieve place congruence preferred actual place death questionnaire administered researcher home two visit week apart depending prognosis fortythree silver chain hospice service western australia participated indicated favour either home hospice death preferring home place death rather place however overall congruence preferred actual place death dependent whether based first second visit respectively first longitudinal elicit endoflife terminally ill people live alone home preferred location dying many nearly half ability die place need looked possible indicator meeting need quality measure endoflife', 'design conduct pragmatic cluster randomized advance planning program nursing home resident dementia significant number people alzheimers related dementia diagnosis cared nursing home near end life advance planning acp process eliciting documenting patientcentered considered essential providing high quality population nursing home currently required regulation offer acp resident family training requirement exist nursing home staff approach fulfilling regulatory ethical responsibility vary resident receive inconsistent goal unwanted hospitalization pragmatic offer way develop test acp realworld setting increase likelihood adoption sustainable best practice aligning preferencesa role offering alzheimers caregiver healthcare provider education support approach project designed pragmatically test evaluate staffled program nursing home intervention control owned two nursing home corporation existing nursing home staff receive standardized training implement acp specialist program supervision corporate lead primary annual rate hospital transfer admission emergency department visit consistent spirit pragmatic outcome rely data already collected quality improvement billing purpose configurational also performed identify condition associated implementation partnership large corporate company enable approach rely corporate infrastructure roll intervention support corporate implementation lead charged initial introduction ongoing support nursing homebased acp specialist internal champion connect project company priority use strategy familiar nursing home leader initiation program standardized data collection across nursing home also support conduct pragmatic setting many intervention improve nursing home failed demonstrate impact successful maintain impact time pragmatic designed test intervention realworld context evaluated existing data source collected routinely part well suited nursing home environment robust program increase access acp nursing home resident potential increase goalconcordant expected reduce hospital transfer successful acp specialist program primed rapid translation nursing home practice reduce unwanted burdensome hospitalization improve quality resident dementia', 'unpacking impact adult home death family caregiver experience home public england data indicates place death geographically uneven across england given many people nearing end life would prefer die home however growing critique policy designed support home death fail understand need people impact family carers policy also make assumption within whose home home death take place hence major gap understanding firstly work undertaken family member within domestic setting take place secondly create tension home fundamentally disrupt physical socioemotional meaning home family carers impacting sense home postdeath consequence wellbeing paper draw interview data unpacking home elicit indepth understanding facilitating home death create ambiguity place family carers issue faced caring dying person home home death fundamentally reshape meaning sense home']
7	29	7_sdm_professional_pda_dietitian	['sdm', 'professional', 'pda', 'dietitian', 'net', 'autonomy', 'clinician intervention', 'republic china', 'information', 'research']	['safety net go sdm interactive process clinician share information deliberate together make clinic serving safety net face special challenge including fewer resource challenging work environment use sdm within safety net institution well studied recruited convenience sample safety net primary clinician physician nurse practitioner answered sdm questionnaire participated semistructured interview transcribed interview questionnaire data identified theme suggestion introducing sdm safety net environment clinician reported partially fulfilling central component sdm sharing information deliberating clinician expressed interest sdm stating selected option together strong complete agreement minority thoroughly weighed different option together clinician attributed gap many barrier including time pressure overwhelming visit content lack available resource clinician believed lack time made difficult practice sdm increase use sdm safety net efficient sdm intervention designed environment team engagement sdm need development future focus adapting sdm safety net setting determine whether sdm reduce disparity', 'effectiveness decide intervention perceived quality behavioral multicultural randomized randomized conducted ethnicracial minority improve sdm quality test effectiveness clinician intervention improve sdm quality ethnicallyracially diverse sample crosslevel randomized included clinician level nested within clinician level massachusetts behavioral clinic clinician randomly selected site ratio block clinician recruited starting september starting november final data collected september data analyzed based intention treat clinician intervention consisted workshop many coaching telephone call promote communication therapeutic alliance improve sdm intervention sought improve sdm quality sdm assessed blinded coder based recording perception sdm quality clinician perception sdm randomized female male mean sd age year randomized clinician female male mean sd age year patientclinician pair assigned following design arm clinician control condition intervention clinician control condition control condition clinician intervention clinician intervention pair underwent clinician intervention significantly increased sdm rated blinded coder observing involvement instrument cohen assessed clinician clinician coaching session dosage significantly associated increased sdm rated blinded coder cohen intervention significantly increased patientperceived quality cohen significant interaction clinician dosage cohen greatest benefit obtained recommended dosage clinician intervention could improve sdm minority population intervention could augment patientreported quality clinicaltrialsgov identifier', 'perception professional scholar progressively promoted sdm optimal model practice nevertheless unclear whether professional understand sdm well b believe sdm helpful daily practice c willing practice sdm daily activity crucial research topic however research still limited aim apply knowledgeattitudebehavior kab model probe professional perception sdm questionnaire delivered professional working various hospital southern taiwan november january addition kab construct explored barrier sdm practice practice sdm professional predictive variable subjected multiple linear regression investigate professional view sdm valid respondent numbered including physician pharmacist nurse professional characteristic professional significantly affected mean score kab model correlation analysis indicated kab construct positively correlated top three barrier reported lack time lack knowledge difficulty developing aid respondent willing practice sdm opined sdm provide best maintain improve individual expertise meet social expectation continuous emphasis education regarding sdm continuous promotion positive attitude sdm acceptance influence behaviour practicing sdm professional required ass sdm practice various professional different setting']
8	29	8_diabetes_type diabetes_weight_weight loss	['diabetes', 'type diabetes', 'weight', 'weight loss', 'diabetic', 'lifestyle', 'mellitus', 'diabetes mellitus', 'selfcare behavior', 'selfcare']	['young adult type diabetes clinic approach attending routine outpatient clinic appointment central selfmanagement behaviour individual living type diabetes large number young adult type diabetes disengage diabetes service contribute poor psychosocial diabetes outcome aim elicit young adult type diabetes regarding clinicrelated service inform service delivery developed understand young adult type diabetes clinicrelated service young adult recruited young adult type diabetes clinic completed n young adult type diabetes showed shorter waiting time seeing nurse consultant relative nurse alone flexible booking system compared fixed appointment time suggest nurse doctor relative nurse alone optional service eg seeing dietitian psychologist type test digital blood glucose diary paperbased diary highlight aspect routine clinic appointment valued young adult living type diabetes namely shorter waiting time clinic option see nurse consultant visit flexible clinic appointment booking system finding suggest young adult type diabetes convenience help service restructure clinic responsive need young adult', 'experience diabetes education team integrated primary explore perspective received diabetes education team registered nurse registered dietitian integrated primary semistructured oneonone interview three diabetes education program operating primary site one region ontario twentythree diabetes purposeful sampling used recruit site interview educator team invited met least participate semistructured interview data analyzed thematic nvivo software diabetes education team integrated primary exhibited many principle personcentred evidenced overarching theme first personalized subthemes environment oneonone described feeling included partnership provider collaborated physician diabetes educator develop knowledge set goal convenience comfort usual primary setting many also expressed oneonone session second theme patientprovider relationship subthemes respect supportive interaction facilitating engagement supportive environment created educator built trusting relationship expressed enhanced motivation improve selfcare diabetes educator integrated primary serve enrich experience provide key education improve understanding support primary physician providing timely comprehensive diabetes appear benefit convenient access interprofessional team educator primary support diabetes selfmanagement explorer le opinion de sur le soins par une sur le une et une aux soins primaires au moyen individuelles trois programme sur le travaillant dans centre de soins primaires dans une de un total de une par choix servi recruter de de chaque centre pour de entrevues le au moins une fois participer une entrevue le ont au moyen analyse du logiciel nvivo le sur le aux soins primaires ont mi en pratique bon nombre de principe de soins sur la personne comme en le qui se sont le premier concerne le soins dont le sont de soins la prise de conjointe et la de pour le soins en txeate txeate le ont un sentiment dans un partenariat avec leurs professionnels de la parce ont avec le et le en pour de connaissances et de objectifs dans le confort et la convenance de leur milieu de soins primaires habituel de nombreux ont aussi leur pour le en txeate txeate le porte sur la relation patientprofessionnel comportant le du respect de de soutien et de du par le professionnels le environnements de soutien par le ont permis de relation de confiance et le ont dit xeatre plus leurs propres soins dans ce type de milieu de sur le qui sont aux soins primaires peuvent servir enrichir de fournir de renseignements importants pour une meilleure par le et aider le de soins primaires dans la prestation de soins cliniques opportuns et complets le semblent de pratique de interprofessionnelles en soins primaires pour appuyer la prise en charge autonome de leur', 'people type diabetes diabetes limited knowledge exists people type diabetes towards diabetes consequently cannot yet considered development tailored diabetes approach therefore aimed ass determinant people type diabetes conducted elicit people people type diabetes treated dutch primary practice asked choose repeatedly two hypothetical diabetes package differed six attribute role division daily diabetes planning lifestyle education method type medication management support consultation frequency emotional support time spend selfmanagement mixedlogit model used estimate relative importance included attribute heterogeneity people different person diseaserelated characteristic investigated total completed preferred plan daily diabetes together healthcare provider receive individual lifestyle education medication emotional support healthcare provider one consultation visit every spend le time selfmanagement prefer receive emotional support psychologist heterogeneity could partly explained difference sex education level glucoselowering drug use people type diabetes show traditional model emotional support identified attribute therefore adequately guide change diabetes organization implemented']
